Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,IE041,800,881441.9920431908,888.52,-6.971155616505972,54.247175540236306
Apartment Block,IE041,900,22092.86879768176,911.38,-6.71856269244598,53.976718712571675
Apartment Block,IE042,800,205265.3767272348,897.61,-9.152165307918489,54.11157083612162
Apartment Block,IE042,900,1144618.838340865,934.12,-9.047132429444089,53.27435278241606
Education,IE041,800,666102.6938197713,888.79,-6.9348351144987594,54.2950289918402
Education,IE041,900,135212.01893859345,904.23,-7.012251340383171,53.85418961718102
Education,IE042,800,226875.5308698872,892.9,-9.304958515382301,53.85046641555049
Education,IE042,900,1017161.2257098851,927.71,-8.8130787703292,53.06287110438061
Health,IE041,800,159068.7368562657,891.29,-8.085718277074449,53.950777509040435
Health,IE041,900,14427.108478166105,901.91003,-7.067574562471371,53.83173743337067
Health,IE042,800,57196.23488491401,892.61,-9.303209556500816,53.85232263067036
Health,IE042,900,282890.093733761,936.01,-8.996103797791891,53.27675525238305
Hotels and Restaurants,IE041,800,284447.89886445506,873.11,-7.669894700005264,55.14095669999013
Hotels and Restaurants,IE041,900,50787.55726259714,901.54,-6.7340759028615835,54.120179850210164
Hotels and Restaurants,IE042,800,50215.11758688162,880.385,-8.244721050826909,54.02227351035584
Hotels and Restaurants,IE042,900,360937.8679775372,934.19,-9.050168071457858,53.273982280854064
Industrial,IE041,800,2303647.499638465,888.72,-6.959694387637993,54.26281483525901
Industrial,IE041,900,732265.4862171268,903.005,-6.813554965544849,54.06023358485261
Industrial,IE042,800,873434.5681322943,892.78503,-8.789469083259718,53.844081847850674
Industrial,IE042,900,2108566.968306829,927.63,-8.187919649998316,53.098402099996214
Offices,IE041,800,100624.79585888982,891.08496,-8.521572329783123,54.0881203089363
Offices,IE041,900,18526.49532450363,901.52,-6.735644390783401,54.120217243320965
Offices,IE042,800,48029.608012096025,892.72,-9.29873746336397,53.85565207366753
Offices,IE042,900,240515.7086229846,933.93994,-9.014898012774978,53.28925966176805
Other non-residential buildings,IE041,700,176.2579905167222,749.075,-8.33129791651404,54.36840103171273
Other non-residential buildings,IE041,800,11776534.359276317,887.18,-7.2205319140688395,54.12177459175557
Other non-residential buildings,IE041,900,2873876.607868445,904.23,-7.040168885795302,53.823604302935685
Other non-residential buildings,IE042,800,3513548.6735082394,892.74,-9.46669246490508,53.54442163141581
Other non-residential buildings,IE042,900,9929106.066312082,915.42,-8.43171130002244,53.42763254999329
Single family- Terraced houses,IE041,700,55.54923037812114,749.39,-8.010911026697526,55.01192518004848
Single family- Terraced houses,IE041,800,32145590.99359297,885.93,-7.958237782246296,53.97951457034342
Single family- Terraced houses,IE041,900,6230646.816933033,904.29,-7.079962294582675,53.780566774481656
Single family- Terraced houses,IE042,700,650.8419246179983,799.29,-9.63194580729227,53.62765876676368
Single family- Terraced houses,IE042,800,9897186.582182446,892.71,-9.461383950017948,53.60979364998574
Single family- Terraced houses,IE042,900,25379855.29716006,920.13,-8.588998899979362,53.19723039998855
Sport,IE041,800,60776.10077116825,889.14,-6.961578715497169,54.24883649939599
Sport,IE041,900,6819.855975659564,902.28,-7.261874736374013,55.297351542831024
Sport,IE042,800,47341.397666862234,893.39,-9.287232401204983,53.85361965761563
Sport,IE042,900,29864.65604153648,928.45,-8.749772725256838,53.2962482865922
Trade,IE041,800,2171696.2598578986,891.82,-7.4364285146184015,53.95429569798979
Trade,IE041,900,348974.7146644626,901.47,-7.073877810140315,53.83703717427283
Trade,IE042,800,615761.0730990185,892.65,-9.299231288424137,53.85573175818641
Trade,IE042,900,2505817.8419777383,926.93,-8.987002442736136,53.444439985728344
