Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1017173.0975250001,3.0,9671320.301938346,3051519.2925750003,2881804.285030403,9.508037840826441
Apartment Block_AB_1_Before1945,Apartment Block,1900,558501.1697702939,4.0,7278307.737506087,2234004.6790811755,1517727.761537772,13.031857642302853
Apartment Block_AB_2_Before1945,Apartment Block,1900,1397232.6859302837,4.0,18380686.22064651,5588930.743721135,5683032.414098981,13.155064582824707
Apartment Block_AB_3_Before1945,Apartment Block,1900,366519.8147861143,6.0,6736420.230031439,2199118.888716686,1299257.394136742,18.379416223274404
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1091769.0292495983,3.0,10380581.24354753,3275307.087748795,3093145.772740659,9.508037840826441
Apartment Block_AB_1_1945to1969,Apartment Block,1955,599459.700063383,4.0,7812073.473523574,2397838.800253532,1629032.6286756052,13.031857642302853
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1499700.8639588228,4.0,19728661.720296323,5998803.455835291,6099806.214922381,13.155064582824707
Apartment Block_AB_3_1945to1969,Apartment Block,1955,393399.1012576339,6.0,7230445.823876127,2360394.6075458033,1394540.4055548862,18.379416223274404
Apartment Block_AB_0_1970to1979,Apartment Block,1975,83988.37134551801,3.0,807185.7484152708,251965.11403655403,201349.50709292458,9.61068461602388
Apartment Block_AB_1_1970to1979,Apartment Block,1975,40576.433149803604,4.0,445489.3598072158,162305.73259921442,152436.53533900055,10.97901725769043
Apartment Block_AB_2_1970to1979,Apartment Block,1975,10854.811884714696,6.0,183356.8965209814,65128.87130828818,44632.68564531255,16.891761779785156
Apartment Block_AB_3_1970to1979,Apartment Block,1975,23123.727461169157,6.0,395645.56825450656,138742.36476701495,62821.655603742736,17.10993908395175
Apartment Block_AB_0_1980to1989,Apartment Block,1985,136553.71910832063,3.0,1312374.7274951832,409661.1573249619,327367.0341939937,9.61068461602388
Apartment Block_AB_1_1980to1989,Apartment Block,1985,65971.78592690398,4.0,724305.3762121374,263887.1437076159,247841.16533101807,10.97901725769043
