Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,141851.3888809069,3.0,1166282.926930922,425554.1666427207,462583.23968975624,8.221864700317383
Apartment Block_AB_1_Before1945,Apartment Block,1900,97869.96406447187,3.0,833864.4589919965,293609.8921934156,214578.91539072187,8.520126342773438
Apartment Block_AB_2_Before1945,Apartment Block,1900,146996.1578654266,3.0,1319303.8837182298,440988.4735962798,319231.6754744525,8.975090933506156
Apartment Block_AB_3_Before1945,Apartment Block,1900,40359.13028150573,4.0,522001.75856168405,161436.5211260229,139134.8172931209,12.933919906616211
Apartment Block_AB_0_1945to1969,Apartment Block,1955,143801.62801973344,3.0,1182317.5292636175,431404.88405920035,468943.05009503575,8.221864700317383
Apartment Block_AB_1_1945to1969,Apartment Block,1955,98440.56876590276,3.0,840016.3902852092,295321.70629770827,187375.4419823236,8.53323381626142
Apartment Block_AB_2_1945to1969,Apartment Block,1955,159270.4988044756,3.0,1422072.2775225984,477811.49641342676,302815.5646240088,8.928660914588894
Apartment Block_AB_3_1945to1969,Apartment Block,1955,44470.98139608594,4.0,574653.1279191541,177883.92558434376,156270.72986153426,12.921979904174805
Apartment Block_AB_0_1970to1979,Apartment Block,1975,479.68605297577693,3.0,3765.0763582352306,1439.0581589273309,1054.023579922508,7.849042795549777
Apartment Block_AB_1_1970to1979,Apartment Block,1975,1575.0183427028207,3.0,12725.250044166067,4725.0550281084625,2896.369697831088,8.079429743230047
Apartment Block_AB_2_1970to1979,Apartment Block,1975,1220.4329492855547,3.0,10216.630302403462,3661.2988478566645,4980.365757807285,8.371316349975892
Apartment Block_AB_3_1970to1979,Apartment Block,1975,370.4516896773331,4.0,4062.4073511882916,1481.8067587093324,834.2179161972227,10.966092109680176
Apartment Block_AB_0_1980to1989,Apartment Block,1985,472.89092956972155,3.0,3711.7411438200597,1418.6727887091647,1039.0925218814534,7.849042795549777
Apartment Block_AB_1_1980to1989,Apartment Block,1985,1552.7069914782585,3.0,12544.987049470685,4658.120974434775,2855.3403841701474,8.079429743230047
Apartment Block_AB_2_1980to1989,Apartment Block,1985,1203.1445740080892,3.0,10071.903843778697,3609.4337220242674,4909.815030468748,8.371316349975892
Apartment Block_AB_3_1980to1989,Apartment Block,1985,365.20395539003596,4.0,4004.860213626664,1460.8158215601438,822.4005751406364,10.966092109680176
Apartment Block_AB_0_1990to2000,Apartment Block,1995,32200.40826291563,3.0,263940.29644806497,96601.22478874688,95753.49962303147,8.196799689401395
Apartment Block_AB_1_1990to2000,Apartment Block,1995,53450.031860955925,3.0,439133.462063322,160350.09558286777,113043.06807395411,8.21577549674202
Apartment Block_AB_2_1990to2000,Apartment Block,1995,49285.784510013385,3.0,417745.443384271,147857.35353004016,88844.18725525081,8.475982426522961
Apartment Block_AB_3_1990to2000,Apartment Block,1995,12650.888276762254,4.0,149377.40696289233,50603.55310704902,31150.574808866808,11.807661540832335
Apartment Block_AB_0_2000to2010,Apartment Block,2005,13330.723348310987,3.0,109148.34857473054,39992.17004493296,23726.112603997717,8.187728881835938
Apartment Block_AB_1_2000to2010,Apartment Block,2005,15073.352288098758,3.0,124249.6864960071,45220.056864296275,48352.640946686006,8.243002891540527
Apartment Block_AB_2_2000to2010,Apartment Block,2005,24052.83975778652,3.0,200894.04869235557,72158.51927335956,48014.314871298695,8.35219669342041
Apartment Block_AB_3_2000to2010,Apartment Block,2005,7541.7800606126875,4.0,83326.49385950011,30167.12024245075,19293.127600768483,11.048650741577147
Apartment Block_AB_0_Post2010,Apartment Block,2020,7460.428728631293,3.0,60927.94690056777,22381.286185893878,23256.488372827476,8.166815757751465
Apartment Block_AB_1_Post2010,Apartment Block,2020,4818.828768445588,3.0,39328.83846697622,14456.486305336764,8219.036068981837,8.16149325008337
Apartment Block_AB_2_Post2010,Apartment Block,2020,10164.04803097451,3.0,84892.12835607154,30492.144092923532,20289.48795404622,8.35219669342041
Apartment Block_AB_3_Post2010,Apartment Block,2020,3130.947547713175,4.0,34269.65916008575,12523.7901908527,8538.398801731184,10.945459365844727
SFH_0_Before1945_1900,Single family- Terraced houses,1900,2444896.940482618,1.0,6522743.670972383,2444896.940482618,2145885.5360926134,2.6679012775421143
SFH_1_Before1945_1900,Single family- Terraced houses,1900,406131.45208589383,2.0,2359817.952923187,812262.9041717877,604101.141034268,5.810478210449219
SFH_2_Before1945_1900,Single family- Terraced houses,1900,1219776.7596829783,2.0,7169527.629004988,2439553.5193659565,2458018.7804478747,5.877737522125244
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,3736436.181854934,1.0,10579793.187841313,3736436.181854934,3775339.3320298386,2.831519842147827
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,448761.6709725417,2.0,2530817.1851383634,897523.3419450833,667799.7184197449,5.639557361602783
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,1296436.0491507167,2.0,7572797.725085736,2592872.0983014335,2504498.0136134354,5.841242790222168
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,669312.83844937,1.0,1673282.096123425,669312.83844937,649294.6501746918,2.5
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,955630.7486968288,1.0,2433593.1867739297,955630.7486968288,548205.4506000101,2.5465831756591797
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,50409.44836432616,2.0,280378.68768814637,100818.89672865233,98400.54760739439,5.562026500701904
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,659831.5051766882,1.0,1649578.7629417204,659831.5051766882,640096.8899991394,2.5
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,942093.5010997136,1.0,2399119.4597983835,942093.5010997136,540439.6970084889,2.5465831756591797
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,49695.35959659609,2.0,276406.9070381782,99390.71919319218,97006.62785494863,5.562026500701904
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,840264.5479141944,1.0,2372998.1362228943,840264.5479141944,742438.316530511,2.824108362197876
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,438414.7754544058,2.0,2489096.206281985,876829.5509088116,732680.7656765154,5.67749160301931
