Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,15127943.880078152,3.0,151939999.4454017,45383831.640234455,41687079.94255159,10.043664932250977
Apartment Block_AB_1_Before1945,Apartment Block,1900,3082642.1329585295,5.0,44144839.64512702,15413210.664792648,8198660.799444272,14.320455551147461
Apartment Block_AB_2_Before1945,Apartment Block,1900,7515616.540299038,5.0,120963539.51401216,37578082.70149519,23030441.683174964,16.094958925245958
Apartment Block_AB_3_Before1945,Apartment Block,1900,2571594.921909215,8.0,63144832.07191394,20572759.37527372,11915046.583800482,24.554735092194722
Apartment Block_AB_0_1945to1969,Apartment Block,1955,13032885.525423614,3.0,130897935.3177385,39098656.57627084,35913865.43256075,10.043664932250977
Apartment Block_AB_1_1945to1969,Apartment Block,1955,2655729.1825760426,5.0,38031251.714965396,13278645.912880212,7063234.006416954,14.320455551147461
Apartment Block_AB_2_1945to1969,Apartment Block,1955,6474784.068421043,5.0,104211383.63107361,32373920.342105217,19840971.94147002,16.094958925245958
Apartment Block_AB_3_1945to1969,Apartment Block,1955,2215456.5419256655,8.0,54399948.4952545,17723652.335405324,10264940.125885708,24.554735092194722
Apartment Block_AB_0_1970to1979,Apartment Block,1975,1049594.9296688458,3.0,9321502.162532264,3148784.7890065373,2688799.5834300797,8.881047248840332
Apartment Block_AB_1_1970to1979,Apartment Block,1975,206355.26218292437,4.0,2186115.1202503922,825421.0487316975,520284.8679773424,10.59393929248338
Apartment Block_AB_2_1970to1979,Apartment Block,1975,570165.4721107597,4.0,7057674.714748612,2280661.888443039,1509119.3772254847,12.378292022175618
Apartment Block_AB_3_1970to1979,Apartment Block,1975,136911.0721866485,6.0,2526495.721707736,821466.433119891,413310.75065835816,18.453552962198764
Apartment Block_AB_0_1980to1989,Apartment Block,1985,1002476.6101783699,3.0,8903042.140851393,3007429.8305351096,2568094.238694955,8.881047248840332
Apartment Block_AB_1_1980to1989,Apartment Block,1985,197091.5806451871,4.0,2087976.2404147044,788366.3225807484,496928.2873170765,10.59393929248338
