Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,ITC41,1300,28769186.45201348,1395.22,8.754233768254672,45.7351244254293
Apartment Block,ITC41,1400,22433618.26507877,1403.3,8.898692403201045,45.608382378808294
Apartment Block,ITC42,1100,3714.5788924125955,1199.02,9.102247268702394,45.837279086705614
Apartment Block,ITC42,1200,322915.14761452226,1279.73,9.074688882917142,45.8069066470778
Apartment Block,ITC42,1300,31513257.58654948,1388.08,9.231290512748108,45.78013763304116
Apartment Block,ITC42,1400,16468912.685367305,1403.72,9.09953777208396,45.71834816089467
Apartment Block,ITC43,1100,15193.137322803726,1169.21,9.297243291022376,45.904756838638654
Apartment Block,ITC43,1200,312834.5796118864,1280.88,9.450948003940065,45.974178955524145
Apartment Block,ITC43,1300,12955118.649026634,1357.77,9.333312862608635,45.899830737567996
Apartment Block,ITC43,1400,4721469.44138132,1406.8,9.393243171746844,45.68917533419015
Apartment Block,ITC44,1100,22481.07779198815,1192.93,9.581066087341075,46.133275996888564
Apartment Block,ITC44,1200,1838717.3812454382,1277.38,10.163937799996528,46.20981179999732
Apartment Block,ITC44,1300,5854323.873965897,1337.29,9.57493000476413,46.13638496329326
Apartment Block,ITC44,1400,2844.416053181514,1405.6,9.564708100411293,46.162314007136686
Apartment Block,ITC46,1100,44709.63206101628,1181.855,9.669825759506425,45.94467567644721
Apartment Block,ITC46,1200,714321.669534429,1254.77,9.673410277740366,45.82671187681505
Apartment Block,ITC46,1300,24201421.9219473,1384.81,9.92774483909217,45.66016872872204
Apartment Block,ITC46,1400,37457394.0360231,1417.4,9.856872433774438,45.62955888007214
Apartment Block,ITC47,1100,149550.40479774005,1187.96,10.080785637156408,45.673420647921084
Apartment Block,ITC47,1200,2932413.676619748,1274.99,10.25810795452147,45.646692489623675
Apartment Block,ITC47,1300,16338887.175831117,1341.39,10.192502586300122,45.62362295452219
Apartment Block,ITC47,1400,33895200.933427826,1422.95,10.269776568068936,45.490234554668504
Apartment Block,ITC48,1300,38171.82630372397,1374.81,9.307823070717369,44.72739602310392
Apartment Block,ITC48,1400,22436597.06400104,1429.27,9.264827950012393,45.06488944999607
Apartment Block,ITC49,1400,10244307.569924634,1431.16,9.454239431896177,45.2088227177806
Apartment Block,ITC4A,1400,14107952.78226212,1431.16,9.616932759802472,45.31787661289076
Apartment Block,ITC4B,1400,8355394.399669771,1433.72,10.826348661497727,45.16363497237184
Apartment Block,ITC4C,1400,229512461.06997734,1411.37,9.233737594750119,45.48074646835401
Apartment Block,ITC4D,1300,5742441.125609324,1399.41,9.139184405085844,45.64081631123637
