Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,ITF21,1400,13999.642341876868,1497.0549,14.363619678414999,41.80447311115837
Apartment Block,ITF21,1500,2499288.3568549664,1554.21,14.226651933586842,41.59066898564643
Apartment Block,ITF22,1300,68008.8006492951,1378.5,14.471080351316743,41.482006259701954
Apartment Block,ITF22,1400,106583.12235219253,1478.87,14.474124693390827,41.485669544203425
Apartment Block,ITF22,1500,8564059.22606988,1545.425,14.67140321536431,41.56254991966175
Education,ITF21,1400,2788.5881211739033,1483.6,14.29519847768396,41.712953626860326
Education,ITF21,1500,117559.94884897163,1535.25,14.04629710226249,41.48447448756898
Education,ITF22,1400,114.8686030190438,1461.96,14.473240726530495,41.47764208982567
Education,ITF22,1500,302610.65579445334,1556.27,14.91309723991343,41.79655336239362
Health,ITF21,1500,41412.57397853071,1532.165,14.038749270367278,41.47992157397428
Health,ITF22,1400,2259.4808734059334,1489.84,14.473233207835843,41.488057652221265
Health,ITF22,1500,39275.31709452532,1550.79,14.622532777816867,41.5476667753068
Hotels and Restaurants,ITF21,1400,785.9675488788635,1495.59,14.230285649998889,41.85616069999434
Hotels and Restaurants,ITF21,1500,5078.837074968964,1515.46,14.37901336737622,41.815242924002845
Hotels and Restaurants,ITF22,1300,155.44172296486795,1369.53,14.45382759785371,41.48297630883568
Hotels and Restaurants,ITF22,1400,850.4031298253685,1471.32,14.466699081166459,41.48673410005257
Hotels and Restaurants,ITF22,1500,34228.253977836575,1562.76,14.952772555026103,42.01030496972425
Industrial,ITF21,1400,27231.367381791584,1492.61,14.225743449970228,41.85922564988294
Industrial,ITF21,1500,1066421.0588008715,1552.38,14.085806467624254,41.49904023666342
Industrial,ITF22,1400,77030.8403925104,1496.635,14.522259797739487,41.4677299960369
Industrial,ITF22,1500,3980168.5851851767,1547.665,14.6632698545405,41.58837986164216
Offices,ITF21,1400,562.9668893981725,1496.465,14.183756674414147,41.78868061334881
Offices,ITF21,1500,52707.092871708504,1519.51,14.369291599986633,41.53742529997558
Offices,ITF22,1300,1770.7048122100532,1365.79,14.471442914712172,41.48283168185073
Offices,ITF22,1400,290.5407605608925,1453.73,14.505811252147964,41.44839660457127
Offices,ITF22,1500,36033.028427838115,1566.89,14.998373526338083,42.00300402286115
Other non-residential buildings,ITF21,1300,36.95242583332583,1372.88,14.348284441320015,41.49204734073986
Other non-residential buildings,ITF21,1400,49211.72784468811,1490.66,14.355755908137459,41.85647885212171
Other non-residential buildings,ITF21,1500,182756.2275368257,1520.765,14.18921948165526,41.72004523552368
Other non-residential buildings,ITF22,1200,813.3233978115022,1289.19,14.508319012518855,41.43928556389017
Other non-residential buildings,ITF22,1300,4866.3845370807685,1389.27,14.46311362671053,41.4841944146618
Other non-residential buildings,ITF22,1400,38164.34430636885,1484.705,14.447475090317484,41.49146288873636
Other non-residential buildings,ITF22,1500,536601.6599348707,1543.77,14.661364616665649,41.556092649933824
Single family- Terraced houses,ITF21,1300,7098.995674772887,1371.86,14.34844271144672,41.49209293997969
Single family- Terraced houses,ITF21,1400,562494.1906228871,1489.92,14.043670168155153,41.55374066850646
Single family- Terraced houses,ITF21,1500,2656478.353148996,1519.28,14.154304617189213,41.67376240278103
Single family- Terraced houses,ITF22,1200,430.9959490711335,1289.42,14.508830413834147,41.439347757988614
Single family- Terraced houses,ITF22,1300,66002.3601119417,1378.86,14.452883450001297,41.481714649993194
Single family- Terraced houses,ITF22,1400,767071.9655562458,1476.33,14.457569486040825,41.48696110581448
Single family- Terraced houses,ITF22,1500,7350752.068455753,1543.14,14.763147688921698,41.47450386521383
Sport,ITF21,1500,6422.875269905664,1512.705,14.378662048737867,41.81092794900111
Sport,ITF22,1500,15670.152038400993,1568.07,14.983360742869687,42.003580549229405
Trade,ITF21,1400,4688.9637321610935,1481.74,14.047239628493578,41.55145584943714
Trade,ITF21,1500,97633.25278738746,1554.03,14.156839301053848,41.54202663396788
Trade,ITF22,1400,8177.381994347088,1490.91,14.481171199955334,41.48549449997704
Trade,ITF22,1500,422043.99868328613,1549.09,14.671785901968097,41.588036195792455
