Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,3575690.9962953986,3.0,36151035.33595551,10727072.988886196,9090142.718876787,10.110223554946403
Apartment Block_AB_1_Before1945,Apartment Block,1900,1070198.2488481845,5.0,16262023.364336096,5350991.244240923,3992071.717552334,15.195337295532227
Apartment Block_AB_2_Before1945,Apartment Block,1900,1711042.1980501912,5.0,26057377.264937162,8555210.990250956,5981386.766125435,15.228950691356825
Apartment Block_AB_3_Before1945,Apartment Block,1900,723417.4402347413,7.0,15328093.10032214,5063922.081643189,3650553.0768447863,21.18844839481384
Apartment Block_AB_0_1945to1969,Apartment Block,1955,3080496.0540853813,3.0,31144503.76693347,9241488.162256144,7831255.219084809,10.110223554946403
Apartment Block_AB_1_1945to1969,Apartment Block,1955,921987.2427683246,5.0,14009907.136042448,4609936.213841623,3439212.5008247998,15.195337295532227
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1474081.1621944052,5.0,22448709.33411656,7370405.810972027,5153028.701332929,15.228950691356825
Apartment Block_AB_3_1945to1969,Apartment Block,1955,623231.8655075321,7.0,13205316.220309904,4362623.058552725,3144990.537521432,21.18844839481384
Apartment Block_AB_0_1970to1979,Apartment Block,1975,497119.105305359,3.0,4766910.520762845,1491357.315916077,1244025.450470612,9.589071250509948
Apartment Block_AB_1_1970to1979,Apartment Block,1975,275174.0198259035,5.0,3782211.499046479,1375870.0991295176,811360.1184157176,13.74479866027832
Apartment Block_AB_2_1970to1979,Apartment Block,1975,131949.76379947673,5.0,1932721.7124133408,659748.8189973836,437340.1493742512,14.647405624389647
Apartment Block_AB_3_1970to1979,Apartment Block,1975,123910.61386929883,7.0,2561035.969778078,867374.2970850918,445513.253415886,20.66841483393395
Apartment Block_AB_0_1980to1989,Apartment Block,1985,474802.4799420985,3.0,4552914.810083603,1424407.4398262955,1188178.7738407515,9.589071250509948
Apartment Block_AB_1_1980to1989,Apartment Block,1985,262820.93292053306,5.0,3612420.806699241,1314104.6646026652,774936.6142612111,13.74479866027832
Apartment Block_AB_2_1980to1989,Apartment Block,1985,126026.28708321806,5.0,1845958.1462436726,630131.4354160903,417707.1154277839,14.647405624389647
Apartment Block_AB_3_1980to1989,Apartment Block,1985,118348.02993570772,7.0,2446066.1774900407,828436.209549954,425513.31323104334,20.66841483393395
Apartment Block_AB_0_1990to2000,Apartment Block,1995,906272.1340027867,3.0,8414846.390563872,2718816.4020083603,2100320.9193383884,9.285120964050293
Apartment Block_AB_1_1990to2000,Apartment Block,1995,181155.01288308838,4.0,2297889.9900137167,724620.0515323535,533296.3969774083,12.684661348547396
Apartment Block_AB_2_1990to2000,Apartment Block,1995,483576.88100543007,4.0,6373573.8767677145,1934307.5240217203,1349558.560616415,13.180063247680664
