Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,9197637.823771318,3.0,82696992.47348478,27592913.471313953,23400899.61502879,8.99111207224905
Apartment Block_AB_1_Before1945,Apartment Block,1900,275149.5177379737,4.0,3441091.3852020274,1100598.0709518949,635503.5245711581,12.50625991821289
Apartment Block_AB_2_Before1945,Apartment Block,1900,4077258.065740096,4.0,52052796.11458684,16309032.262960384,12023686.642768148,12.766617975930918
Apartment Block_AB_3_Before1945,Apartment Block,1900,1247282.9557078544,7.0,24341781.576984152,8730980.689954981,4823410.0451793745,19.515845595091754
Apartment Block_AB_0_1945to1969,Apartment Block,1955,7923863.402175623,3.0,71244343.89415368,23771590.206526868,20160125.413753465,8.99111207224905
Apartment Block_AB_1_1945to1969,Apartment Block,1955,237044.25369906912,4.0,2964537.0488793557,948177.0147962765,547493.0864627421,12.50625991821289
Apartment Block_AB_2_1945to1969,Apartment Block,1955,3512601.4513035235,4.0,44844040.83049259,14050405.805214094,10358534.69916182,12.766617975930918
Apartment Block_AB_3_1945to1969,Apartment Block,1955,1074547.6125780356,7.0,20970705.291647416,7521833.288046248,4155419.3656009506,19.515845595091754
Apartment Block_AB_0_1970to1979,Apartment Block,1975,1011597.5919721437,3.0,8890466.750843495,3034792.775916431,2594810.1156497602,8.788540840148926
Apartment Block_AB_1_1970to1979,Apartment Block,1975,33510.97690715024,4.0,373030.74324256746,134043.90762860095,82684.29432744058,11.131598588609748
Apartment Block_AB_2_1970to1979,Apartment Block,1975,544719.5346811439,4.0,6499319.770469963,2178878.1387245758,1582218.2887628172,11.931497507748446
Apartment Block_AB_3_1970to1979,Apartment Block,1975,125586.30485786103,6.0,2325975.1404072745,753517.8291471662,548636.2670871207,18.520929834187097
Apartment Block_AB_0_1980to1989,Apartment Block,1985,966185.0454868268,3.0,8491356.731402125,2898555.1364604803,2478324.1374973324,8.788540840148926
Apartment Block_AB_1_1980to1989,Apartment Block,1985,32006.605199821926,4.0,356284.6812685272,128026.4207992877,78972.43855638224,11.131598588609748
Apartment Block_AB_2_1980to1989,Apartment Block,1985,520266.0352002467,4.0,6207552.902357909,2081064.140800987,1511189.4901984779,11.931497507748446
Apartment Block_AB_3_1980to1989,Apartment Block,1985,119948.49595782378,6.0,2221557.677351129,719690.9757469427,524006.93801363796,18.520929834187097
Apartment Block_AB_0_1990to2000,Apartment Block,1995,545900.1024478987,3.0,4785604.358670242,1637700.307343696,1851274.2919269816,8.766447079256567
Apartment Block_AB_1_1990to2000,Apartment Block,1995,1251472.5131818699,3.0,11315955.627256915,3754417.5395456096,2775719.039225268,9.042112797576424
Apartment Block_AB_2_1990to2000,Apartment Block,1995,582003.5750199328,4.0,7285104.26644795,2328014.3000797313,1677396.0055991644,12.517284393310549
Apartment Block_AB_3_1990to2000,Apartment Block,1995,168725.94756747514,6.0,3026691.926851249,1012355.6854048509,635462.4609053818,17.938508987426758
Apartment Block_AB_0_2000to2010,Apartment Block,2005,663237.8108763781,3.0,5698077.541717835,1989713.4326291343,1717388.949252083,8.591303825378418
Apartment Block_AB_1_2000to2010,Apartment Block,2005,22695.525488959433,4.0,242735.13557995495,90782.10195583773,42994.56141600159,10.69528598040336
Apartment Block_AB_2_2000to2010,Apartment Block,2005,305311.4892360992,4.0,3432336.6882788963,1221245.9569443967,803324.2322907211,11.242081642150879
Apartment Block_AB_3_2000to2010,Apartment Block,2005,55594.04869354149,6.0,977272.2208077826,333564.2921612489,232480.92121627717,17.578720092773438
Apartment Block_AB_0_Post2010,Apartment Block,2020,466911.2844886869,3.0,3962927.4274059916,1400733.8534660607,1256991.7839014335,8.487538337707518
Apartment Block_AB_1_Post2010,Apartment Block,2020,458884.27120606205,3.0,4668357.380816584,1376652.8136181862,1056340.3717364203,10.173278261525459
Apartment Block_AB_2_Post2010,Apartment Block,2020,25410.543349115043,3.0,262826.8827255584,76231.63004734513,55082.61486988234,10.343221674349271
Apartment Block_AB_3_Post2010,Apartment Block,2020,71976.79594657982,5.0,1146616.6714420917,359883.9797328991,279971.8950175122,15.930365562438965
SFH_0_Before1945_1900,Single family- Terraced houses,1900,14272885.616281193,1.0,36757663.019010864,14272885.616281193,11826542.011788057,2.5753490924835205
SFH_1_Before1945_1900,Single family- Terraced houses,1900,2903062.017507609,2.0,14034378.036715535,5806124.035015218,4231012.888172824,4.834336280822754
SFH_2_Before1945_1900,Single family- Terraced houses,1900,4194187.3785395534,2.0,28459615.257758558,8388374.757079107,7872558.768868323,6.785489700192747
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,12296243.681827903,1.0,31667120.006951712,12296243.681827903,10188692.490076225,2.5753490924835205
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,2501018.991563481,2.0,12090766.849942073,5002037.983126962,3645062.876043898,4.834336280822754
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3613337.305452786,2.0,24518263.069472093,7226674.610905572,6782293.6177034965,6.785489700192747
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,4790812.856679276,1.0,12571052.163284348,4790812.856679276,4214289.341791346,2.6239914894104004
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,141638.84092242247,1.0,628111.4571878584,141638.84092242247,165252.2935994247,4.434598963796121
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,1347412.3298966342,2.0,7974845.483954613,2694824.6597932684,2297674.2717688633,5.918637752532959
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,4575744.124524373,1.0,12006713.640471596,4575744.124524373,4025101.8504850743,2.6239914894104004
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,135280.40304301216,1.0,599914.3351564634,135280.40304301216,157833.80276429057,4.434598963796121
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,1286924.4189408268,2.0,7616839.450599719,2573848.8378816536,2194527.2887166403,5.918637752532959
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,5939582.059109662,1.0,16195226.391297491,5939582.059109662,5124920.122541243,2.726660938450801
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,109396.16959507948,2.0,511891.2704061322,218792.33919015896,148697.47345616517,4.679243087768555
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,2553877.5511294855,2.0,14968254.56293938,5107755.102258971,4382282.959961913,5.860991477966309
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,6565862.459148529,1.0,17498483.43770089,6565862.459148529,5645669.032676364,2.665070056915283
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,182386.72346048677,1.0,786058.7634678325,182386.72346048677,205183.3536386656,4.30984639974701
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,1832413.3300012965,2.0,10383254.091767062,3664826.660002593,3019157.14496482,5.666436672210693
SFH_0_Post2010_2020,Single family- Terraced houses,2020,4829329.331890262,1.0,12416806.071630273,4829329.331890262,4056321.219567634,2.571124315261841
SFH_1_Post2010_2020,Single family- Terraced houses,2020,1533426.9238431915,1.0,6753287.192061141,1533426.9238431915,2048681.4113842167,4.404048922745884
SFH_2_Post2010_2020,Single family- Terraced houses,2020,784337.884690367,2.0,5074834.25003764,1568675.769380734,1422327.4276030906,6.470214366912842
0_Other non-residential buildings_1900,Other non-residential buildings,1900,1752617.3518166114,3.0,14649973.362230698,5257852.055449834,4736482.459857883,8.358911514282227
0_Other non-residential buildings_1955,Other non-residential buildings,1955,1509898.6020285909,3.0,12621108.809895426,4529695.806085773,4080530.3206998496,8.358911514282227
0_Other non-residential buildings_1975,Other non-residential buildings,1975,480630.45667515555,2.0,3167583.0158780464,961260.9133503111,1101582.9116639148,6.590475014401607
0_Other non-residential buildings_1985,Other non-residential buildings,1985,459054.03821663803,2.0,3025384.1691269134,918108.0764332761,1052130.7524453052,6.590475014401607
0_Other non-residential buildings_1995,Other non-residential buildings,1995,777647.253695512,2.0,4617920.248340033,1555294.507391024,1244181.3439000405,5.938322583144081
