Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,ITG2D,1500,744332.0100921345,1595.88,9.16397920780731,40.78616123662103
Apartment Block,ITG2D,1600,33081408.633005157,1639.09,8.727855438415693,40.57605193429752
Apartment Block,ITG2E,1500,722325.8686815375,1588.95,9.14701507663356,40.06876211806066
Apartment Block,ITG2E,1600,15240880.538514871,1642.915,9.353713561923977,40.20466722324905
Apartment Block,ITG2F,1600,1999160.5804068057,1682.79,9.01466849369119,39.06390667116727
Apartment Block,ITG2F,1700,37713045.257764876,1719.43,9.146227544341722,39.204771093157326
Apartment Block,ITG2G,1600,9827066.025593061,1674.1,8.77644218131811,39.686972280023376
Apartment Block,ITG2G,1700,150887.0235093219,1701.18,8.579684130073732,39.76866904222467
Apartment Block,ITG2H,1500,46600.4111337011,1587.44,8.401302623945183,39.39896999229797
Apartment Block,ITG2H,1600,20721496.52184295,1679.8,8.539833396569476,39.30438315168645
Apartment Block,ITG2H,1700,7228679.178412377,1706.22,8.454574599287593,39.06184228925439
Education,ITG2D,1500,10467.027003483847,1598.51,8.616181448370593,40.67701244477578
Education,ITG2D,1600,1083157.7712890888,1639.15,8.552964618579821,40.71774362151901
Education,ITG2E,1500,7671.674582622014,1558.39,9.223899123355602,40.00658806418756
Education,ITG2E,1600,317786.5516394214,1646.265,9.16894482304134,40.22873712082156
Education,ITG2F,1600,17188.201505725738,1681.4,9.012407122548783,39.13566655820402
Education,ITG2F,1700,1779447.909127865,1718.14,9.152608422837975,39.19885308684715
Education,ITG2G,1600,344589.92126303015,1675.41,8.77151547003918,39.68351822567424
Education,ITG2H,1500,1074.317564047873,1598.87,9.324432800870637,39.83783235983356
Education,ITG2H,1600,283834.570574705,1675.61,8.641915100006303,39.54502419988358
Education,ITG2H,1700,108950.21914458578,1706.78,8.918598348192473,39.427079382471824
Health,ITG2D,1600,241032.242417627,1641.595,8.565673697126506,40.59974976530358
Health,ITG2E,1600,86833.83313024463,1662.66,9.31564567309562,40.32475434943442
Health,ITG2F,1600,211.79565355926752,1687.34,8.920221667380682,38.92628800645609
Health,ITG2F,1700,348728.33513941127,1719.315,9.106243508226223,39.23525333520879
Health,ITG2G,1600,51971.04401240591,1670.57,8.833976198080432,40.12049568386335
Health,ITG2H,1600,30600.981827604584,1696.235,8.959148565544485,39.61923828873417
Health,ITG2H,1700,5994.9803742924705,1702.13,8.976016992206157,39.49259803462239
Hotels and Restaurants,ITG2D,1500,5169.522318450268,1593.21,9.163622179449566,40.78706530690328
Hotels and Restaurants,ITG2D,1600,598222.6073712618,1640.41,8.713021421463251,40.431337294627966
Hotels and Restaurants,ITG2E,1500,26037.21282806425,1565.45,9.225718389353425,40.00829123647429
Hotels and Restaurants,ITG2E,1600,526356.1354774374,1642.575,9.700268507631558,40.574930557303084
Hotels and Restaurants,ITG2F,1600,25111.42921004584,1685.46,9.015020632015382,39.14635046366814
Hotels and Restaurants,ITG2F,1700,228868.6291972238,1717.37,9.190207381571105,39.29060463710662
Hotels and Restaurants,ITG2G,1600,829578.4736438596,1686.39,8.50909537122805,39.7217834155661
Hotels and Restaurants,ITG2G,1700,1468.3891658345237,1700.14,8.580354806263141,39.796686671161495
Hotels and Restaurants,ITG2H,1500,29595.771225917153,1572.185,8.402303298112459,39.39667687453427
Hotels and Restaurants,ITG2H,1600,867667.7534585596,1672.29,9.52925889550944,39.28174381514474
Hotels and Restaurants,ITG2H,1700,107995.19124639011,1709.725,8.516136067286238,39.10785486646498
Industrial,ITG2D,1400,68.067187955603,1497.14,9.116541644405263,40.85572646565935
Industrial,ITG2D,1500,10686.528639063472,1584.8201,9.01920428355783,40.94093635034465
Industrial,ITG2D,1600,9018538.888299504,1643.045,8.526090375402061,40.736220154516374
Industrial,ITG2E,1500,26936.22932127735,1583.23,9.555829305311844,39.873669031801356
Industrial,ITG2E,1600,4001134.472179177,1652.98,9.476844800000602,39.93727789992988
Industrial,ITG2F,1600,969016.8535288658,1677.91,8.96951917303236,39.16983644292302
Industrial,ITG2F,1700,7397001.398545028,1717.63,9.135407576070783,39.220049302998184
Industrial,ITG2G,1500,584.9395124362782,1595.4,8.781029623023464,39.78345689880939
Industrial,ITG2G,1600,2638902.2716128277,1680.46,8.633599700307116,39.95181935418272
Industrial,ITG2G,1700,137018.25016106258,1702.0,8.587419999226924,39.759222765518
Industrial,ITG2H,1500,3078.4632622678764,1592.985,8.489292807496534,39.44289702706132
Industrial,ITG2H,1600,3595987.425996553,1686.13,8.671723412268912,39.1703452207616
Industrial,ITG2H,1700,4277367.91937202,1706.69,8.456667599998823,39.05105974999577
Offices,ITG2D,1500,2650.574878008105,1588.075,9.159189883206086,40.79484755351101
Offices,ITG2D,1600,369518.80420252134,1640.95,9.671727613320925,40.77097101662891
Offices,ITG2E,1500,3354.81498043146,1582.815,9.186559620572366,39.97377155925389
Offices,ITG2E,1600,97922.64807842788,1652.21,8.816276066782766,40.26341653955647
Offices,ITG2F,1600,18165.25059519615,1682.14,8.994826682851697,39.03564638906788
Offices,ITG2F,1700,986162.6722908686,1717.87,9.11895626799232,39.230379767160755
Offices,ITG2G,1600,113386.26251889957,1670.895,8.853024361062445,39.805413130744036
Offices,ITG2G,1700,923.0844792807475,1702.04,8.581977391692138,39.774443474889566
Offices,ITG2H,1500,1561.1087705790997,1599.88,8.3999230715792,39.39917590567207
Offices,ITG2H,1600,67578.06606855101,1679.77,8.880396989392537,39.69274286447068
Offices,ITG2H,1700,38504.46518078912,1707.1,8.920278237199085,39.42455779890581
Other non-residential buildings,ITG2D,1400,513.6047328915447,1474.95,9.731124250007994,40.91795209998739
Other non-residential buildings,ITG2D,1500,41173.301896551566,1583.96,9.16865306943635,40.85118872307901
Other non-residential buildings,ITG2D,1600,2764220.5918857073,1640.56,8.761249078680871,40.89572768376387
Other non-residential buildings,ITG2E,1400,1848.2208330802387,1468.25,9.55105471549902,40.509812046876526
Other non-residential buildings,ITG2E,1500,51278.504852106795,1585.855,9.196730750000127,40.050458949996504
Other non-residential buildings,ITG2E,1600,718429.8582748084,1650.0549,9.569612052135442,39.69985516701552
Other non-residential buildings,ITG2F,1600,2194362.4197037714,1680.73,9.01870424004208,39.074461582602474
Other non-residential buildings,ITG2F,1700,3429924.001087798,1711.86,9.098692956729035,39.212723933490906
Other non-residential buildings,ITG2G,1500,300.25305442046374,1597.4451,8.607845889142196,40.177442711020475
Other non-residential buildings,ITG2G,1600,1591756.6370145679,1684.62,8.521469151596778,39.72926892160074
Other non-residential buildings,ITG2G,1700,145419.30068836187,1701.35,8.589771290834225,39.74961022921835
Other non-residential buildings,ITG2H,1500,5180.3920165128075,1585.41,8.675139734961999,39.38976831933037
Other non-residential buildings,ITG2H,1600,1338894.4987795101,1680.4099,8.655992819061973,39.2580335065704
Other non-residential buildings,ITG2H,1700,3056584.114741562,1706.6799,8.689488073814672,38.98363300993008
Single family- Terraced houses,ITG2D,1400,509.5764263398014,1489.17,9.114700409661092,40.85496083846316
Single family- Terraced houses,ITG2D,1500,899488.3856055876,1588.99,9.026433305735525,40.415634977644046
Single family- Terraced houses,ITG2D,1600,29791248.354603868,1640.1,9.666061804347777,40.67816082436689
Single family- Terraced houses,ITG2E,1300,409.45948112010956,1381.345,9.503411100017367,39.80761889997591
Single family- Terraced houses,ITG2E,1400,10159.003630789695,1476.2451,9.478688580847665,40.28014262607723
Single family- Terraced houses,ITG2E,1500,911842.2441318586,1582.91,9.106975332249393,39.969523514959455
Single family- Terraced houses,ITG2E,1600,14652072.040284047,1646.98,9.587918233910505,39.661032767465784
Single family- Terraced houses,ITG2F,1500,2845.4694990792777,1590.385,8.936587867328175,39.168289158261935
Single family- Terraced houses,ITG2F,1600,3313899.942310768,1682.95,9.395547559523266,39.16668205874756
Single family- Terraced houses,ITG2F,1700,6427703.410038557,1710.87,9.247704784296102,39.225303145669066
