Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1204838.2181149987,3.0,11049778.701627905,3614514.654344996,2492224.4086628766,9.171172142028809
Apartment Block_AB_1_Before1945,Apartment Block,1900,801253.4799482687,4.0,9856502.858899,3205013.919793075,2233983.8700582935,12.301354197594703
Apartment Block_AB_2_Before1945,Apartment Block,1900,278859.968422492,4.0,3505997.3341589947,1115439.873689968,493605.2963099971,12.572608947753908
Apartment Block_AB_3_Before1945,Apartment Block,1900,291550.7061159076,6.0,5051959.371708444,1749304.2366954454,911084.4985136113,17.327892766961813
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1037981.0169726134,3.0,9519502.586813964,3113943.05091784,2147077.995479848,9.171172142028809
Apartment Block_AB_1_1945to1969,Apartment Block,1955,690288.4465855875,4.0,8491482.679956743,2761153.78634235,1924601.0082344483,12.301354197594703
Apartment Block_AB_2_1945to1969,Apartment Block,1955,240240.84666652043,4.0,3020454.2184154694,960963.3866660817,425246.24446965894,12.572608947753908
Apartment Block_AB_3_1945to1969,Apartment Block,1955,251174.05298342605,6.0,4352317.055939992,1507044.3179005564,784909.0442986581,17.327892766961813
Apartment Block_AB_0_1970to1979,Apartment Block,1975,200553.34462010185,3.0,1801395.458422128,601660.0338603056,458552.74733283644,8.982126235961914
Apartment Block_AB_1_1970to1979,Apartment Block,1975,29934.883389784773,4.0,335474.4870017175,119739.53355913909,53373.305436101306,11.206807878069021
Apartment Block_AB_2_1970to1979,Apartment Block,1975,104842.15778100505,4.0,1289700.5177042526,419368.6311240202,292311.6033143389,12.301354197594703
Apartment Block_AB_3_1970to1979,Apartment Block,1975,26998.901445786945,6.0,484853.85338246607,161993.40867472166,92117.50052312356,17.958280797314636
Apartment Block_AB_0_1980to1989,Apartment Block,1985,191550.12223441925,3.0,1720527.3784234887,574650.3667032578,437967.43938086205,8.982126235961914
Apartment Block_AB_1_1980to1989,Apartment Block,1985,28591.049345240528,4.0,320414.3970445017,114364.19738096211,50977.2758948816,11.206807878069021
Apartment Block_AB_2_1980to1989,Apartment Block,1985,100135.59323237975,4.0,1231803.4001377705,400542.372929519,279189.1775799808,12.301354197594703
Apartment Block_AB_3_1980to1989,Apartment Block,1985,25786.86923387846,6.0,463087.83858562313,154721.21540327076,87982.17012315482,17.958280797314636
Apartment Block_AB_0_1990to2000,Apartment Block,1995,463769.6137396146,3.0,4124217.7354668765,1391308.8412188438,1112842.891870011,8.892815771631032
Apartment Block_AB_1_1990to2000,Apartment Block,1995,84245.09271370909,3.0,869340.5982001009,252735.27814112726,152703.97875284962,10.31918382658073
Apartment Block_AB_2_1990to2000,Apartment Block,1995,278999.3578002764,4.0,3255101.6869153483,1115997.4312011057,688955.770532294,11.667057991027832
Apartment Block_AB_3_1990to2000,Apartment Block,1995,40992.195714529684,6.0,710308.371623682,245953.1742871781,128099.00059270115,17.327892766961813
Apartment Block_AB_0_2000to2010,Apartment Block,2005,226087.97219447815,3.0,1974584.9613389985,678263.9165834344,513877.1696371758,8.73370193988243
Apartment Block_AB_1_2000to2010,Apartment Block,2005,31462.514440764877,3.0,320906.6294627571,94387.54332229463,52937.710118632414,10.199649810791016
Apartment Block_AB_2_2000to2010,Apartment Block,2005,127721.42408227485,4.0,1441586.2158166573,510885.6963290994,318701.8851689083,11.286956954755096
Apartment Block_AB_3_2000to2010,Apartment Block,2005,26192.14484945407,5.0,407635.88399784686,130960.72424727035,91589.86990477325,15.563287632259078
Apartment Block_AB_0_Post2010,Apartment Block,2020,131013.77267009854,3.0,1128367.8868903061,393041.3180102956,343153.6838957163,8.612589836120605
Apartment Block_AB_1_Post2010,Apartment Block,2020,167643.5621342339,3.0,1655460.1914056202,502930.6864027018,347322.3521020391,9.87488079071045
Apartment Block_AB_2_Post2010,Apartment Block,2020,24921.4552282714,3.0,250774.73383222483,74764.3656848142,41483.14139898824,10.062603950500488
Apartment Block_AB_3_Post2010,Apartment Block,2020,44827.30947604873,5.0,608479.5241016767,224136.54738024366,138147.90592477052,13.573857793691317
SFH_0_Before1945_1900,Single family- Terraced houses,1900,4765605.56837625,1.0,12248859.115598343,4765605.56837625,3176701.0615268047,2.5702628847170432
