Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,ITH20,1000,33724.77836021874,1086.19,11.088420524863848,46.21215608789159
Apartment Block,ITH20,1100,347793.9661848176,1176.37,11.08918301320889,46.21542167864135
Apartment Block,ITH20,1200,3914501.971347653,1259.13,11.599528599998452,46.31001079999243
Apartment Block,ITH20,1300,20631225.334568206,1364.38,11.031020732061961,45.873882776284695
Apartment Block,ITH20,1400,1263000.6360501382,1422.02,11.24844296822755,46.127099271131684
Education,ITH20,1100,14096.218582703732,1150.83,10.602085810452769,45.89004816487406
Education,ITH20,1200,275758.36021613504,1266.4851,11.682050865525524,46.42367722305677
Education,ITH20,1300,1482245.0311026985,1363.28,11.124078463384288,46.06399574494804
Education,ITH20,1400,51952.91544177104,1420.18,11.072760734353695,46.375061595954364
Health,ITH20,1200,38399.4938417105,1287.0801,11.463257467116847,46.05722648117071
Health,ITH20,1300,292345.16309520765,1365.52,11.128054077326848,46.0617349186856
Hotels and Restaurants,ITH20,1000,7700.297986230347,1087.72,10.668274251040065,46.3541254335889
Hotels and Restaurants,ITH20,1100,24158.86946346052,1167.08,10.731766750002189,45.88312349999562
Hotels and Restaurants,ITH20,1200,138712.1311373639,1257.93,10.734518903296157,45.88817061012103
Hotels and Restaurants,ITH20,1300,274536.2380052286,1345.07,11.09233557642599,45.9298054605232
Hotels and Restaurants,ITH20,1400,15850.066500809975,1416.56,11.250797210985837,46.12381738125996
Industrial,ITH20,900,20619.00406100694,961.19995,11.086111147858032,46.10839889498263
Industrial,ITH20,1000,37553.98661904875,1078.98,10.585463555558746,45.87197976930026
Industrial,ITH20,1100,651790.5331578158,1166.59,10.60549532692526,45.895689530948296
Industrial,ITH20,1200,2848769.4838552163,1261.935,11.517474223689067,46.05218800824548
Industrial,ITH20,1300,11265902.062437318,1362.56,11.097093886499234,46.1478158065517
Industrial,ITH20,1400,300518.5420303787,1410.665,11.138293869277394,46.4426831241167
Offices,ITH20,1000,740.7537469556555,1086.72,11.73099676452439,46.468897371519134
Offices,ITH20,1100,10232.18748953892,1176.1,10.837584629266292,45.88310461131943
Offices,ITH20,1200,105018.29137728491,1270.05,11.102688921829674,46.065980642415546
Offices,ITH20,1300,888160.8801283911,1362.6951,11.122849732304854,46.06498557096586
Offices,ITH20,1400,5353.987160987221,1418.3,11.244922910818046,46.130795684426126
Other non-residential buildings,ITH20,800,132.44121418893337,864.825,11.669302167779778,45.98301323418277
Other non-residential buildings,ITH20,900,3866.685987656703,975.61,11.665714094108026,45.98828867447766
Other non-residential buildings,ITH20,1000,44242.74509639421,1070.09,11.679350394221151,45.97882571630911
Other non-residential buildings,ITH20,1100,103454.83544590481,1162.91,11.364909173012324,46.26386187812378
Other non-residential buildings,ITH20,1200,1129282.555268432,1267.55,10.808666141881556,45.91181775217481
Other non-residential buildings,ITH20,1300,2837637.078586163,1351.255,10.87447538497497,45.87930632641882
Other non-residential buildings,ITH20,1400,149472.49671743368,1415.71,10.940775550015934,45.895927399996125
Single family- Terraced houses,ITH20,800,3639.693760601338,865.05,11.669710721983106,45.98262867829565
Single family- Terraced houses,ITH20,900,41825.682184712496,960.37,11.59498960000156,46.0169611499962
Single family- Terraced houses,ITH20,1000,318593.9494000999,1074.99,10.717821450132348,46.319595049893316
Single family- Terraced houses,ITH20,1100,2233346.4763237527,1172.14,10.600615104407765,45.89178804430372
Single family- Terraced houses,ITH20,1200,9659488.899908023,1260.52,10.990125724746633,46.059032686269646
Single family- Terraced houses,ITH20,1300,18246190.548464485,1349.9,10.861095659612365,45.89329748015274
Single family- Terraced houses,ITH20,1400,3166198.4627491366,1414.8,11.229797151348567,46.12812206732987
Sport,ITH20,1000,312.3942865282297,1087.84,10.605711222652605,45.890943586118745
Sport,ITH20,1100,4767.59790938627,1139.74,11.601759806996396,46.32916138676581
Sport,ITH20,1200,19936.152570893522,1270.73,10.731084766000965,46.0415672623595
Sport,ITH20,1300,174367.9968397605,1364.92,10.956868817088363,45.81576539629103
Sport,ITH20,1400,12718.870344157796,1424.25,11.24337275449321,46.12863025788637
Trade,ITH20,900,108.10290067829192,930.28,11.667809221612723,45.985909769816814
Trade,ITH20,1000,1882.8137932862155,1057.77,10.66527740014941,46.353745720098146
Trade,ITH20,1100,13451.804619623465,1180.41,10.731654023953615,45.88351347139336
Trade,ITH20,1200,237339.12870510807,1264.98,11.461025737158097,46.04778297112634
Trade,ITH20,1300,1896272.0647673802,1358.55,10.865543523850427,45.90703995271507
Trade,ITH20,1400,15530.142602016393,1405.89,11.25578529999852,46.13352894999627
