Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,ITI21,1400,4930507.907781883,1471.5,12.577425899989368,43.34594039997923
Apartment Block,ITI21,1500,14843638.897983471,1512.4,12.431774618928303,43.0913579092854
Apartment Block,ITI22,1300,5579.065350160003,1398.37,12.697307349869735,42.55179234994742
Apartment Block,ITI22,1400,32325.006566226482,1415.13,12.69678184994575,42.552086249977414
Apartment Block,ITI22,1500,4861596.815035039,1554.01,12.650501472530651,42.56361201029453
Education,ITI21,1400,149211.05971992528,1470.54,12.536208906453936,43.364781055009075
Education,ITI21,1500,458032.276087516,1523.0,11.960836409370868,43.12336861845991
Education,ITI22,1500,200013.6586166434,1554.25,12.639013643218323,42.568171227439336
Health,ITI21,1300,89.95487246662378,1392.06,12.963608577562407,42.71493914500176
Health,ITI21,1400,50035.21488190163,1475.03,12.619181495897342,43.31866068548696
Health,ITI21,1500,220712.16247784847,1511.485,12.354440680623535,43.07898029060599
Health,ITI22,1500,69917.00015335577,1556.335,12.655793621938734,42.556413125362525
Hotels and Restaurants,ITI21,1300,1761.2998491562903,1358.97,12.96108440987609,42.71490334037656
Hotels and Restaurants,ITI21,1400,43459.6779258796,1491.81,13.097320696209344,42.79792930792014
Hotels and Restaurants,ITI21,1500,143260.37541520083,1521.365,11.942202210676234,43.07134774912753
Hotels and Restaurants,ITI22,1500,12956.702682369389,1552.73,12.649915780979056,42.568852121468346
Industrial,ITI21,1200,3902.164107767865,1289.7351,12.703818173112257,43.415018385575614
Industrial,ITI21,1300,9922.05264384579,1391.165,12.913925407550852,42.809486389058414
Industrial,ITI21,1400,5501786.747338012,1464.565,12.201797002832794,43.50327523781436
Industrial,ITI21,1500,14575458.407199953,1522.055,12.581309840020639,42.9923605826324
Industrial,ITI22,1400,658.8034622706473,1441.29,12.803801595255747,42.581951858019465
Industrial,ITI22,1500,5939007.695219503,1559.36,12.617529956945752,42.5657302888012
Offices,ITI21,1300,82.7603308018297,1329.82,12.725156076561426,43.39631941293153
Offices,ITI21,1400,28778.544902603375,1477.11,12.364353223785516,43.22163399740223
Offices,ITI21,1500,262670.79248718044,1517.76,12.070856802521378,43.02214613173314
Offices,ITI22,1400,1996.4176447670907,1466.085,12.514552517131559,42.5190826590921
Offices,ITI22,1500,37233.561158248456,1549.21,12.417263292900666,42.55440342435518
Other non-residential buildings,ITI21,1200,392.7419729558751,1294.97,12.73963835000916,43.43270464999336
Other non-residential buildings,ITI21,1300,4486.710661526071,1375.385,12.354326691795558,43.21289931505881
Other non-residential buildings,ITI21,1400,1244616.259448737,1472.31,12.337150396835948,43.297101695619176
Other non-residential buildings,ITI21,1500,3218296.7214027937,1522.92,12.545271293024749,43.05980509352014
Other non-residential buildings,ITI22,1300,2950.089646369219,1366.8,12.6988568497007,42.55245019995605
Other non-residential buildings,ITI22,1400,77293.29737142962,1478.25,12.69255808090515,42.549452630416035
Other non-residential buildings,ITI22,1500,1050532.6847941238,1557.91,12.450259673731322,42.59822707365233
Single family- Terraced houses,ITI21,1100,602.1090771127492,1124.59,12.745480457401055,43.390743818968474
Single family- Terraced houses,ITI21,1200,15889.002725319006,1287.0049,12.86477495007437,42.70309724996549
Single family- Terraced houses,ITI21,1300,126468.11947696016,1381.03,12.830952843761805,42.711655772121865
Single family- Terraced houses,ITI21,1400,9155783.938167326,1469.57,12.93473956550584,42.82530860600705
Single family- Terraced houses,ITI21,1500,17498667.162978992,1521.37,12.949002577480696,42.648310122120726
Single family- Terraced houses,ITI22,1300,13575.370255817426,1387.23,12.706153527769517,42.55519057856143
Single family- Terraced houses,ITI22,1400,167836.62731606083,1476.28,12.710669082225962,42.555222350597326
Single family- Terraced houses,ITI22,1500,7211063.255061771,1550.07,12.295192901252978,42.51454293077931
Sport,ITI21,1400,17483.686016864143,1472.64,12.786830849208428,43.11026628657418
Sport,ITI21,1500,42536.28034818312,1517.75,12.580906020161054,43.06354622912489
Sport,ITI22,1500,44296.70355216786,1555.06,12.60954201716223,42.58465423627084
Trade,ITI21,1400,419382.194529169,1478.85,12.240869524514933,43.36587889243349
Trade,ITI21,1500,1666073.231479883,1513.57,12.285521315899913,43.10774605884595
Trade,ITI22,1400,1771.416345804697,1451.345,12.717632450926745,42.5558524534142
Trade,ITI22,1500,393784.4164155828,1552.73,12.621414515505942,42.58050581107359
