Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,15762084.314012555,3.0,152854724.5490827,47286252.942037664,38813674.32900055,9.697621298294557
Apartment Block_AB_1_Before1945,Apartment Block,1900,2062923.8802164316,4.0,26941117.839706678,8251695.520865726,4052737.4619262367,13.059676170349123
Apartment Block_AB_2_Before1945,Apartment Block,1900,11844448.119136462,4.0,157250052.40231752,47377792.47654585,31325023.854860775,13.276266721811778
Apartment Block_AB_3_Before1945,Apartment Block,1900,2815797.4526312607,6.0,54196796.86630573,16894784.715787563,10042591.671062998,19.24740602903124
Apartment Block_AB_0_1945to1969,Apartment Block,1955,13579204.294717385,3.0,131685980.78234422,40737612.88415215,33438395.750336695,9.697621298294557
Apartment Block_AB_1_1945to1969,Apartment Block,1955,1777230.996601539,4.0,23210061.295522943,7108923.986406156,3491476.688741366,13.059676170349123
Apartment Block_AB_2_1945to1969,Apartment Block,1955,10204118.793156646,4.0,135472602.75899974,40816475.172626585,26986843.236455433,13.276266721811778
Apartment Block_AB_3_1945to1969,Apartment Block,1955,2425839.6351701072,6.0,46691120.41943607,14555037.811020643,8651800.182832284,19.24740602903124
Apartment Block_AB_0_1970to1979,Apartment Block,1975,1013255.691982274,3.0,9103066.102473795,3039767.075946822,2445930.495392602,8.98397726704608
Apartment Block_AB_1_1970to1979,Apartment Block,1975,661789.2226134794,4.0,8094297.242719657,2647156.8904539174,1711515.8750359528,12.230929374694824
Apartment Block_AB_2_1970to1979,Apartment Block,1975,77943.96926533993,4.0,1017705.3505397986,311775.8770613597,179348.1084207248,13.056883811950685
Apartment Block_AB_3_1970to1979,Apartment Block,1975,131427.6648810905,6.0,2409700.576766976,788565.989286543,536514.2860918468,18.334804768441703
Apartment Block_AB_0_1980to1989,Apartment Block,1985,967768.710223104,3.0,8694412.092402872,2903306.130669312,2336128.0075225737,8.98397726704608
Apartment Block_AB_1_1980to1989,Apartment Block,1985,632080.2414198547,4.0,7730928.791946297,2528320.9656794188,1634682.661066056,12.230929374694824
Apartment Block_AB_2_1980to1989,Apartment Block,1985,74444.9157329845,4.0,972018.6151160382,297779.662931938,171296.8295571289,13.056883811950685
Apartment Block_AB_3_1980to1989,Apartment Block,1985,125527.62618167697,6.0,2301524.5190869784,753165.7570900618,512429.1358794157,18.334804768441703
Apartment Block_AB_0_1990to2000,Apartment Block,1995,4668630.902359567,3.0,44594379.69066049,14005892.7070787,10765730.666398052,9.551918029785156
Apartment Block_AB_1_1990to2000,Apartment Block,1995,293401.5796715722,4.0,3388776.828976981,1173606.3186862888,631556.7157930963,11.54996109008789
Apartment Block_AB_2_1990to2000,Apartment Block,1995,113535.5468535456,4.0,1518162.3299475417,454142.1874141824,109218.48597765216,13.371691703796387
Apartment Block_AB_3_1990to2000,Apartment Block,1995,1241999.3849756906,5.0,18897376.170793533,6209996.924878453,3699952.7454391737,15.215286254882812
Apartment Block_AB_0_2000to2010,Apartment Block,2005,879927.6507107819,3.0,7619398.772147149,2639782.9521323456,2541696.9862860665,8.659119606018066
Apartment Block_AB_1_2000to2010,Apartment Block,2005,1480030.3901896805,3.0,13429296.631985141,4440091.170569042,2695420.222579575,9.073662757873535
Apartment Block_AB_2_2000to2010,Apartment Block,2005,738957.2357441286,4.0,9169593.949493645,2955828.9429765143,1812266.9715408578,12.408828963234768
