Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,24148.66750406989,3.0,201535.99775582386,72446.00251220967,65627.0705605692,8.345636367797852
Apartment Block_AB_1_Before1945,Apartment Block,1900,6750.574602821666,3.0,63615.582587338075,20251.723808464998,19668.776187265583,9.4237285461222
Apartment Block_AB_2_Before1945,Apartment Block,1900,21216.70451391161,3.0,213346.62433825896,63650.11354173483,63494.79643681987,10.055596720893645
Apartment Block_AB_3_Before1945,Apartment Block,1900,4441.496806348639,4.0,58055.681994776314,17765.987225394558,14678.42445735937,13.071197509765625
Apartment Block_AB_0_1945to1969,Apartment Block,1955,25318.105737052756,3.0,211845.61796984903,75954.31721115827,63328.43846847053,8.367356553844209
Apartment Block_AB_1_1945to1969,Apartment Block,1955,7052.512815443249,3.0,66460.96634078519,21157.538446329745,20548.516872444383,9.4237285461222
Apartment Block_AB_2_1945to1969,Apartment Block,1955,22165.680596032533,3.0,222889.1451178406,66497.0417880976,66334.7776939548,10.055596720893645
Apartment Block_AB_3_1945to1969,Apartment Block,1955,4640.155096342624,4.0,60652.38374023999,18560.620385370497,15334.95779052237,13.071197509765625
Apartment Block_AB_0_1970to1979,Apartment Block,1975,6257.110581165755,3.0,52724.69100105894,18771.331743497267,16187.524817988951,8.426363945007324
Apartment Block_AB_1_1970to1979,Apartment Block,1975,1208.2361397231045,3.0,11150.055808097464,3624.7084191693134,2833.5811972607335,9.22837468729644
Apartment Block_AB_2_1970to1979,Apartment Block,1975,2607.623043535994,4.0,28681.731564136575,10430.492174143976,6145.488683337744,10.999186264761459
Apartment Block_AB_3_1970to1979,Apartment Block,1975,267.5602284994917,6.0,4859.503043503731,1605.3613709969502,1418.0124543750203,18.162277221679688
Apartment Block_AB_0_1980to1989,Apartment Block,1985,6168.473777363367,3.0,51977.80503329781,18505.4213320901,15958.216027177861,8.426363945007324
Apartment Block_AB_1_1980to1989,Apartment Block,1985,1191.1205416727917,3.0,10992.106656292015,3573.361625018375,2793.44133120247,9.22837468729644
Apartment Block_AB_2_1980to1989,Apartment Block,1985,2570.684049234662,4.0,28275.432685383264,10282.736196938647,6058.433089924639,10.999186264761459
Apartment Block_AB_3_1980to1989,Apartment Block,1985,263.7700312237368,6.0,4790.664429856614,1582.6201873424209,1397.925212815616,18.162277221679688
Apartment Block_AB_0_1990to2000,Apartment Block,1995,6938.1346765019525,3.0,58808.96278949655,20814.40402950586,20057.99926796649,8.476192165694119
Apartment Block_AB_1_1990to2000,Apartment Block,1995,7946.288843282379,3.0,72611.97882248534,23838.86652984714,18797.704885434574,9.137847900390625
Apartment Block_AB_2_1990to2000,Apartment Block,1995,2549.608004754047,3.0,24158.397567110413,7648.824014262142,7134.637100517747,9.475337982177734
Apartment Block_AB_3_1990to2000,Apartment Block,1995,4242.288296253232,4.0,50648.67701390193,16969.15318501293,15546.625314213574,11.938999303426547
Apartment Block_AB_0_2000to2010,Apartment Block,2005,8687.11456958508,3.0,72122.53814726228,26061.343708755237,21497.343538381112,8.30224323272705
