Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,LI000,1100,160945.16400251538,1193.08,9.524612599989798,47.12337269996852
Apartment Block,LI000,1200,476679.8066320785,1205.74,9.512783749182748,47.1691402725735
Education,LI000,1100,68414.76751431171,1188.0049,9.51955799978882,47.138059449978776
Education,LI000,1200,64003.886047288775,1206.53,9.547348789616162,47.233470678662464
Health,LI000,1100,13866.325150280376,1160.36,9.52269786319334,47.134746538935836
Hotels and Restaurants,LI000,1000,520.3980124341324,1071.34,9.548374223522227,47.08453663675609
Hotels and Restaurants,LI000,1100,8867.630672337953,1179.05,9.610165584424282,47.10138437356324
Hotels and Restaurants,LI000,1200,5104.491539213806,1227.3601,9.528151736498701,47.24859633085214
Industrial,LI000,1100,150971.36458104872,1186.21,9.508850478045527,47.07593641505153
Industrial,LI000,1200,1426910.9490584629,1213.47,9.512822974048424,47.17725447876814
Offices,LI000,1100,90039.42069982179,1178.52,9.52188030154463,47.133349536495786
Offices,LI000,1200,103868.5878112656,1208.73,9.52409536956934,47.11095641121403
Other non-residential buildings,LI000,1000,37.53304212167859,1030.88,9.566356499996662,47.19181104999361
Other non-residential buildings,LI000,1100,56329.55150887789,1184.39,9.605865949994403,47.0965098499926
Other non-residential buildings,LI000,1200,206485.8559921732,1213.1699,9.500113424036826,47.16902014120589
Single family- Terraced houses,LI000,1000,5351.836395717342,1077.64,9.610427037318894,47.13056986924057
Single family- Terraced houses,LI000,1100,1234695.5465728836,1181.74,9.607892650003915,47.10052994971364
Single family- Terraced houses,LI000,1200,2144789.5776964426,1226.75,9.506419404335656,47.21043011976133
Sport,LI000,1100,16462.360722735524,1197.56,9.502717068386513,47.067513995737286
Sport,LI000,1200,10311.979931935668,1220.72,9.495371152762695,47.07333056682374
Trade,LI000,1100,190472.88221082557,1180.655,9.5204894252803,47.141228181468115
Trade,LI000,1200,464504.31483224337,1212.63,9.503136441523033,47.169128895908344
