Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1015135.9374609272,3.0,10255704.106523233,3045407.8123827814,2857956.730824225,10.102788925170898
Apartment Block_AB_1_Before1945,Apartment Block,1900,230957.2430974793,5.0,3324942.606717162,1154786.2154873966,545192.5597088957,14.396355628967285
Apartment Block_AB_2_Before1945,Apartment Block,1900,596688.3581549044,5.0,9422193.192853339,2983441.7907745223,1904638.3044751259,15.79081117317069
Apartment Block_AB_3_Before1945,Apartment Block,1900,19434.639337380126,10.0,611204.5574663176,194346.39337380126,120919.70255883153,31.449235916137695
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1318432.7457762104,3.0,13319847.742610557,3955298.2373286313,3711841.5385380024,10.102788925170898
Apartment Block_AB_1_1945to1969,Apartment Block,1955,304868.499196629,5.0,4388995.334504198,1524342.495983145,719665.8360762778,14.396355628967285
Apartment Block_AB_2_1945to1969,Apartment Block,1955,774594.2765751283,5.0,12197651.111163327,3872971.3828756413,2493334.517071673,15.747148513793945
Apartment Block_AB_3_1945to1969,Apartment Block,1955,25784.50587982262,10.0,810903.0083955812,257845.0587982262,160427.71504474414,31.449235916137695
Apartment Block_AB_0_1970to1979,Apartment Block,1975,44542.33288023175,3.0,397712.95281222474,133626.99864069524,178204.43036921314,8.928875680616473
Apartment Block_AB_1_1970to1979,Apartment Block,1975,96529.61573877807,3.0,905280.16939501,289588.8472163342,204172.7351140695,9.378263473510742
Apartment Block_AB_2_1970to1979,Apartment Block,1975,38666.33484532496,5.0,545455.7639150632,193331.67422662477,128786.2524551943,14.106735642181324
Apartment Block_AB_3_1970to1979,Apartment Block,1975,10172.21126406995,7.0,202066.24035592287,71205.47884848966,42967.09015793862,19.864534378051758
Apartment Block_AB_0_1980to1989,Apartment Block,1985,44153.61642285806,3.0,394242.15188932547,132460.84926857418,176649.25823560092,8.928875680616473
Apartment Block_AB_1_1980to1989,Apartment Block,1985,95687.21149465114,3.0,897379.880442384,287061.6344839534,202390.94019777628,9.378263473510742
Apartment Block_AB_2_1980to1989,Apartment Block,1985,38328.89763158238,5.0,540695.6263449625,191644.48815791192,127662.3477879775,14.106735642181324
Apartment Block_AB_3_1980to1989,Apartment Block,1985,10083.439399855788,7.0,200302.82860743688,70584.07579899051,42592.120685307724,19.864534378051758
Apartment Block_AB_0_1990to2000,Apartment Block,1995,517937.8916721118,3.0,4624554.210968159,1553813.6750163354,1478634.812850594,8.928781395078545
Apartment Block_AB_1_1990to2000,Apartment Block,1995,60965.20410276679,4.0,804452.0161762511,243860.81641106715,186901.96493035767,13.195264873061298
Apartment Block_AB_2_1990to2000,Apartment Block,1995,283057.2011909999,4.0,3756292.8239052175,1132228.8047639995,855586.454007292,13.270437240600586
Apartment Block_AB_3_1990to2000,Apartment Block,1995,61376.512922915696,7.0,1233184.278127075,429635.5904604099,261150.28209435553,20.09212024925336
Apartment Block_AB_0_2000to2010,Apartment Block,2005,359997.7109756593,3.0,3295488.15532883,1079993.132926978,974158.0330788511,9.154191970825195
Apartment Block_AB_1_2000to2010,Apartment Block,2005,16907.266891174775,3.0,173798.83060176633,50721.800673524325,32448.902177000848,10.279534339904785
Apartment Block_AB_2_2000to2010,Apartment Block,2005,40771.007607519314,4.0,472828.3790086368,163084.03043007726,98095.86384398627,11.597171783447266
Apartment Block_AB_3_2000to2010,Apartment Block,2005,100777.6523137063,5.0,1552501.043193136,503888.2615685315,308573.48370722134,15.405211448669435
Apartment Block_AB_0_Post2010,Apartment Block,2020,118586.43736508292,3.0,1013007.2837022007,355759.3120952488,416339.5316762221,8.542353630065918
Apartment Block_AB_1_Post2010,Apartment Block,2020,187569.0560763981,3.0,1866201.8747900801,562707.1682291942,410670.1178241272,9.949412306206648
Apartment Block_AB_2_Post2010,Apartment Block,2020,19292.488255578533,4.0,215388.1917035817,77169.95302231413,53896.5716066539,11.164355206555637
Apartment Block_AB_3_Post2010,Apartment Block,2020,72797.9576930131,5.0,1116403.503793004,363989.78846506553,226133.93920372755,15.335643185222935
SFH_0_Before1945_1900,Single family- Terraced houses,1900,5728224.985631904,1.0,14973525.953637373,5728224.985631904,6009088.649278612,2.613990545272827
SFH_1_Before1945_1900,Single family- Terraced houses,1900,1017642.7252850651,2.0,4580912.496572673,2035285.4505701303,1695682.9744543578,4.501493876733069
SFH_2_Before1945_1900,Single family- Terraced houses,1900,771514.6420869362,2.0,5204761.9770619385,1543029.2841738723,1734400.9194949374,6.746160984039307
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,7641182.563378962,1.0,19898224.462987904,7641182.563378962,8209798.768553491,2.6040765677228928
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,4119525.337016033,1.0,15676084.673134945,4119525.337016033,5602797.595732374,3.805313328765657
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,1330849.4623801277,2.0,8531235.194561772,2661698.9247602555,2948537.5394266844,6.410368291620508
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,1872876.5957789267,1.0,4851965.3669917155,1872876.5957789267,1955548.3814564846,2.590648726097082
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,557058.0408804484,1.0,2293321.1519867904,557058.0408804484,832395.7399755816,4.116844177246094
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,212082.95652800423,2.0,1359294.1911235405,424165.91305600846,451746.6985065414,6.409257082117554
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,1856532.1901689463,1.0,4809622.753419406,1856532.1901689463,1938482.5074910019,2.590648726097082
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,552196.6514066458,1.0,2273307.5690382407,552196.6514066458,825131.5061051582,4.116844177246094
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,210232.12990532655,2.0,1347431.7674843718,420464.2598106531,447804.350521628,6.409257082117554
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,2626422.040855903,1.0,7147295.778348566,2626422.040855903,2850425.2654352393,2.7213051319122314
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,1003605.1834192562,2.0,4746700.036951025,2007210.3668385125,1709325.7333244714,4.729648785570381
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,784351.6653949001,2.0,5383758.665930374,1568703.3307898003,1773244.379677671,6.863960266113281
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,3059969.954369288,1.0,8259890.133899779,3059969.954369288,3227446.9380666977,2.6993370056152344
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,1016197.448602937,2.0,4867269.352888858,2032394.897205874,1696942.1248260257,4.789688617679915
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,470935.85442892235,2.0,3213454.726688296,941871.7088578447,1067966.1971350927,6.823550800957964
SFH_0_Post2010_2020,Single family- Terraced houses,2020,3466889.942706923,1.0,9607012.910265427,3466889.942706923,3771840.5598163637,2.7710752487182617
SFH_1_Post2010_2020,Single family- Terraced houses,2020,61842.057382419385,2.0,305047.0876488819,123684.11476483877,77597.97938849112,4.932680130004883
SFH_2_Post2010_2020,Single family- Terraced houses,2020,1081882.6311569125,2.0,6071739.731863029,2163765.262313825,2111022.6356401667,5.612198178438457
0_Other non-residential buildings_1900,Other non-residential buildings,1900,436436.23409371125,3.0,4218467.301164626,1309308.7022811337,1134886.5676923927,9.665712815812723
0_Other non-residential buildings_1955,Other non-residential buildings,1955,749016.4161926927,3.0,6094257.333782597,2247049.248578078,2091191.7462944186,8.136346817016602
0_Other non-residential buildings_1975,Other non-residential buildings,1975,153057.372352102,2.0,1017004.1505475045,306114.744704204,330447.58226382144,6.644594343406927
0_Other non-residential buildings_1985,Other non-residential buildings,1985,151721.65606360827,2.0,1008128.8576525827,303443.31212721654,327563.7994617244,6.644594343406927
0_Other non-residential buildings_1995,Other non-residential buildings,1995,270187.6661633277,3.0,2269660.808803946,810562.998489983,570602.3259050823,8.400312423706055
0_Other non-residential buildings_2005,Other non-residential buildings,2005,277913.2901861622,2.0,1948086.6202925479,555826.5803723244,559348.8426798498,7.009692192077637
0_Other non-residential buildings_2020,Other non-residential buildings,2020,245097.8331952468,2.0,1529326.1785293126,490195.6663904936,422613.9881216695,6.239656053226058
0_Trade_1900,Trade,1900,598440.2172143718,4.0,7720459.563750803,2393760.868857487,1241343.8343597283,12.900970458984375
0_Trade_1955,Trade,1955,828040.1876511669,4.0,10134759.870357312,3312160.7506046677,1815072.880399726,12.239454100779513
0_Trade_1975,Trade,1975,86385.53761547514,3.0,793188.0701706145,259156.61284642544,166435.4608597622,9.181954434332564
0_Trade_1985,Trade,1985,85631.65972047356,3.0,786265.9976896594,256894.97916142066,164982.99533891212,9.181954434332564
0_Trade_1995,Trade,1995,266717.8580241488,3.0,2600194.461159676,800153.5740724463,389387.9428972686,9.74885776461302
0_Trade_2005,Trade,2005,256260.41837405032,4.0,3099565.048894711,1025041.6734962013,425532.311579154,12.095371843069548
0_Trade_2020,Trade,2020,255458.79137660752,3.0,2359709.031258733,766376.3741298226,553330.768656877,9.237141609191895
