Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,LT011,1000,24874795.767708465,1023.47,25.25396186666708,54.667593348594174
Education,LT011,1000,2590908.0756562017,1024.12,25.217466657677555,54.672404034187664
Health,LT011,1000,267721.11222191155,1026.56,25.28120209681443,54.753861149069785
Hotels and Restaurants,LT011,1000,444682.4048193973,1026.0,25.27695693475971,54.73707005890858
Industrial,LT011,1000,20210122.20643387,1028.13,24.947942657310627,54.60705368409573
Offices,LT011,1000,3105079.5348578193,1023.47,25.26642708574819,54.69021747688843
Other non-residential buildings,LT011,1000,6020875.421549533,1027.9,24.840863015921833,54.517732716559934
Single family- Terraced houses,LT011,1000,47394028.08945257,1028.77,25.146089974490852,54.303412444419656
Sport,LT011,1000,105845.3770415599,1026.63,25.23465803611309,54.70801844634434
Trade,LT011,1000,8813134.618948191,1025.28,25.625135132927145,54.646065433725866
