Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,LU000,1000,469226.2809752564,1092.85,6.000437469220382,50.120992675272156
Apartment Block,LU000,1100,18198535.074968517,1124.27,6.125396445285778,49.59957686218058
Education,LU000,1000,70509.74740076996,1090.955,6.157781290117766,49.87031519010706
Education,LU000,1100,2449311.4091242286,1123.155,6.036722866224465,49.66924524252315
Health,LU000,1000,11555.223133007064,1099.3,6.143186735636359,49.858734259263315
Health,LU000,1100,391605.2455710103,1119.935,5.886174607961379,49.53265256365813
Hotels and Restaurants,LU000,1000,35182.23040274443,1088.37,5.748908706896762,49.82402112946383
Hotels and Restaurants,LU000,1100,431987.70230809896,1125.435,6.1392417267848,49.596263066647616
Industrial,LU000,1000,767811.248319455,1091.475,6.075455900055061,50.05099434994139
Industrial,LU000,1100,12225213.746719293,1126.64,6.220577904768839,49.59599042411703
Offices,LU000,1000,69332.89257971343,1091.09,6.076706634886044,50.04413938608698
Offices,LU000,1100,3932122.705862563,1122.05,6.127444139047181,49.61203701832953
Other non-residential buildings,LU000,1000,1308263.0797422207,1093.87,5.850252634695822,49.85913015146996
Other non-residential buildings,LU000,1100,8560344.624641115,1123.45,6.234913061885382,49.72814786646128
Single family- Terraced houses,LU000,1000,4325850.089056937,1092.27,6.09246459998886,49.71479749998725
Single family- Terraced houses,LU000,1100,26958885.744165845,1126.3,6.357371776226411,49.509286777464155
Sport,LU000,1000,7212.971159037203,1090.59,6.097036293150918,49.99141427295401
Sport,LU000,1100,205933.79262875405,1124.42,6.136343814173079,49.6008677799256
Trade,LU000,1000,532676.6580774949,1091.485,6.394017158763218,49.81969576424698
Trade,LU000,1100,10369511.054504968,1123.94,6.135221348871856,49.60265606544234
