Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,617479.1485413383,3.0,5581404.939033711,1852437.4456240148,2208771.445692244,9.039017677307129
Apartment Block_AB_1_Before1945,Apartment Block,1900,2097893.9622181845,3.0,20114719.97359378,6293681.886654554,4357200.515041778,9.588053703308105
Apartment Block_AB_2_Before1945,Apartment Block,1900,512524.205817455,4.0,6682964.190645969,2050096.82326982,1181190.4277846492,13.039314270019531
Apartment Block_AB_3_Before1945,Apartment Block,1900,748259.310478565,5.0,10660961.136801563,3741296.5523928255,2125706.906590954,14.247682571411133
Apartment Block_AB_0_1945to1969,Apartment Block,1955,382911.7393207383,3.0,3461145.980568573,1148735.217962215,1369705.3868619462,9.039017677307129
Apartment Block_AB_1_1945to1969,Apartment Block,1955,1300947.9395070805,3.0,12473558.709201911,3902843.818521241,2701991.203630366,9.588053703308105
Apartment Block_AB_2_1945to1969,Apartment Block,1955,317826.9834004012,4.0,4144245.920050112,1271307.9336016048,732480.8979225758,13.039314270019531
Apartment Block_AB_3_1945to1969,Apartment Block,1955,464011.25400771695,5.0,6611085.056664373,2320056.2700385847,1318195.328233592,14.247682571411133
Apartment Block_AB_0_1970to1979,Apartment Block,1975,35626.776216599705,3.0,305072.0749575569,106880.32864979912,126602.87712021366,8.562999725341797
Apartment Block_AB_1_1970to1979,Apartment Block,1975,105880.75548632901,3.0,1010007.3538898194,317642.266458987,218333.62636992894,9.539102259430216
Apartment Block_AB_2_1970to1979,Apartment Block,1975,5971.46040871348,4.0,64304.82942042201,23885.84163485392,12715.26788296058,10.768693923950195
Apartment Block_AB_3_1970to1979,Apartment Block,1975,18219.141095653566,5.0,273977.0117525131,91095.70547826783,58570.88879324725,15.037866511603788
Apartment Block_AB_0_1980to1989,Apartment Block,1985,38384.50147201793,3.0,328686.4755622714,115153.5044160538,136402.69592841525,8.562999725341797
Apartment Block_AB_1_1980to1989,Apartment Block,1985,114076.55831991132,3.0,1088187.9552174888,342229.67495973397,235233.9530199405,9.539102259430216
Apartment Block_AB_2_1980to1989,Apartment Block,1985,6433.687108112859,4.0,69282.40726973164,25734.748432451437,13699.5055573733,10.768693923950195
Apartment Block_AB_3_1980to1989,Apartment Block,1985,19629.411427890413,5.0,295184.4687539659,98147.05713945207,63104.625392804395,15.037866511603788
Apartment Block_AB_0_1990to2000,Apartment Block,1995,152972.36091477805,3.0,1324676.578308901,458917.0827443342,520177.880843152,8.659581184387207
Apartment Block_AB_1_1990to2000,Apartment Block,1995,332305.9865917214,3.0,3281073.3268048237,996917.9597751643,707099.357663703,9.873650969869598
Apartment Block_AB_2_1990to2000,Apartment Block,1995,30928.99907608762,3.0,313725.9625988711,92786.99722826286,69380.30044101166,10.143424358062221
Apartment Block_AB_3_1990to2000,Apartment Block,1995,70105.3752348542,5.0,1033892.8448814071,350526.876174271,211794.3731803782,14.747697183245199
Apartment Block_AB_0_2000to2010,Apartment Block,2005,52143.415311588884,3.0,444112.6890884055,156430.24593476666,184094.0374219733,8.517138481140137
Apartment Block_AB_1_2000to2010,Apartment Block,2005,126715.40238709033,3.0,1148819.4015034707,380146.207161271,244298.46705057513,9.066138605582108
Apartment Block_AB_2_2000to2010,Apartment Block,2005,11818.446035724848,3.0,117836.35711455233,35455.338107174546,19235.72473494575,9.970545768737793
Apartment Block_AB_3_2000to2010,Apartment Block,2005,38013.7675175927,4.0,507396.9211334519,152055.0700703708,100614.51655468844,13.347714637825087
Apartment Block_AB_0_Post2010,Apartment Block,2020,43742.1806596483,3.0,372117.232484377,131226.5419789449,152859.32101229203,8.507057189941406
Apartment Block_AB_1_Post2010,Apartment Block,2020,108526.202219059,3.0,979930.6954043038,325578.60665717704,196345.19105492713,9.029438747209857
Apartment Block_AB_2_Post2010,Apartment Block,2020,9212.935758131163,3.0,89146.47386154596,27638.80727439349,21733.92564057485,9.676228750739629
Apartment Block_AB_3_Post2010,Apartment Block,2020,30807.058610547723,4.0,413052.5826655267,123228.2344421909,91453.69610755173,13.407725414074608
SFH_0_Before1945_1900,Single family- Terraced houses,1900,25120803.575790167,1.0,65061581.1006266,25120803.575790167,20936485.07904732,2.5899482436672057
