Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,LV005,900,4465.010478168726,986.98,27.662647406219726,57.26485366095654
Apartment Block,LV005,1000,5044339.212454151,1017.62,26.541907502178177,55.880148816832545
Apartment Block,LV009,1000,763644.3662880394,1021.93,23.726088756399523,56.64572572187485
Apartment Block,LV00A,1000,19817079.739537943,1027.98,24.10649038545213,56.9459734011197
Apartment Block,LV00B,1000,1230059.8259306077,1059.385,21.565832141290066,57.39598369544529
Apartment Block,LV00C,1000,73772.85285809543,1004.5,26.22527866742583,56.85949919621068
Education,LV005,900,14346.583774598315,999.695,27.26194319347623,57.13041837857326
Education,LV005,1000,586455.2951660865,1017.64,26.548395126304044,55.87806065461141
Education,LV009,1000,327083.47487545817,1019.91504,24.127001574012255,56.59357369472806
Education,LV00A,1000,2213128.877879371,1027.48,24.087808813490135,56.92546261634031
Education,LV00B,1000,446088.6829949949,1027.29,21.59840907895365,56.87644231548272
Education,LV00C,900,146984.54035065463,994.71497,25.165185177405608,57.20496909291035
Education,LV00C,1000,269106.1704207801,1007.255,24.61036686877726,56.817169095103836
Health,LV005,900,4068.955602010712,999.38,27.256103586253296,57.139719888138615
Health,LV005,1000,57144.76632251823,1019.26,26.520569399991032,55.87610189997264
Health,LV009,1000,19092.679495891556,1019.83,23.75031885276753,56.65736432346029
Health,LV00A,1000,557913.3304475995,1028.93,24.126348113263827,56.96256795043464
Health,LV00B,1000,48635.614150549285,1058.555,21.54352065177452,57.38730710547478
Health,LV00C,900,17687.389613069594,989.595,25.70027369999319,57.62682414998326
Health,LV00C,1000,16229.444890554063,1009.74,24.926255478772372,56.90399934886813
Hotels and Restaurants,LV005,1000,27990.736545526423,1015.4,27.327185991788234,56.50057052449914
Hotels and Restaurants,LV009,1000,34920.79886804987,1021.9,23.71932407591791,56.65064473274053
Hotels and Restaurants,LV00A,1000,330033.9579546297,1027.68,24.122568978546813,56.950490286136315
Hotels and Restaurants,LV00B,1000,31448.80321859778,1025.65,21.646978263017452,56.933125181864824
Hotels and Restaurants,LV00C,900,9147.780207861215,996.08,25.438064424185935,57.22422475393682
Hotels and Restaurants,LV00C,1000,16632.86197883822,1043.6,24.409649016607204,57.23615165005113
Industrial,LV005,900,39482.66720583057,999.0,27.504905769171465,57.040893881589376
Industrial,LV005,1000,4243890.898336139,1017.62,27.18308644999273,55.896911999987786
Industrial,LV009,1000,3556564.0176245347,1020.845,23.748653876145617,56.64807181164784
Industrial,LV00A,1000,18104532.847119033,1026.835,23.99776966004916,56.90094058055889
Industrial,LV00B,1000,5089354.544097861,1052.93,21.629447942507298,57.22330297507284
Industrial,LV00C,900,1643752.2183480556,993.16,25.261089314473267,57.2944805098768
Industrial,LV00C,1000,1713556.155973963,1008.05,24.753693693894693,56.80566033560651
Offices,LV005,900,12426.993989560753,999.0,27.257324191259357,57.139605107649125
Offices,LV005,1000,138864.03604147676,1018.185,26.559937057303344,55.87482746122931
Offices,LV009,1000,74029.57165069599,1016.995,23.793800199416342,56.690049699863586
Offices,LV00A,1000,1717446.359152109,1027.79,24.1543243861419,56.96551406985983
Offices,LV00B,1000,172676.9375602727,1034.43,21.570719947228394,56.980098133596194
Offices,LV00C,900,33452.03057992202,996.82,25.44784210386769,57.494403531697465
