Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,ME000,1300,655872.8078725386,1344.03,20.169190999992278,42.84630234997751
Apartment Block,ME000,1400,2118955.1664740555,1491.35,18.8463365,42.2917618499893
Apartment Block,ME000,1500,8766600.980280096,1542.95,19.131334899776355,42.09006309990477
Education,ME000,1200,211.58380761928856,1276.25,19.276627716554213,42.868074469941384
Education,ME000,1300,84369.44011075841,1356.0,19.73435588790902,43.0319906122375
Education,ME000,1400,121227.69123544241,1489.6951,18.691765125865537,42.4435608783349
Education,ME000,1500,444540.14847266255,1541.1699,19.238873320365204,42.43664118504199
Health,ME000,1300,21635.82781350799,1375.08,19.870842584659627,42.849806945492205
Health,ME000,1400,23326.72608563071,1483.44,18.943942598901305,42.77803876740798
Health,ME000,1500,116066.53392724367,1541.02,19.245996992569914,42.4374591106647
Hotels and Restaurants,ME000,1000,210.54721975326538,1059.6,19.108114399988768,43.214974949966546
Hotels and Restaurants,ME000,1100,301.7387318145484,1197.52,19.7870054999951,42.523843349994785
Hotels and Restaurants,ME000,1200,389.08049531280994,1218.84,19.71365079994068,42.88476028195794
Hotels and Restaurants,ME000,1300,11846.410006589722,1351.89,19.747168843571394,43.03502295789259
Hotels and Restaurants,ME000,1400,66420.17604297725,1479.73,18.90250454999335,42.24005514998267
Hotels and Restaurants,ME000,1500,153198.22042022366,1527.1699,18.974084306248496,42.18280118665693
Industrial,ME000,1200,748.2314278688282,1217.525,19.782420411596448,42.6538980431523
Industrial,ME000,1300,401992.5353950062,1360.67,19.582545149720005,42.95846674995061
Industrial,ME000,1400,1299967.5228278318,1484.37,18.93987137287685,42.7604331930284
Industrial,ME000,1500,1833972.8930319245,1546.145,19.255194772311068,42.42383936883203
Offices,ME000,1100,88.72984911128879,1121.22,18.84250351614092,43.26514711547279
Offices,ME000,1200,389.84408850595355,1234.56,19.903576916096757,43.06835462935565
Offices,ME000,1300,16961.228772260714,1369.915,19.496034622961982,42.74293763668407
Offices,ME000,1400,36735.83276027627,1490.065,18.983476099992508,42.775696299979266
Offices,ME000,1500,124529.54528185085,1540.9199,18.961958509185603,42.196376972963705
Other non-residential buildings,ME000,900,311.73467592149973,970.25,18.847950546858037,43.27816294512591
Other non-residential buildings,ME000,1100,174.78296908270568,1191.71,18.71068279999951,43.247019099992144
Other non-residential buildings,ME000,1200,4137.749848499894,1266.935,19.380293578832664,42.6067577576549
Other non-residential buildings,ME000,1300,88348.04403512296,1355.51,18.750751903466565,43.1722979002695
Other non-residential buildings,ME000,1400,276715.1255881544,1472.78,19.120881837708723,42.74348574624476
Other non-residential buildings,ME000,1500,1128431.028709033,1539.46,19.22989942792554,42.44027604183784
Single family- Terraced houses,ME000,1000,2451.041710339021,1058.865,19.410375876964725,43.0167871869934
Single family- Terraced houses,ME000,1100,11970.061739913188,1176.67,19.787556785663792,42.52349619478182
Single family- Terraced houses,ME000,1200,186736.52367006382,1276.955,19.664016700003938,42.72013799999233
Single family- Terraced houses,ME000,1300,5991656.336090216,1350.66,19.79202092014397,42.733434020702944
Single family- Terraced houses,ME000,1400,5412207.288005699,1476.3,19.110944949991037,42.22188984998915
Single family- Terraced houses,ME000,1500,13903814.33212204,1540.55,19.132172349993162,42.091828349991765
Sport,ME000,1300,1334.3068249113858,1334.54,19.362797521879177,43.36224197203866
Sport,ME000,1400,18578.335296429694,1492.605,18.83860251104497,42.28926798590369
Sport,ME000,1500,39777.2099260157,1539.53,19.265377235486387,42.44434401690076
Trade,ME000,1200,544.4789259526879,1232.6,19.291110072230257,43.1492065538056
Trade,ME000,1300,76360.51091583492,1351.415,19.747949963866912,43.03549040295471
Trade,ME000,1400,189725.0756925228,1484.03,19.115289254664994,42.53141775749491
Trade,ME000,1500,856102.1309351407,1543.64,19.21107873628097,42.41956874396623
