Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1047703.2526546103,3.0,9262275.431422198,3143109.757963831,1647438.6783667854,8.84055233001709
Apartment Block_AB_1_Before1945,Apartment Block,1900,723175.60042297,3.0,6525971.610506319,2169526.80126891,2462862.5108642513,9.024048386988468
Apartment Block_AB_2_Before1945,Apartment Block,1900,181360.85757923455,3.0,1710116.8867013752,544082.5727377037,256440.58200244038,9.429360389709473
Apartment Block_AB_3_Before1945,Apartment Block,1900,436592.81419616524,4.0,5651741.305866754,1746371.256784661,1570203.220940861,12.945108398708948
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1094564.6927655195,3.0,9676556.444982653,3283694.0782965585,1721124.9523828984,8.84055233001709
Apartment Block_AB_1_1945to1969,Apartment Block,1955,755521.639249351,3.0,6817863.83000299,2266564.917748053,2573020.8822941775,9.024048386988468
Apartment Block_AB_2_1945to1969,Apartment Block,1955,189472.72603471426,3.0,1786606.6178020095,568418.1781041428,267910.5998200482,9.429360389709473
Apartment Block_AB_3_1945to1969,Apartment Block,1955,456120.64133946,4.0,5904531.145027955,1824482.56535784,1640434.9244443474,12.945108398708948
Apartment Block_AB_0_1970to1979,Apartment Block,1975,2118.590206955199,3.0,18103.17164001172,6355.770620865596,0.0,8.544914245605469
Apartment Block_AB_1_1970to1979,Apartment Block,1975,78328.91662473853,3.0,676387.0952450633,234986.74987421557,231896.97608234698,8.635215759277344
Apartment Block_AB_2_1970to1979,Apartment Block,1975,8040.297489310694,3.0,78243.56195695384,24120.89246793208,19423.256633985256,9.731426239013672
Apartment Block_AB_3_1970to1979,Apartment Block,1975,99708.58547271107,3.0,1035658.2517082613,299125.7564181332,202391.02420791565,10.38685131072998
Apartment Block_AB_0_1980to1989,Apartment Block,1985,2088.5787404682883,3.0,17846.726232496203,6265.736221404864,0.0,8.544914245605469
Apartment Block_AB_1_1980to1989,Apartment Block,1985,77219.3270266549,3.0,666805.5496613613,231657.98107996467,228611.9763201167,8.635215759277344
Apartment Block_AB_2_1980to1989,Apartment Block,1985,7926.400465783886,3.0,77135.1814736595,23779.20139735166,19148.11120301714,9.731426239013672
Apartment Block_AB_3_1980to1989,Apartment Block,1985,98296.13635369425,3.0,1020987.352725062,294888.40906108276,199523.99904168642,10.38685131072998
Apartment Block_AB_0_1990to2000,Apartment Block,1995,178193.8776969904,3.0,1571017.041559069,534581.6330909713,279597.6426875105,8.816335678100586
Apartment Block_AB_1_1990to2000,Apartment Block,1995,184261.82954383382,3.0,1642604.0560320164,552785.4886315014,612158.8742319068,8.914510726928711
Apartment Block_AB_2_1990to2000,Apartment Block,1995,17681.04232138949,3.0,169092.84274822907,53043.12696416847,28008.57475656252,9.5635110009137
Apartment Block_AB_3_1990to2000,Apartment Block,1995,80386.94354586031,4.0,1055586.0661943867,321547.77418344124,298704.781278083,13.131312370300293
Apartment Block_AB_0_2000to2010,Apartment Block,2005,15537.653128616088,3.0,131868.666731242,46612.95938584826,19163.297213862035,8.4870389137711
Apartment Block_AB_1_2000to2010,Apartment Block,2005,73505.5118538681,3.0,639877.0041561853,220516.53556160428,102339.61675908612,8.705156770124756
Apartment Block_AB_2_2000to2010,Apartment Block,2005,83368.6722011272,3.0,732406.0960828807,250106.0166033816,271915.4056833757,8.785147666931152
Apartment Block_AB_3_2000to2010,Apartment Block,2005,27930.38595944136,4.0,365478.21102492383,111721.54383776544,98113.18712841024,13.085326194763184
Apartment Block_AB_0_Post2010,Apartment Block,2020,40175.94597777445,3.0,314108.8574306526,120527.83793332335,4602.408719317369,7.818331336975097
Apartment Block_AB_1_Post2010,Apartment Block,2020,65823.91778204638,3.0,567284.3677197697,197471.75334613913,92358.76351953372,8.61821032285164
Apartment Block_AB_2_Post2010,Apartment Block,2020,67874.1516187491,3.0,594678.3680687259,203622.45485624732,223205.74146260007,8.76148509979248
Apartment Block_AB_3_Post2010,Apartment Block,2020,27323.796783813963,4.0,341120.1511048699,109295.18713525585,91669.55663820742,12.484361298827338
SFH_0_Before1945_1900,Single family- Terraced houses,1900,1387868.0091270083,1.0,3921276.144310053,1387868.0091270083,1374787.912847246,2.8253955841064453
SFH_1_Before1945_1900,Single family- Terraced houses,1900,2698500.5451090485,2.0,17880223.69535262,5397001.090218097,4936509.543456424,6.6259848373052925
SFH_2_Before1945_1900,Single family- Terraced houses,1900,242563.73223832768,2.0,1712353.0998672864,485127.46447665535,369621.09268708085,7.059394593190202
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,1617888.1459258087,1.0,4661737.834454087,1617888.1459258087,1651405.2684637278,2.8813721431814354
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,2815081.6600715844,2.0,18669340.935557645,5630163.320143169,5231309.728615271,6.631900310516357
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,254235.51390280854,2.0,1794748.812242419,508471.0278056171,387406.67280089465,7.059394593190202
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,490504.98728267674,1.0,1361246.112344338,490504.98728267674,425633.73446897237,2.775193214416504
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,391086.8789236888,2.0,2417675.0766539588,782173.7578473776,630469.1762189942,6.181938609926389
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,20205.008642164437,2.0,128852.69700400963,40410.017284328875,23638.668306351978,6.37726512698024
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,483556.60531660833,1.0,1341963.009860931,483556.60531660833,419604.3038996351,2.775193214416504
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,385546.83124398335,2.0,2383426.8420019546,771093.6624879667,621538.0934210991,6.181938609926389
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,19918.789090246686,2.0,127027.39903690465,39837.57818049337,23303.808313446192,6.37726512698024
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,744984.4135310451,1.0,2194539.6109193843,744984.4135310451,738777.8805585299,2.9457523822784424
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,823123.2417428006,2.0,5172067.182431084,1646246.4834856011,1488648.1290887718,6.283466339111328
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,55166.633449778885,2.0,358352.7230155646,110333.26689955777,84189.16088740081,6.495823663805625
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,852356.7810595519,1.0,2369728.269016717,852356.7810595519,738943.409887055,2.780206976321516
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,25651.171411329502,2.0,152407.87081264207,51302.342822659004,23018.343422305505,5.941555976867676
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,535252.453586744,2.0,3182251.8587497645,1070504.907173488,862079.1194824982,5.945328858233889
SFH_0_Post2010_2020,Single family- Terraced houses,2020,936665.9106418086,1.0,2593313.9707014803,936665.9106418086,811875.0835913247,2.768664836883545
SFH_1_Post2010_2020,Single family- Terraced houses,2020,22539.38876399399,2.0,132624.41419388438,45078.77752798798,26662.4850514281,5.884117603302002
SFH_2_Post2010_2020,Single family- Terraced houses,2020,546270.7771480923,2.0,3247759.415788407,1092541.5542961846,879825.2626534253,5.945328858233889
0_Other non-residential buildings_1900,Other non-residential buildings,1900,527871.7383249014,2.0,3848433.1371873873,1055743.4766498029,774764.6238678279,7.2904701232910165
0_Other non-residential buildings_1955,Other non-residential buildings,1955,581781.2534662809,2.0,4101630.0757823437,1163562.5069325618,773728.7802255143,7.050124168395996
0_Other non-residential buildings_1975,Other non-residential buildings,1975,105946.22892944922,2.0,600924.540888029,211892.45785889844,141955.36677143525,5.671976690064083
0_Other non-residential buildings_1985,Other non-residential buildings,1985,104445.41877348216,2.0,592411.9806671723,208890.83754696432,139944.4593677704,5.671976690064083
0_Other non-residential buildings_1995,Other non-residential buildings,1995,146023.0379433976,2.0,847004.7709608295,292046.0758867952,177621.40403383752,5.800487257970561
0_Other non-residential buildings_2005,Other non-residential buildings,2005,180625.98334992383,2.0,969928.9530878215,361251.96669984766,91311.98520334916,5.369819641113281
0_Other non-residential buildings_2020,Other non-residential buildings,2020,185932.65075014983,2.0,1047286.8769113092,371865.30150029965,121504.09802351652,5.6326141357421875
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,40808.364757127136,2.0,271343.8336110745,81616.72951425427,44101.26738056087,6.649220943450928
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,42701.550181326726,2.0,283932.0417834984,85403.10036265345,46147.217447183546,6.649220943450928
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,8357.276306641164,2.0,43096.24282178138,16714.55261328233,10779.697534982113,5.15673303604126
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,8238.88903336141,2.0,42485.75125861283,16477.77806672282,10626.994794146216,5.15673303604126
0_Hotels and Restaurants_1995,Hotels and Restaurants,1995,20916.252999054337,2.0,126274.18879317836,41832.505998108674,21804.728061544756,6.037132406023558
0_Hotels and Restaurants_2005,Hotels and Restaurants,2005,21697.92198366384,2.0,106793.6990207747,43395.84396732768,17364.036108695673,4.92183993938123
0_Hotels and Restaurants_2020,Hotels and Restaurants,2020,25636.255265033345,2.0,127139.44539130613,51272.51053006669,24811.292305497787,4.959361032916473
0_Education_1900,Education,1900,166700.46077162106,3.0,1330535.483594296,500101.3823148632,188774.17824825534,7.981594516509011
0_Education_1955,Education,1955,174195.29764851756,3.0,1390356.232513063,522585.8929455527,197261.44736552055,7.981594516509011
0_Education_1975,Education,1975,26972.268605160614,2.0,182186.01396043831,53944.53721032123,33581.697888774666,6.754567686812247
0_Education_1985,Education,1985,26590.1855894541,2.0,179605.20836886732,53180.3711789082,33105.98720274682,6.754567686812247
0_Education_1995,Education,1995,50121.27728911654,2.0,350329.7889123285,100242.55457823307,66847.70092001486,6.989642081376086
0_Education_2005,Education,2005,40680.88228165931,2.0,244593.41338878823,81361.76456331862,57315.36434602273,6.012490380501444
0_Education_2020,Education,2020,38574.1473545045,2.0,233882.41471313534,77148.294709009,40766.941451545084,6.063190783290864
0_Offices_1900,Offices,1900,80349.46521189951,3.0,682456.2009259656,241048.39563569854,77633.75568152608,8.493599790940436
0_Offices_1955,Offices,1955,84098.33435599068,3.0,714297.5951044813,252295.00306797205,81255.91782593925,8.493599790940436
0_Offices_1975,Offices,1975,11817.20642348017,2.0,84012.4291293156,23634.41284696034,9362.698675401729,7.109330760473753
0_Offices_1985,Offices,1985,11649.806567961683,2.0,82822.32818717916,23299.613135923366,9230.068817772162,7.109330760473753
0_Offices_1995,Offices,1995,13831.669910817756,2.0,95781.34222076238,27663.339821635513,25397.274696975586,6.924785137176513
