Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,MK001,1400,228828.2748118518,1482.86,21.78627792281151,41.70904289624673
Apartment Block,MK001,1500,2971556.415026157,1522.0,21.761857219483172,41.70536743435848
Apartment Block,MK002,1400,174399.69702988118,1482.14,22.775607949990007,41.971409449986226
Apartment Block,MK002,1500,3032143.172333111,1527.9,22.1826245999929,41.99721829993605
Apartment Block,MK003,1400,247368.70161333727,1478.4199,20.961471299987842,41.51379824998623
Apartment Block,MK003,1500,783572.3522340474,1563.2,20.813328199706014,41.110338049931045
Apartment Block,MK004,1500,646712.3179787335,1544.01,22.465119750022165,41.6364707499599
Apartment Block,MK005,1400,614277.5269989141,1496.43,21.33605843628828,41.025684639084865
Apartment Block,MK005,1500,1223749.333030535,1539.79,21.563439445154867,41.34115986672913
Apartment Block,MK006,1300,15084.884364194237,1394.425,20.94319839505257,41.98877678218893
Apartment Block,MK006,1400,299677.611428285,1412.27,20.961495879596946,42.011507705927585
Apartment Block,MK007,1400,1536318.5178235704,1480.47,22.182202620007757,42.07684310226205
Apartment Block,MK007,1500,107896.51380971074,1501.765,22.180170984383572,42.08027894052257
Apartment Block,MK008,1400,7507677.618449971,1480.33,21.48106150442735,41.984096228512946
Education,MK001,1400,549.6274222582579,1442.67,21.519840444172686,41.614867313671354
Education,MK001,1500,45513.42650449462,1545.3301,21.937259969196695,41.863863642558165
Education,MK002,1400,25826.335631742142,1481.59,22.7780429024391,41.96633969060875
Education,MK002,1500,211305.79599562846,1550.585,22.183671325117647,41.746947327170844
Education,MK003,1400,49377.21896383772,1473.28,20.965985335606227,41.59579324499859
Education,MK003,1500,54907.92589463014,1541.05,20.684613942812838,41.17505960569028
Education,MK004,1400,1715.1339987004176,1463.465,22.900724208139955,41.37603145254211
Education,MK004,1500,43493.0682019284,1541.83,22.636204439704922,41.44035830529823
Education,MK005,1400,62418.787990842946,1484.64,21.291456492529683,41.417068027288565
Education,MK005,1500,147248.55105462717,1534.95,21.56884554999055,41.282010649991165
Education,MK006,1300,274.10281557776034,1398.69,20.692346028220868,41.69012567338556
Education,MK006,1400,78480.11520364555,1423.11,20.96072671137642,41.98645826827508
Education,MK007,1400,27994.025239400566,1488.81,22.118577671641226,42.167024353582164
Education,MK007,1500,1704.8911252096295,1514.895,22.04587764785642,42.06979920903344
Education,MK008,1400,637755.7914576824,1481.17,21.508301013834913,41.99507663880024
Health,MK001,1500,19778.10212238785,1541.03,22.018571997440052,41.433241094724956
Health,MK002,1400,7754.171347878873,1481.55,22.77883083124129,41.96652921206815
Health,MK002,1500,42426.15622824989,1555.14,22.19845298960784,41.7347516269027
Health,MK003,1400,5192.617256870493,1476.24,20.962429072249996,41.50893225914362
Health,MK003,1500,7347.880335982889,1555.5549,20.694739829110205,41.17246897668102
Health,MK005,1400,15292.804939797148,1481.095,21.318683027420835,41.023430517422305
Health,MK005,1500,24566.131747171283,1539.655,21.562911482212773,41.34229001618278
Health,MK006,1300,606.9574766755104,1379.93,21.02663027959475,42.065680965993025
Health,MK007,1500,2091.000189187005,1505.54,22.16880852333834,42.07894896595255
Health,MK008,1400,229756.5352762118,1474.97,21.423910499926784,41.98916314991485
Hotels and Restaurants,MK001,1400,504.97462939471006,1435.13,22.06708894472752,41.19363171807453
Hotels and Restaurants,MK001,1500,7287.682559357956,1546.525,22.096921351723413,41.494692110117356
Hotels and Restaurants,MK002,1400,308.3573327884078,1430.075,22.357666399992343,42.040624599975466
Hotels and Restaurants,MK002,1500,20649.109797660727,1554.75,22.18349735566143,41.748397565225666
Hotels and Restaurants,MK003,1300,131.04738646745682,1377.58,21.21263209733867,41.50540776558449
Hotels and Restaurants,MK003,1400,358.22749451361597,1460.365,21.24935654999815,41.544893449996586
Hotels and Restaurants,MK003,1500,15399.209563168697,1546.8,20.696624842393348,41.17178963675723
Hotels and Restaurants,MK004,1500,35216.583105534315,1544.71,22.723590126231258,41.180578751059116
Hotels and Restaurants,MK005,1400,156318.0514272917,1477.22,21.301825517258546,41.02930615043765
Hotels and Restaurants,MK005,1500,9091.813976615667,1540.42,21.54279882515074,41.35267997226655
Hotels and Restaurants,MK006,1400,12400.250292307697,1423.46,20.961212450078527,41.98687874998223
Hotels and Restaurants,MK007,1400,404.3078593760729,1482.81,22.100390101580324,42.20773923165568
Hotels and Restaurants,MK007,1500,87.28712071944028,1501.02,21.919712983321208,42.107867150023736
Hotels and Restaurants,MK008,1300,831.2973103895783,1358.17,21.296166449964257,41.961080049979095
Hotels and Restaurants,MK008,1400,77724.8211968299,1480.595,21.454478122772816,42.002250212422574
Industrial,MK001,1400,6857.679927105084,1474.105,21.791944353754495,41.702164211482135
Industrial,MK001,1500,627943.5517974179,1525.3,21.757603598075207,41.71239996531242
Industrial,MK002,1200,15216.781648335978,1262.56,22.520040333422937,42.113532092841545
Industrial,MK002,1300,466.56216663867235,1389.47,22.448700965604626,41.849333328286846
Industrial,MK002,1400,115583.08000919316,1483.2849,22.76637339996752,41.97159169998512
Industrial,MK002,1500,1263396.5857546506,1527.55,22.37205035337205,41.90030927426652
Industrial,MK003,1200,614.7667384594679,1272.82,20.58578859113386,41.39459669874972
Industrial,MK003,1300,376.112774759531,1398.62,21.22890230736119,41.51178527507599
Industrial,MK003,1400,107589.74919337872,1474.32,20.62253920002396,41.257667299950356
Industrial,MK003,1500,617239.0249684872,1566.935,20.810984899660554,41.1238771499385
Industrial,MK004,1500,319608.7109083233,1547.42,22.647520410230477,41.445488817894564
Industrial,MK005,1400,62175.21547486819,1473.03,21.245740029425903,41.373013918769864
Industrial,MK005,1500,1075167.448070207,1542.65,21.521781275819183,41.34573487924947
Industrial,MK006,1300,10886.258871328086,1373.785,20.606892588089377,41.60579917423908
Industrial,MK006,1400,318477.66727671167,1440.22,20.981007172688482,41.993154058325345
Industrial,MK007,1300,7533.898539909162,1321.69,22.476791791601197,42.177481814797915
Industrial,MK007,1400,489124.3495886456,1484.23,21.693115939128322,42.14095500575776
Industrial,MK007,1500,32696.953302090056,1509.99,22.041617481167894,42.074911555459394
Industrial,MK008,1200,523.2858060523868,1255.81,21.26427760021185,41.92482844841339
Industrial,MK008,1300,2595.382588043809,1372.44,21.3102472105807,41.96877240543483
Industrial,MK008,1400,4358691.993411828,1480.945,21.47707530683576,41.99709128570267
Offices,MK001,1500,2274.1871606335044,1547.08,21.947678934304935,41.86773605322318
Offices,MK002,1400,2698.1033449349925,1490.4551,22.85509348439764,41.70633795592093
Offices,MK002,1500,6519.343351032585,1520.8,22.411634950100044,41.91336654995868
Offices,MK003,1400,10750.25308444351,1478.06,20.950065794304123,41.51293727780726
Offices,MK003,1500,14690.312121230643,1560.81,20.79186659676036,41.11223956624083
Offices,MK004,1500,3483.3947183154523,1549.78,22.74516271666408,41.1704096146692
