Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,668480.1670455061,3.0,6626371.112030694,2005440.501136518,1607465.5208450865,9.912591934204102
Apartment Block_AB_1_Before1945,Apartment Block,1900,414158.08303330664,4.0,4725063.378351628,1656632.3321332266,919813.3744506128,11.40884017944336
Apartment Block_AB_2_Before1945,Apartment Block,1900,413690.2949751959,5.0,5807539.059165922,2068451.4748759794,1071215.6138418724,14.038373947143555
Apartment Block_AB_3_Before1945,Apartment Block,1900,90722.34508663355,7.0,1845677.8710719673,635056.4156064348,303999.2957948182,20.344247817993164
Apartment Block_AB_0_1945to1969,Apartment Block,1955,623487.9268102361,3.0,6180381.394372784,1870463.780430708,1499274.6148928204,9.912591934204102
Apartment Block_AB_1_1945to1969,Apartment Block,1955,386283.06012938113,4.0,4407041.697042419,1545132.2405175245,857905.0840404365,11.40884017944336
Apartment Block_AB_2_1945to1969,Apartment Block,1955,385846.75667429564,5.0,5416661.05648627,1929233.7833714783,999117.1543546447,14.038373947143555
Apartment Block_AB_3_1945to1969,Apartment Block,1955,84616.25287018785,7.0,1721454.017821077,592313.7700913149,283538.5401553435,20.344247817993164
Apartment Block_AB_0_1970to1979,Apartment Block,1975,72642.10097453109,3.0,650365.8981449708,217926.30292359326,145372.57534712137,8.953016080481955
Apartment Block_AB_1_1970to1979,Apartment Block,1975,24744.002545227366,4.0,263901.93631001393,98976.01018090946,40982.95519889627,10.665288925170898
Apartment Block_AB_2_1970to1979,Apartment Block,1975,42387.644416155716,4.0,542752.2354789744,169550.57766462286,78786.3679394847,12.804491567172548
Apartment Block_AB_3_1970to1979,Apartment Block,1975,12369.629638252998,6.0,236278.07397713308,74217.77782951799,50649.31172856698,19.10146713256836
Apartment Block_AB_0_1980to1989,Apartment Block,1985,81745.1211467781,3.0,731865.3841280498,245235.3634403343,163589.69005227444,8.953016080481955
