Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,MT001,1800,11845191.383751,1828.9,14.496064549968645,35.90045569998754
Apartment Block,MT002,1800,2131451.788167563,1831.13,14.241257724811659,36.04053247546883
Education,MT001,1800,1309690.3926149565,1835.36,14.482088520635306,35.901908488972815
Education,MT002,1800,129047.02094637463,1825.88,14.264526443351004,36.033990066274804
Health,MT001,1800,375697.6920317421,1832.74,14.493769175014341,35.89374997951319
Health,MT002,1800,56202.64930950967,1831.55,14.240673595855744,36.041786687671994
Hotels and Restaurants,MT001,1800,601710.5182269965,1834.26,14.347078757344136,35.96520233704165
Hotels and Restaurants,MT002,1800,12317.047705310397,1822.2,14.22239683723449,36.06602792976857
Industrial,MT001,1800,5582973.12865334,1835.26,14.539698492005831,35.83246435471181
Industrial,MT002,1800,268066.7099579482,1828.94,14.25618879241539,36.03670131076798
Offices,MT001,1800,548602.8819650022,1836.3301,14.473318640041096,35.903140047966275
Offices,MT002,1800,5419.766837041359,1824.94,14.324335087625382,36.01487779113151
Other non-residential buildings,MT001,1800,3100640.253088681,1835.88,14.357522136516243,35.9124332528039
Other non-residential buildings,MT002,1800,186199.77690763416,1825.09,14.242925004153733,36.02662539282973
Single family- Terraced houses,MT001,1700,468.2575870077126,1787.01,14.386838818017745,35.84929864199738
Single family- Terraced houses,MT001,1800,3679890.3989011906,1833.28,14.425679997983899,35.855289103904276
Single family- Terraced houses,MT002,1800,1236663.9086041478,1826.48,14.217279777645611,36.04227814143356
Sport,MT001,1800,106416.47632963583,1832.56,14.487087487210646,35.90321678272646
Trade,MT001,1800,679094.8187732478,1835.32,14.424999022632457,35.90885367243534
Trade,MT002,1800,22138.642233632854,1815.36,14.250353209853333,36.02106738405925
