Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,487569.82382643525,3.0,4732000.428396899,1462709.4714793058,761021.4021976987,9.70527747443491
Apartment Block_AB_1_Before1945,Apartment Block,1900,190512.26400725124,3.0,1941670.0004723715,571536.7920217537,896775.9513214075,10.191837310791016
Apartment Block_AB_2_Before1945,Apartment Block,1900,198620.2643181565,4.0,2377116.765140668,794481.057272626,503971.2419004281,11.968148231506348
Apartment Block_AB_3_Before1945,Apartment Block,1900,67674.41556711106,6.0,1280987.4364551394,406046.4934026664,302865.4325406621,18.928681182105155
Apartment Block_AB_0_1945to1969,Apartment Block,1955,314203.11058719613,3.0,3049428.3715792955,942609.3317615885,490422.66380920797,9.70527747443491
Apartment Block_AB_1_1945to1969,Apartment Block,1955,122771.22789575311,3.0,1251264.3811595633,368313.6836872593,577906.5471969866,10.191837310791016
Apartment Block_AB_2_1945to1969,Apartment Block,1955,127996.24140937706,4.0,1531877.9902630956,511984.96563750826,324772.6256085444,11.968148231506348
Apartment Block_AB_3_1945to1969,Apartment Block,1955,43611.213900567884,6.0,825502.7638884421,261667.2834034073,195174.63211071913,18.928681182105155
Apartment Block_AB_0_1970to1979,Apartment Block,1975,37362.472558404836,3.0,323932.1054574432,112087.4176752145,77549.0623289926,8.6699857711792
Apartment Block_AB_1_1970to1979,Apartment Block,1975,15323.072094267662,3.0,145545.57768804475,45969.21628280298,72210.3693421934,9.498459368503077
Apartment Block_AB_2_1970to1979,Apartment Block,1975,14865.504923667173,4.0,175995.76440056096,59462.01969466869,26067.00050868708,11.839205281238746
Apartment Block_AB_3_1970to1979,Apartment Block,1975,15795.075176846458,4.0,208642.293894908,63180.30070738583,56997.80281444978,13.209325790405272
Apartment Block_AB_0_1980to1989,Apartment Block,1985,43732.204322437065,3.0,379157.5892178308,131196.6129673112,90769.99477171927,8.6699857711792
Apartment Block_AB_1_1980to1989,Apartment Block,1985,17935.42219740494,3.0,170358.878998999,53806.26659221482,84521.13604994972,9.498459368503077
Apartment Block_AB_2_1980to1989,Apartment Block,1985,17399.84680247732,4.0,206000.3581566346,69599.38720990928,30511.026553100386,11.839205281238746
Apartment Block_AB_3_1980to1989,Apartment Block,1985,18487.894607144128,4.0,244212.62304444346,73951.57842857651,66715.05893286409,13.209325790405272
Apartment Block_AB_0_1990to2000,Apartment Block,1995,103318.90580360754,3.0,922314.7295025273,309956.71741082263,149809.42278448946,8.926872795727219
Apartment Block_AB_1_1990to2000,Apartment Block,1995,57749.73266130825,3.0,548346.3273766915,173249.19798392474,251154.5727124128,9.495218455687816
Apartment Block_AB_2_1990to2000,Apartment Block,1995,24867.182992285136,4.0,299132.5211461308,99468.73196914054,68314.50728105604,12.029208183288574
Apartment Block_AB_3_1990to2000,Apartment Block,1995,11531.42876466017,5.0,165051.15128390782,57657.143823300845,42935.62207072773,14.313157081604004
Apartment Block_AB_0_2000to2010,Apartment Block,2005,61012.455191138106,3.0,524942.0908413306,183037.3655734143,100081.08348634926,8.603851282443998
Apartment Block_AB_1_2000to2010,Apartment Block,2005,28618.29135350163,3.0,263184.64525941305,85854.8740605049,142286.63838231342,9.196378707885742
Apartment Block_AB_2_2000to2010,Apartment Block,2005,9933.258086750799,4.0,111282.81204805325,39733.032347003194,21105.705648487397,11.203052520751953
Apartment Block_AB_3_2000to2010,Apartment Block,2005,13926.18443539559,4.0,181914.20732922203,55704.73774158236,67790.4374863144,13.06274580615624
Apartment Block_AB_0_Post2010,Apartment Block,2020,45392.632062968536,3.0,387035.1215329476,136177.8961889056,67335.45006433592,8.52638641874861
Apartment Block_AB_1_Post2010,Apartment Block,2020,15441.748344253827,3.0,135899.5648632631,46325.24503276148,69193.87485319401,8.800788734122452
