Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,NL221,1000,15942346.093851183,1032.56,5.6242811385012725,52.29698913485055
Apartment Block,NL224,1000,2022670.1656057073,1063.2,5.437098282165147,51.88577734735632
Apartment Block,NL225,1000,6480852.985185636,1051.96,6.70689738656394,51.96819688258567
Apartment Block,NL226,1000,18962275.58535857,1054.2,5.850485876465997,51.78421378569403
Education,NL221,1000,1581135.9247225488,1036.85,5.643547730291195,52.342025032265305
Education,NL224,1000,362226.3751340925,1063.98,5.419088481628716,51.88128745492571
Education,NL225,1000,578333.9871600382,1051.57,6.723344386791287,51.96366107203688
Education,NL226,1000,1643771.5793295451,1054.85,5.865622568032963,51.81902399138555
Health,NL221,1000,253084.0826075453,1041.01,5.59830373492731,52.140087499028866
Health,NL224,1000,64150.49639316648,1063.26,5.4150554716564905,51.889883231888746
Health,NL225,1000,54386.926029330585,1054.3201,6.283455167784507,51.97611161177467
Health,NL226,1000,404678.3266264616,1054.9,5.864934470312308,51.820690396901405
Hotels and Restaurants,NL221,1000,247032.5616232611,1024.775,6.0053254272960706,52.14057506489777
Hotels and Restaurants,NL224,1000,50372.91162215534,1065.44,5.266975120680891,51.7427658765844
Hotels and Restaurants,NL225,1000,40739.023225093144,1041.71,6.257961489874837,52.21859040966005
Hotels and Restaurants,NL226,1000,213923.66787963497,1040.62,5.866405499997804,51.9742291499836
Industrial,NL221,1000,22596969.880249135,1037.72,5.656299135957502,52.14977861454766
Industrial,NL224,1000,14026776.638490412,1064.34,5.33130302974474,51.75650514200493
Industrial,NL225,1000,17123105.363646884,1052.38,6.352633640222134,52.00307299384105
Industrial,NL226,1000,20496438.729065455,1057.015,5.828937350827115,51.834399133166286
Offices,NL221,1000,1105640.7501077931,1036.24,5.609939575004264,52.18773061405466
Offices,NL224,1000,216139.35217249233,1064.82,5.314795850162402,51.86624759938704
Offices,NL225,1000,310815.0316661196,1052.42,6.3517400651744635,52.003779476093435
Offices,NL226,1000,724079.4241885981,1055.58,5.856543288592187,51.82658154633458
Other non-residential buildings,NL221,1000,5957319.683284671,1031.63,5.615784407496422,52.242332073640846
Other non-residential buildings,NL224,1000,12913831.115176437,1064.57,5.526047523686945,51.88120487523352
Other non-residential buildings,NL225,1000,2223689.0568055827,1052.97,6.637973799982756,52.073203749980784
Other non-residential buildings,NL226,1000,8105543.993323674,1054.62,5.717810081400733,51.93093929281255
Single family- Terraced houses,NL221,1000,53758701.62714736,1035.84,5.616410069681274,52.185194190782
Single family- Terraced houses,NL224,1000,23238419.845740385,1064.23,5.442782748428915,51.87105557731023
Single family- Terraced houses,NL225,1000,39973146.63063664,1052.9,6.674777287923983,51.94796993392263
Single family- Terraced houses,NL226,1000,45429740.24504551,1054.69,5.954005574506421,51.76376612946292
Sport,NL221,1000,280316.1872872708,1028.55,6.006941018431169,52.18631745511691
Sport,NL224,1000,24224.40189154318,1062.58,5.434898678989173,51.892119628147306
Sport,NL225,1000,79293.82467639557,1051.9451,6.3578269489830035,52.00694751782137
Sport,NL226,1000,242706.20665136236,1055.4451,6.073377302848465,51.93430422931656
Trade,NL221,1000,8752016.654390128,1035.83,5.644465953077039,52.33421216367266
Trade,NL224,1000,2087654.3644419876,1063.55,5.189865119034877,51.8931514323653
Trade,NL225,1000,3804392.6795161865,1051.945,6.70096076008058,51.96374976445365
Trade,NL226,1000,7337236.880275859,1042.9,5.966963727770633,51.961908800555264
