Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,NO060,700,1574091.062446374,798.32,10.405654391317718,63.40412893943623
Apartment Block,NO060,800,266561.5996388236,800.5,10.464473520526717,63.44106449723786
Education,NO060,700,1875556.395927098,790.025,10.731701000001655,63.432694999982665
Education,NO060,800,241917.95529932657,807.71497,8.40054382520375,63.53508990897292
Health,NO060,700,220960.61772944895,790.605,11.289022366136324,63.740474020668465
Health,NO060,800,10088.965315909707,801.83,10.451402677070817,63.452149819441054
Hotels and Restaurants,NO060,700,3726032.8695242913,786.05,10.500587249980349,63.1964189999934
Hotels and Restaurants,NO060,800,2300539.9328718036,826.35,11.344093843468409,62.5535245039678
Hotels and Restaurants,NO060,900,1367.5515261320397,902.57,9.77994699997018,62.3472564999928
Industrial,NO060,700,2717754.6609129333,783.31,11.841259568749141,63.39488942441039
Industrial,NO060,800,463099.1530436178,814.61,8.301030285280792,63.66912419458947
Offices,NO060,700,2502620.622441916,787.2,11.036508109007634,63.2178914105909
Offices,NO060,800,400786.81432621775,813.93,11.235633563578546,62.8553528313733
Offices,NO060,900,263.27357327751815,905.78,9.585207000017718,62.27682974999535
Other non-residential buildings,NO060,700,15738781.168089256,784.87,11.847967249905977,63.392114249967136
Other non-residential buildings,NO060,800,3771418.518081852,815.71,11.166972250025246,62.92798999998675
Other non-residential buildings,NO060,900,2054.131185092032,905.66,9.477668499990886,62.44306824998725
Single family- Terraced houses,NO060,700,18914673.273409896,786.61,13.668631749993382,64.44646599997222
Single family- Terraced houses,NO060,800,2960741.2172099287,810.66,11.698892035231916,63.43784290324559
Single family- Terraced houses,NO060,900,324.9530552383512,912.08,9.197539969288718,62.35925621919459
Sport,NO060,700,491402.24036444223,790.75,10.531784697950512,63.413428512085886
Sport,NO060,800,106541.35736511205,806.83,8.826911714450748,63.73108384904122
Trade,NO060,700,3800559.7481966354,788.155,11.4839453082805,63.793880086271194
Trade,NO060,800,770183.4133535875,816.41,11.301464782229807,62.83690891692875
