Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,670013.3136912409,3.0,5451675.584767156,2010039.9410737227,1075596.7273496657,8.13666754580257
Apartment Block_AB_1_Before1945,Apartment Block,1900,493620.74661725626,3.0,4258852.127323586,1480862.2398517688,740087.4092567948,8.627781867980957
Apartment Block_AB_2_Before1945,Apartment Block,1900,359116.8314264807,3.0,3559674.150082957,1077350.4942794421,676117.2092233114,9.912301063537598
Apartment Block_AB_3_Before1945,Apartment Block,1900,41798.695156789654,5.0,565473.5474027061,208993.47578394826,114417.99547029346,13.52849760696064
Apartment Block_AB_0_1945to1969,Apartment Block,1955,700324.7069570055,3.0,5698309.314620762,2100974.1208710168,1124256.7087736907,8.13666754580257
Apartment Block_AB_1_1945to1969,Apartment Block,1955,515699.3065496578,3.0,4449341.126379491,1547097.9196489733,773189.8757403637,8.627781867980957
Apartment Block_AB_2_1945to1969,Apartment Block,1955,375429.02463463135,3.0,3708327.0184381814,1126287.073903894,656440.9633154233,9.87757145853903
Apartment Block_AB_3_1945to1969,Apartment Block,1955,43668.257978935224,5.0,590765.923568165,218341.28989467613,119535.65834740685,13.52849760696064
Apartment Block_AB_0_1970to1979,Apartment Block,1975,69194.12407853268,3.0,559683.9352153405,207582.37223559804,135406.50172561742,8.088604959867988
Apartment Block_AB_1_1970to1979,Apartment Block,1975,17285.712938798642,3.0,147807.4529438948,51857.13881639593,25197.749605792236,8.55084505147217
Apartment Block_AB_2_1970to1979,Apartment Block,1975,28959.493300217862,3.0,289487.72632679506,86878.47990065359,44683.51421142581,9.996298047266498
Apartment Block_AB_3_1970to1979,Apartment Block,1975,415.81325792906676,7.0,8572.237707286367,2910.6928055034673,2583.9851795687127,20.61559496678843
Apartment Block_AB_0_1980to1989,Apartment Block,1985,68213.93587174469,3.0,551755.580024311,204641.80761523408,133488.36405307124,8.088604959867988
Apartment Block_AB_1_1980to1989,Apartment Block,1985,17040.847465116178,3.0,145713.64621998073,51122.54239534854,24840.804022188022,8.55084505147217
Apartment Block_AB_2_1980to1989,Apartment Block,1985,28549.259711955183,3.0,285386.9091095217,85647.77913586555,44050.53772315964,9.996298047266498
Apartment Block_AB_3_1980to1989,Apartment Block,1985,409.92294199435554,7.0,8450.80533974994,2869.460593960489,2547.3810338662024,20.61559496678843
Apartment Block_AB_0_1990to2000,Apartment Block,1995,143457.7224973164,3.0,1147600.6250389216,430373.1674919492,267486.07151858776,7.999573707580567
Apartment Block_AB_1_1990to2000,Apartment Block,1995,52031.14263135742,3.0,448182.4239789404,156093.42789407226,83836.28415698672,8.613734031449772
Apartment Block_AB_2_1990to2000,Apartment Block,1995,48926.20419623115,3.0,479384.9575549483,146778.61258869345,112143.53114286477,9.798122814356319
Apartment Block_AB_3_1990to2000,Apartment Block,1995,5323.986434219552,5.0,75162.98907591728,26619.932171097764,10284.490758785343,14.117802515951656
Apartment Block_AB_0_2000to2010,Apartment Block,2005,25109.400772819834,3.0,202577.49298116766,75328.2023184595,65866.93989501109,8.067794799804688
Apartment Block_AB_1_2000to2010,Apartment Block,2005,65605.86359503948,3.0,541465.3410746248,196817.59078511843,104641.27484585732,8.253307119267392
Apartment Block_AB_2_2000to2010,Apartment Block,2005,11613.168226070813,3.0,101539.14656484973,34839.50467821244,16608.87623609122,8.743449211120605
