Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,212120.03609697276,3.0,1953800.5243621704,636360.1082909183,465580.6786124825,9.210824966430664
Apartment Block_AB_1_Before1945,Apartment Block,1900,98380.10501989773,3.0,973600.2528361138,295140.3150596932,240278.940586642,9.896312396080484
Apartment Block_AB_2_Before1945,Apartment Block,1900,133158.5661902092,4.0,1624884.9593880733,532634.2647608368,637099.0177887682,12.202631838698386
Apartment Block_AB_3_Before1945,Apartment Block,1900,54478.69440582426,5.0,736098.3974475494,272393.4720291213,128303.58331605692,13.51167471019375
Apartment Block_AB_0_1945to1969,Apartment Block,1955,199613.09271851208,3.0,1745126.661570901,598839.2781555363,438112.421276424,8.742546081542969
Apartment Block_AB_1_1945to1969,Apartment Block,1955,64706.342949214435,4.0,679962.8470641127,258825.37179685774,128533.94430164492,10.508441925048828
Apartment Block_AB_2_1945to1969,Apartment Block,1955,142438.72544439288,4.0,1693457.1224381619,569754.9017775715,688114.6632752421,11.889021873474121
Apartment Block_AB_3_1945to1969,Apartment Block,1955,101124.43102813921,4.0,1303866.690392258,404497.72411255684,257281.53262183274,12.893686294555664
Apartment Block_AB_0_1970to1979,Apartment Block,1975,21286.50196311001,3.0,195622.25389554224,63859.50588933004,66720.2613626861,9.189967155456543
Apartment Block_AB_1_1970to1979,Apartment Block,1975,48213.776833662385,3.0,457878.5174185495,144641.33050098715,78624.95599141472,9.496839855509167
Apartment Block_AB_2_1970to1979,Apartment Block,1975,7558.903443178299,4.0,83793.90034155485,30235.613772713197,0.0,11.08545716603597
Apartment Block_AB_3_1970to1979,Apartment Block,1975,27102.095252749747,4.0,330263.6479639469,108408.38101099899,127811.27231455191,12.185908317565918
Apartment Block_AB_0_1980to1989,Apartment Block,1985,20984.962223054496,3.0,192851.11358836712,62954.88666916349,65775.11733185347,9.189967155456543
Apartment Block_AB_1_1980to1989,Apartment Block,1985,47530.79144890013,3.0,451392.31459580903,142592.37434670038,77511.17276706838,9.496839855509167
Apartment Block_AB_2_1980to1989,Apartment Block,1985,7451.825738099708,4.0,82606.8950284687,29807.302952398833,0.0,11.08545716603597
Apartment Block_AB_3_1980to1989,Apartment Block,1985,26718.1731423139,4.0,325585.20832508925,106872.6925692556,126000.7269324743,12.185908317565918
Apartment Block_AB_0_1990to2000,Apartment Block,1995,125387.45553429976,3.0,1055239.9454056346,376162.3666028993,254206.12300257562,8.415833473205566
Apartment Block_AB_1_1990to2000,Apartment Block,1995,31130.30875540437,3.0,318545.90401646006,93390.92626621311,35571.24843120763,10.232661247253418
Apartment Block_AB_2_1990to2000,Apartment Block,1995,68521.80039128423,4.0,767008.8063934852,274087.2015651369,130886.38009333446,11.193646430969238
Apartment Block_AB_3_1990to2000,Apartment Block,1995,72493.19102261479,4.0,871206.187887074,289972.76409045915,338718.89942867967,12.017765745962192
Apartment Block_AB_0_2000to2010,Apartment Block,2005,30709.062259788774,3.0,273803.9343589411,92127.18677936633,90881.6907728575,8.916063018878532
Apartment Block_AB_1_2000to2010,Apartment Block,2005,75037.47285315023,3.0,684401.8367779953,225112.41855945069,138436.1092445874,9.12080072469102
Apartment Block_AB_2_2000to2010,Apartment Block,2005,16418.71444468431,4.0,182008.95569792396,65674.85777873723,0.0,11.08545716603597
Apartment Block_AB_3_2000to2010,Apartment Block,2005,39237.74738446631,4.0,475600.18612232717,156950.98953786524,155600.28884344499,12.120985984802246
Apartment Block_AB_0_Post2010,Apartment Block,2020,67994.09790961146,3.0,606796.2654173352,203982.2937288344,119003.8243243108,8.924249075618079
Apartment Block_AB_1_Post2010,Apartment Block,2020,39816.92569801218,3.0,402449.0099447575,119450.77709403654,168653.6111533176,10.1074857711792
Apartment Block_AB_2_Post2010,Apartment Block,2020,9188.962710960011,4.0,101863.85253264898,36755.850843840046,0.0,11.08545716603597
Apartment Block_AB_3_Post2010,Apartment Block,2020,36674.965447160524,4.0,461259.4891746011,146699.8617886421,148420.59038070988,12.576957702636719
SFH_0_Before1945_1900,Single family- Terraced houses,1900,5205223.231719627,1.0,13972700.62260193,5205223.231719627,5178808.284969762,2.684361457824707
SFH_1_Before1945_1900,Single family- Terraced houses,1900,410418.9722438916,2.0,2101282.66165777,820837.9444877832,717483.48852262,5.119847774505615
SFH_2_Before1945_1900,Single family- Terraced houses,1900,1992544.6070223378,2.0,13392844.710992433,3985089.2140446757,4996310.840927945,6.721477985382081
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,18601875.140353955,1.0,59587089.47571687,18601875.140353955,22987892.77889369,3.2032840251922607
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,1198989.9098844053,1.0,5025165.081891055,1198989.9098844053,1817292.1650435985,4.191165447235107
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,1973320.4975634154,2.0,13684634.09001151,3946640.995126831,5023866.765153086,6.934825897216797
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,2194080.479348537,1.0,5830040.768147836,2194080.479348537,2125387.8985553025,2.65716814994812
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,248922.99977208633,1.0,1009849.3142828643,248922.99977208633,362100.6589855073,4.0568742752075195
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,531888.9882565944,2.0,3452913.800789356,1063777.9765131888,1260876.7376310239,6.491794109344482
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,2162999.63485139,1.0,5747453.738076528,2162999.63485139,2095280.1375169614,2.65716814994812
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,245396.81323494675,1.0,995544.0188307597,245396.81323494675,356971.2234975326,4.0568742752075195
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,524354.3699555115,2.0,3404000.6100862273,1048708.739911023,1243015.44485656,6.491794109344482
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,4547855.616314896,1.0,12462716.174600782,4547855.616314896,4587571.185363274,2.7403500080108647
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,458508.4662918097,2.0,2108180.410311589,917016.9325836194,759615.5224876407,4.597909450531006
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,1941333.649812034,2.0,12186231.50573302,3882667.299624068,4382405.143275498,6.277247348446739
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,5202543.321481705,1.0,13890147.306508753,5202543.321481705,5027297.095895904,2.6698763370513916
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,778225.8014706447,1.0,2703092.7433158173,778225.8014706447,981948.0004834192,3.4734041690826416
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,1382464.5828668727,2.0,8390700.644847846,2764929.1657337453,2995768.4022846166,6.06937837600708
SFH_0_Post2010_2020,Single family- Terraced houses,2020,5573372.73653887,1.0,14814524.31834771,5573372.73653887,5312289.92843332,2.6580896377563477
SFH_1_Post2010_2020,Single family- Terraced houses,2020,746527.1139197731,1.0,2526271.084379561,746527.1139197731,916750.2249458402,3.3840312525487866
SFH_2_Post2010_2020,Single family- Terraced houses,2020,1274526.3864370673,2.0,7749395.523381481,2549052.7728741346,2731232.159393996,6.080215840054031
0_Other non-residential buildings_1900,Other non-residential buildings,1900,2981430.2389808646,2.0,15022022.479741994,5962860.477961729,7394828.577985216,5.038528919219971
0_Other non-residential buildings_1955,Other non-residential buildings,1955,19005083.495071992,1.0,75180573.1703558,19005083.495071992,33528740.10251371,3.955813884735107
0_Other non-residential buildings_1975,Other non-residential buildings,1975,1953358.6791380453,1.0,8604119.72609536,1953358.6791380453,4290909.152734846,4.404782295227051
0_Other non-residential buildings_1985,Other non-residential buildings,1985,1925687.844852391,1.0,8482235.725139748,1925687.844852391,4230125.110680411,4.404782295227051
0_Other non-residential buildings_1995,Other non-residential buildings,1995,2262171.500696955,2.0,12456841.005925672,4524343.00139391,5570678.106936447,5.506585597991943
0_Other non-residential buildings_2005,Other non-residential buildings,2005,4324108.7027792325,1.0,18663123.203551937,4324108.7027792325,8865708.724592112,4.3160624504089355
0_Other non-residential buildings_2020,Other non-residential buildings,2020,4547729.7373178005,1.0,18266505.109799363,4547729.7373178005,8438872.607607085,4.016620635986328
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,687663.3185306021,2.0,3744839.400493898,1375326.6370612043,1503040.1045054102,5.445745468139648
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,6382614.744904457,1.0,25062402.533100728,6382614.744904457,11144815.473855898,3.9266669750213623
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,450401.59366274584,1.0,1977737.1252103285,450401.59366274584,860797.1510951004,4.391052680624459
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,444021.30723949865,1.0,1949720.9514083772,444021.30723949865,848603.2946488145,4.391052680624459
0_Hotels and Restaurants_1995,Hotels and Restaurants,1995,700023.7226575211,2.0,3619767.929771517,1400047.4453150423,1398126.87489291,5.170921802520753
0_Hotels and Restaurants_2005,Hotels and Restaurants,2005,1227893.043694162,1.0,5460855.521162159,1227893.043694162,2273326.9356580693,4.447338104248047
0_Hotels and Restaurants_2020,Hotels and Restaurants,2020,1209856.8364273754,1.0,5192827.047305688,1209856.8364273754,2121947.0871692514,4.292100429534912
0_Offices_1900,Offices,1900,666713.7066804314,3.0,5747597.670885342,2000141.120041294,1519632.4925868746,8.620788223332982
0_Offices_1955,Offices,1955,826522.7947236305,3.0,6520246.736372389,2479568.3841708917,1819299.3227557242,7.888768196105957
0_Offices_1975,Offices,1975,295469.5890477256,2.0,2118511.3403795664,590939.1780954512,647571.7955115308,7.169981002807618
0_Offices_1985,Offices,1985,291284.03412516636,2.0,2088500.9910986088,582568.0682503327,638398.4409028573,7.169981002807618
0_Offices_1995,Offices,1995,612862.2358929571,3.0,4597803.828931429,1838586.7076788712,1273372.3455286683,7.5021816644197425
0_Offices_2005,Offices,2005,496086.2531645447,2.0,3420384.7622507853,992172.5063290894,1025574.072676836,6.894738042894917
0_Offices_2020,Offices,2020,426980.5794176075,2.0,2927737.2286523506,853961.158835215,880626.6959830177,6.856839326616967
0_Education_1900,Education,1900,590704.206153344,2.0,3645028.6311851176,1181408.412306688,946993.0798083865,6.170649528503417
0_Education_1955,Education,1955,710216.4001184354,2.0,4102361.5872652186,1420432.8002368708,1240280.1725028565,5.776213540804057
0_Education_1975,Education,1975,176336.29020422348,2.0,911151.8424143762,352672.58040844696,250318.0050760668,5.167126071208188
0_Education_1985,Education,1985,173838.3504674511,2.0,898244.6728761927,347676.7009349022,246772.05721142172,5.167126071208188
0_Education_1995,Education,1995,547177.2088206039,2.0,2850783.6249947646,1094354.4176412078,809993.8387275208,5.209982395172119
0_Education_2005,Education,2005,384618.1659736968,2.0,1749491.2343367208,769236.3319473936,486533.9204560731,4.548644315610315
0_Education_2020,Education,2020,331960.40577022056,2.0,1496609.33147137,663920.8115404411,422460.9927165297,4.508397102355957
0_Trade_1900,Trade,1900,1108338.4266596758,3.0,9620307.796377786,3325015.2799790273,1932209.1201854844,8.679937070639687
0_Trade_1955,Trade,1955,1274907.635902513,3.0,10529422.000979295,3824722.907707539,1653029.1590288046,8.25896849658875
