Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,NO0A1,800,5641.011462026276,889.255,6.0386114500260355,59.019346499963646
Apartment Block,NO0A1,900,3308052.2147723846,924.97,5.72672514195461,58.9713136527736
Apartment Block,NO0A2,700,132841.93262047827,786.23,5.369716744154526,60.346955330774946
Apartment Block,NO0A2,800,2676106.2874976336,832.95,5.306435499975509,60.42071599998031
Apartment Block,NO0A3,700,175281.65590598687,793.02,7.219508809880002,62.752649850116725
Education,NO0A1,700,2834.964484178927,781.795,6.218388250020812,58.81538699999383
Education,NO0A1,800,200600.2958469571,879.8,5.460374037338957,59.42911296325021
Education,NO0A1,900,2217907.6357189957,930.47,5.712016559559066,58.97204645589994
Education,NO0A2,700,387812.4296914266,781.55,7.794157646345925,61.30851202584133
Education,NO0A2,800,1988634.9520107417,846.545,5.222235739085132,60.41667523492665
Education,NO0A2,900,54512.90808970989,910.15,5.191852502377366,59.79001044695333
Education,NO0A3,700,871005.670301239,774.79,6.270397000002423,62.43012399999185
Education,NO0A3,800,56131.12900425738,808.48,6.461237874622615,62.77139413773591
Health,NO0A1,800,7797.201833747327,886.94,5.779372490728998,58.89869680838793
Health,NO0A1,900,326642.80615217413,925.83,5.736152747037382,58.85474799634529
Health,NO0A2,700,55378.92713926034,787.855,6.549910656377547,60.05837788349346
Health,NO0A2,800,266852.22604782437,827.27,5.313971594962992,60.418518912815834
Health,NO0A3,700,38518.64314529509,781.03,6.314292059869554,62.463788623819006
Health,NO0A3,800,2359.0247664153576,801.84,6.073057673138993,62.56340688632803
Hotels and Restaurants,NO0A1,700,18979.005684150296,783.38,6.172856440797858,58.91867608714821
Hotels and Restaurants,NO0A1,800,1010263.150052459,875.14,6.259455366556077,58.826326295035024
Hotels and Restaurants,NO0A1,900,3053280.3672459894,930.02,5.732196641386401,58.825993415804206
Hotels and Restaurants,NO0A2,700,857504.1356110837,780.13,5.654082672863373,60.37713591900452
Hotels and Restaurants,NO0A2,800,4913879.16766134,852.78,5.319292994108892,60.304519620226095
Hotels and Restaurants,NO0A2,900,446867.2924472712,912.34,6.670170041255521,59.95057870421349
Hotels and Restaurants,NO0A2,1000,1481.7132345156278,1006.425,7.198382749953515,60.05739124998164
Hotels and Restaurants,NO0A3,700,1585910.6742316447,774.91,6.282562000010727,62.43591299998153
Hotels and Restaurants,NO0A3,800,300134.49640398787,813.24,7.1985983128755064,62.28457447673984
Hotels and Restaurants,NO0A3,900,11962.495923805749,908.66,8.615348125132352,62.425879186416836
Industrial,NO0A1,700,12320.790901503293,769.13,6.1864450757650316,58.8367000983187
Industrial,NO0A1,800,796820.1447886219,870.37,6.155166390387473,59.23108716853524
Industrial,NO0A1,900,5463730.060446627,932.21497,5.185380749955094,59.192591249957935
Industrial,NO0A2,700,1379959.964957565,777.97,6.723210242054929,60.37465704600774
Industrial,NO0A2,800,3397111.757408218,850.95,4.8930553201141,61.353275352839376
Industrial,NO0A2,900,37695.97591125734,907.48,5.205180749991482,59.795997249897304
Industrial,NO0A3,700,2767236.267431406,772.45,7.30326628833511,62.777374774647235
