Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
SFH_0_Before1945_1900,Single family- Terraced houses,1900,2732.3931001239057,1.0,6830.982750309764,2732.3931001239057,1871.9189349974738,2.5
SFH_1_Before1945_1900,Single family- Terraced houses,1900,305.8038407427754,1.0,764.5096018569384,305.8038407427754,249.716946778048,2.5
SFH_2_Before1945_1900,Single family- Terraced houses,1900,446.60988474586986,1.0,1116.5247118646746,446.60988474586986,608.314233507143,2.5
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,57794.968502137875,1.0,202282.38975748257,57794.968502137875,107073.22563409187,3.5
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,17053.569752159412,1.0,59687.49413255794,17053.569752159412,16215.284133888537,3.5
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,153694.31589509477,1.0,537930.1056328317,153694.31589509477,121131.74940854569,3.5
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,1597.8863491740804,1.0,3994.715872935201,1597.8863491740804,1094.6864537380468,2.5
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,114.02529107937558,1.0,285.06322769843894,114.02529107937558,93.11213186419917,2.5
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,235.85558440688845,1.0,589.6389610172212,235.85558440688845,321.25197839831833,2.5
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,1575.2510549766953,1.0,3938.1276374417384,1575.2510549766953,1079.179374685109,2.5
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,112.4100347685258,1.0,281.0250869213145,112.4100347685258,91.79312660504463,2.5
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,232.51450790047386,1.0,581.2862697511846,232.51450790047386,316.70119601864747,2.5
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,1132.0548274815985,1.0,2830.137068703996,1132.0548274815985,775.5527075961389,2.5
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,64.33771151779705,1.0,160.84427879449262,64.33771151779705,52.53765565496972,2.5
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,150.91279720787097,1.0,377.28199301967743,150.91279720787097,218.09619207076338,2.5
SFH_0_Post2010_2020,Single family- Terraced houses,2020,390.67864778518293,1.0,976.6966194629573,390.67864778518293,487.9917921343697,2.5
SFH_1_Post2010_2020,Single family- Terraced houses,2020,1188.20681249406,1.0,2970.5170312351497,1188.20681249406,814.0215369815427,2.5
SFH_2_Post2010_2020,Single family- Terraced houses,2020,69.12150979644025,1.0,172.80377449110063,69.12150979644025,56.444066696908486,2.5
0_Other non-residential buildings_1900,Other non-residential buildings,1900,859.1688484128481,1.0,2147.9221210321202,859.1688484128481,426.89246505257364,2.5
0_Other non-residential buildings_1955,Other non-residential buildings,1955,58970.31528370039,1.0,206396.10349295137,58970.31528370039,48394.19064677767,3.5
0_Other non-residential buildings_1975,Other non-residential buildings,1975,380.8221940828102,1.0,952.0554852070255,380.8221940828102,189.21789992625781,2.5
0_Other non-residential buildings_1985,Other non-residential buildings,1985,375.42755359137993,1.0,938.5688839784498,375.42755359137993,186.5374822391951,2.5
0_Other non-residential buildings_2005,Other non-residential buildings,2005,330.7354091308872,1.0,826.838522827218,330.7354091308872,164.33144002471093,2.5
0_Other non-residential buildings_2020,Other non-residential buildings,2020,437.41045620844835,1.0,1093.5261405211209,437.41045620844835,290.1892412033547,2.5
0_Offices_1900,Offices,1900,49.01292512720495,1.0,122.53231281801237,49.01292512720495,45.651593572724344,2.5
0_Offices_1955,Offices,1955,9762.306992624508,1.0,34168.07447418578,9762.306992624508,6504.400925130894,3.5
0_Offices_1975,Offices,1975,21.418918629027928,1.0,53.54729657256982,21.418918629027928,19.94999819908521,2.5
0_Offices_1985,Offices,1985,21.115503104633163,1.0,52.78875776158291,21.115503104633163,19.667391067040434,2.5
0_Offices_2005,Offices,2005,12.235929539820315,1.0,30.58982384955079,12.235929539820315,11.396783213542994,2.5
0_Offices_2020,Offices,2020,13.401256162660344,1.0,33.50314040665086,13.401256162660344,12.482191138642326,2.5
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,28.363740499808564,1.0,70.90935124952141,28.363740499808564,44.66200218303277,2.5
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,19017.50184104367,1.0,66561.25644365285,19017.50184104367,18109.126587769922,3.5
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,9.793866148276527,1.0,24.484665370691317,9.793866148276527,15.421579227098386,2.5
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,9.655128470399351,1.0,24.137821175998376,9.655128470399351,15.203120647128614,2.5
0_Hotels and Restaurants_2005,Hotels and Restaurants,2005,5.611038524078529,1.0,14.027596310196323,5.611038524078529,8.835231545471501,2.5
0_Hotels and Restaurants_2020,Hotels and Restaurants,2020,5.983212778559141,1.0,14.958031946397853,5.983212778559141,9.421263115115634,2.5
0_Health_1955,Health,1955,1468.5888183265924,1.0,5140.060864143074,1468.5888183265924,920.370335115637,3.5
0_Education_1955,Education,1955,11578.841312270612,1.0,40525.94459294714,11578.841312270612,4795.0233686115,3.5
0_Trade_1955,Trade,1955,9566.3241715841,1.0,33482.13460054435,9566.3241715841,9135.261469621864,3.5
