Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,3921276.0306217815,3.0,36684127.44205071,11763828.091865344,10328121.46139937,9.355150506003488
Apartment Block_AB_1_Before1945,Apartment Block,1900,1827669.1094388312,3.0,18265825.225602224,5483007.328316494,4075275.225541557,9.994054794311523
Apartment Block_AB_2_Before1945,Apartment Block,1900,831338.0013961628,5.0,12016675.994952504,4156690.006980814,2561621.690482238,14.454621315002441
Apartment Block_AB_3_Before1945,Apartment Block,1900,5933.628589015259,13.0,230793.63074420666,77137.17165719837,82829.4251646514,38.895867390734175
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1567237.320532657,3.0,13808425.630925637,4701711.961597971,5440154.344622046,8.81067943572998
Apartment Block_AB_1_1945to1969,Apartment Block,1955,3440657.1673588534,3.0,34140661.03220462,10321971.50207656,8209773.052098836,9.922715159212437
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1419946.7301215783,4.0,14927539.531479988,5679786.920486313,2918002.029764011,10.512746157880068
Apartment Block_AB_3_1945to1969,Apartment Block,1955,555877.897377533,5.0,9117394.030772086,2779389.486887665,2030244.5940416309,16.40179268466195
Apartment Block_AB_0_1970to1979,Apartment Block,1975,462037.7799212029,3.0,4233114.213187395,1386113.3397636088,1177213.2309314169,9.161835670471191
Apartment Block_AB_1_1970to1979,Apartment Block,1975,167021.94168974963,3.0,1585189.1901476257,501065.82506924885,389662.77311286906,9.490903854370117
Apartment Block_AB_2_1970to1979,Apartment Block,1975,65750.86476130306,5.0,972666.3639999222,328754.3238065153,184484.78455831262,14.793210211470468
Apartment Block_AB_3_1970to1979,Apartment Block,1975,978.2597123942828,15.0,43561.929921105286,14673.895685914242,22751.344809831655,44.53002548217774
Apartment Block_AB_0_1980to1989,Apartment Block,1985,460973.41002271883,3.0,4223362.631084887,1382920.2300681565,1174501.3524194167,9.161835670471191
Apartment Block_AB_1_1980to1989,Apartment Block,1985,166637.18283485415,3.0,1581537.4808486952,499911.5485045624,388765.1293610271,9.490903854370117
Apartment Block_AB_2_1980to1989,Apartment Block,1985,65599.39827026599,5.0,970425.6883580169,327996.9913513299,184059.79755520288,14.793210211470468
Apartment Block_AB_3_1980to1989,Apartment Block,1985,976.0061516769108,15.0,43461.578804935074,14640.092275153662,22698.933843417293,44.53002548217774
Apartment Block_AB_0_1990to2000,Apartment Block,1995,525531.5225246445,3.0,4489068.618183452,1576594.5675739334,1501477.1439604328,8.541958808898926
Apartment Block_AB_1_1990to2000,Apartment Block,1995,248091.01829715274,3.0,2472203.1739740972,744273.0548914582,538742.4667556831,9.964903973319174
Apartment Block_AB_2_1990to2000,Apartment Block,1995,262305.4500806515,4.0,3055164.716416986,1049221.800322606,628207.3806748731,11.647355079650879
Apartment Block_AB_3_1990to2000,Apartment Block,1995,1275.5962112297163,14.0,52058.8786909864,17858.34695721603,25840.72815781785,40.81140899658203
Apartment Block_AB_0_2000to2010,Apartment Block,2005,338256.50473391946,3.0,3118614.4167874325,1014769.5142017584,947590.7070313115,9.219673156738281
Apartment Block_AB_1_2000to2010,Apartment Block,2005,91558.61114387795,3.0,875448.9746522065,274675.83343163383,237559.3601658822,9.561623573303223
Apartment Block_AB_2_2000to2010,Apartment Block,2005,2352.405173024609,10.0,67762.60661360445,23524.05173024609,17447.7797687897,28.8056697845459
