Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,PL921,1000,101439.29116531508,1097.87,21.446704772142255,51.477958886106606
Apartment Block,PL921,1100,9550922.103934644,1115.79,21.151661027514038,51.380115985879655
Apartment Block,PL922,1000,5144321.652599235,1088.8,20.61479229999947,52.866929649968725
Apartment Block,PL922,1100,354493.8907904342,1100.18,20.376020342257537,52.61956292047703
Apartment Block,PL923,1000,3734337.1102656554,1085.86,19.696290466649447,52.54068634385774
Apartment Block,PL924,1000,3997294.531896092,1072.12,21.584621601023585,53.074321399011254
Apartment Block,PL925,1000,629315.5459632052,1099.35,21.5856676251095,51.7873176041536
Apartment Block,PL925,1100,3962818.756281888,1105.95,22.312256928573607,52.14337275804588
Apartment Block,PL926,1000,2088664.3641136345,1096.36,20.441925113489486,52.05939633373044
Apartment Block,PL926,1100,963780.0087503903,1108.34,21.18560374318171,51.783629311531556
Education,PL921,1000,30565.78466562694,1097.555,21.450162232645557,51.48033223588555
Education,PL921,1100,714410.3007058352,1115.44,21.151222764221888,51.387497553224684
Education,PL922,1000,345336.0654352606,1084.6799,20.331661816567273,53.036212501255626
Education,PL922,1100,13858.14841130044,1100.985,20.505391332525765,52.518473525466455
Education,PL923,1000,536802.839180066,1086.71,19.709346213034255,52.537624623137326
Education,PL923,1100,22794.557890438475,1102.3,20.09616854814392,52.646126980116094
Education,PL924,1000,413277.91165837046,1077.02,21.774113529743406,52.79496486859021
Education,PL924,1100,2130.9370544608682,1101.2,20.84936973612368,52.93691583007604
Education,PL925,1000,57478.033104999224,1092.1799,21.465784503846418,51.8614081594703
Education,PL925,1100,281565.4309283042,1105.915,21.671083765931336,51.7392124558205
Education,PL926,1000,217278.2489006201,1097.19,20.436183017351162,52.06901087967156
Education,PL926,1100,151074.36457938858,1108.75,20.869235753218792,51.87120323601739
Health,PL921,1000,4758.121653325856,1098.58,21.444827528910285,51.47556856221107
