Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,946662.5382063632,4.0,10268460.40398455,3786650.152825453,2125899.536456442,10.847012519836426
Apartment Block_AB_1_Before1945,Apartment Block,1900,546899.91105965,4.0,7128127.152325249,2187599.6442386,1169676.885745105,13.033695943585167
Apartment Block_AB_2_Before1945,Apartment Block,1900,693406.1225027099,5.0,11311595.61954091,3467030.612513549,1942456.224782278,16.313088754846845
Apartment Block_AB_3_Before1945,Apartment Block,1900,188161.07081003237,8.0,4361759.548527214,1505288.566480259,858591.5726475898,23.180988127617805
Apartment Block_AB_0_1945to1969,Apartment Block,1955,696214.8355361479,4.0,7551851.037556455,2784859.3421445917,1563474.560791959,10.847012519836426
Apartment Block_AB_1_1945to1969,Apartment Block,1955,402212.8438234726,4.0,5242319.910999849,1608851.3752938905,860228.8225985998,13.033695943585167
Apartment Block_AB_2_1945to1969,Apartment Block,1955,509959.57910478255,5.0,8319015.875320658,2549797.8955239127,1428562.752293212,16.313088754846845
Apartment Block_AB_3_1945to1969,Apartment Block,1955,138381.4439478277,8.0,3207818.609237203,1107051.5515826216,631443.8001065778,23.180988127617805
Apartment Block_AB_0_1970to1979,Apartment Block,1975,121294.0223380443,3.0,1184870.298025872,363882.0670141329,299466.40568963904,9.768579483032227
Apartment Block_AB_1_1970to1979,Apartment Block,1975,52241.277356115155,4.0,693451.2226052423,208965.10942446062,136042.46923464732,13.274009704589844
Apartment Block_AB_2_1970to1979,Apartment Block,1975,108594.05221447193,4.0,1460523.1786607825,434376.2088578877,246194.87619906134,13.449384647478363
Apartment Block_AB_3_1970to1979,Apartment Block,1975,31685.492367631836,7.0,664242.5226616842,221798.44657342284,86889.05502634456,20.96361688039407
Apartment Block_AB_0_1980to1989,Apartment Block,1985,143508.58436508817,3.0,1401875.0128677997,430525.7530952645,354312.5960951969,9.768579483032227
Apartment Block_AB_1_1980to1989,Apartment Block,1985,61809.07858678982,4.0,820454.3089928044,247236.3143471593,160958.15603331468,13.274009704589844
Apartment Block_AB_2_1980to1989,Apartment Block,1985,128482.66059092757,4.0,1728012.7228187944,513930.64236371027,291284.57841721445,13.449384647478363
Apartment Block_AB_3_1980to1989,Apartment Block,1985,37488.57583366187,7.0,785896.1411684871,262420.03083563305,102802.47157522046,20.96361688039407
Apartment Block_AB_0_1990to2000,Apartment Block,1995,514611.2506855168,3.0,4889494.943201273,1543833.7520565505,1116768.4857754025,9.501337051391602
Apartment Block_AB_1_1990to2000,Apartment Block,1995,111061.58775142871,4.0,1370414.9299859502,444246.35100571485,214321.62993710832,12.339234092827212
Apartment Block_AB_2_1990to2000,Apartment Block,1995,480215.2529565222,4.0,6315244.378897683,1920861.011826089,1105457.5549359089,13.150861702157247
Apartment Block_AB_3_1990to2000,Apartment Block,1995,147211.58260572838,7.0,2879988.1273724064,1030481.0782400988,456656.3755445613,19.563597350120048
Apartment Block_AB_0_2000to2010,Apartment Block,2005,270779.097880886,3.0,2501126.4817443863,812337.293642658,665463.299797257,9.23677824957012
Apartment Block_AB_1_2000to2010,Apartment Block,2005,50094.3361929889,4.0,573282.1276277642,200377.3447719556,89835.39547479023,11.444050788879395
Apartment Block_AB_2_2000to2010,Apartment Block,2005,233343.12004153457,4.0,2955723.922165063,933372.4801661383,529605.3519190619,12.666856951423942
Apartment Block_AB_3_2000to2010,Apartment Block,2005,47540.704130345104,7.0,960259.8579218177,332784.92891241575,180136.02554853406,20.198688166019114
Apartment Block_AB_0_Post2010,Apartment Block,2020,140194.69963374958,3.0,1286907.793450881,420584.09890124877,335471.0760650721,9.179432580638585
Apartment Block_AB_1_Post2010,Apartment Block,2020,25893.47890324279,4.0,294437.645307391,103573.91561297116,45635.765450947605,11.371111869812012
Apartment Block_AB_2_Post2010,Apartment Block,2020,117332.94073749545,4.0,1481545.9701882987,469331.7629499818,232155.7665437339,12.62685449521721
Apartment Block_AB_3_Post2010,Apartment Block,2020,24161.910342360625,7.0,479980.4464814687,169133.37239652438,52770.941564440975,19.86516958636204
SFH_0_Before1945_1900,Single family- Terraced houses,1900,1431002.499277124,1.0,3881721.333820947,1431002.499277124,1098023.7174870402,2.7125887870788574
SFH_1_Before1945_1900,Single family- Terraced houses,1900,502778.3172542395,2.0,3064059.738498452,1005556.634508479,702378.840815108,6.0942559242248535
SFH_2_Before1945_1900,Single family- Terraced houses,1900,98760.42672333775,3.0,740887.568115416,296281.28017001325,168550.33217286677,7.501866817474365
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,1052418.5012894839,1.0,2854778.62591219,1052418.5012894839,807532.1152281453,2.7125887870788574
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,369763.9964939606,2.0,2253436.4261983773,739527.9929879212,516558.4877465194,6.0942559242248535
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,72632.50786171883,3.0,544879.4005977744,217897.52358515648,123958.89459789205,7.501866817474365
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,332255.74765295646,1.0,898519.9424148536,332255.74765295646,272482.97981527494,2.704302179155571
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,109793.69195806824,2.0,649189.1707904643,219587.3839161365,152149.43763146448,5.912809371948242
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,28866.208256183247,2.0,184708.05566753328,57732.41651236649,37744.82255077436,6.398764050625463
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,393107.18759043294,1.0,1063080.6240425257,393107.18759043294,322387.253247236,2.704302179155571
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,129902.01001996869,2.0,768085.8222809853,259804.02003993737,180015.05750697813,5.912809371948242
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,34152.950021621575,2.0,218536.66882116024,68305.90004324315,44657.650451040536,6.398764050625463
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,1035066.2136028667,1.0,2964506.832086824,1035066.2136028667,859310.3607031815,2.8640745810530754
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,90035.23264619072,2.0,481222.4147102908,180070.46529238144,100790.95117012039,5.344823360443115
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,611368.9512415979,2.0,3705277.413715492,1222737.9024831958,854285.666938906,6.060624122619629
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,1252762.567805942,1.0,3489651.16212001,1252762.567805942,984979.1785767785,2.785564680649503
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,158625.76840327602,1.0,660014.4054294381,158625.76840327602,146788.39453166584,4.160827159881592
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,591051.7282952415,2.0,3457038.9984366493,1182103.456590483,799914.5198809038,5.84896183013916
SFH_0_Post2010_2020,Single family- Terraced houses,2020,915424.2778561065,1.0,2510290.5476697474,915424.2778561065,726710.5991749244,2.742215394973755
