Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,PT191,1500,7589973.930590257,1588.52,-8.709573950642282,40.75787248354917
Apartment Block,PT191,1600,1064281.0581086397,1603.45,-8.669118337374005,40.59973620277627
Apartment Block,PT192,1500,8874993.068800334,1583.3,-8.455630392833992,40.199772021270725
Apartment Block,PT192,1600,2698451.999794199,1613.92,-8.863364241764108,40.14960744869597
Apartment Block,PT193,1500,1372046.3460584837,1587.13,-8.632180688612593,39.91365693376855
Apartment Block,PT193,1600,3304491.920687923,1602.21,-8.805558040022895,39.740068544027
Apartment Block,PT194,1500,249858.09566652193,1591.46,-7.933547207038291,40.89811448335444
Apartment Block,PT194,1600,4071816.8425666224,1623.5,-7.9096401473906734,40.662087947235456
Apartment Block,PT195,1600,69305.53817305295,1697.98,-7.925554223333967,39.751631154017566
Apartment Block,PT195,1700,2524254.6048891423,1745.7,-7.494695684858073,39.817396162505595
Apartment Block,PT196,1500,140213.8699803939,1592.1499,-7.7065417340667635,40.41182528257363
Apartment Block,PT196,1600,3568372.155997008,1672.135,-7.063558172840319,40.77447904453395
Apartment Block,PT196,1700,1111708.0191239393,1725.17,-7.499200128717117,40.13534781983017
Education,PT191,1500,674144.6685090158,1587.12,-8.669585500001586,40.83350719998103
Education,PT191,1600,29815.483300808817,1604.1599,-8.67171251507014,40.59856983973432
Education,PT192,1500,1263630.299016777,1583.27,-8.15002050571553,40.18091755370422
Education,PT192,1600,90757.40226449259,1616.7051,-8.854656815524296,40.16500448420645
Education,PT193,1500,87561.14068467356,1592.49,-8.747775656562613,39.76254699200735
Education,PT193,1600,233875.23868026817,1603.33,-8.897927252988227,39.686631767253814
Education,PT194,1500,75513.35777465068,1588.08,-8.183518750653308,40.709721889306216
Education,PT194,1600,377076.78781112493,1623.11,-7.734496007471181,40.85362162762002
Education,PT195,1600,30040.29193045851,1678.105,-8.0946989776416,39.79946876785309
Education,PT195,1700,141028.72592040477,1744.2849,-7.495351971157311,39.827610737068404
Education,PT196,1500,1282.7385693527758,1590.5701,-7.698968299998849,40.421260149992236
Education,PT196,1600,328044.4148037322,1673.19,-7.0748081618389005,40.773616226508295
Education,PT196,1700,87511.02531933133,1711.8201,-7.5318877094754955,40.13068948677113
Health,PT191,1500,108890.79898679536,1591.11,-8.630604238588433,40.85782787997228
Health,PT192,1500,542758.8007211003,1583.46,-8.400585507059471,40.17786738568679
Health,PT192,1600,33318.19568866491,1616.05,-8.86029762729637,40.13086163860034
Health,PT193,1500,104300.77496329416,1585.71,-8.625203967962324,39.91734303582916
Health,PT193,1600,9202.613160461187,1602.99,-8.815792496777178,39.74894671479161
Health,PT194,1500,1961.1700006667525,1595.77,-7.927340639658366,40.89925558324935
Health,PT194,1600,64067.841768010985,1624.25,-7.914458409149808,40.6450481858602
Health,PT195,1700,47459.24474285077,1745.2,-7.499873366388099,39.8227112517377
Health,PT196,1500,2531.546599770896,1585.89,-7.69561526503052,40.42071438843145
