Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,PT1A0,1600,12212625.106812427,1687.515,-9.35924015497598,38.768270967156624
Apartment Block,PT1A0,1700,131031134.7260793,1728.6,-9.382246733273472,38.70819026047526
Education,PT1A0,1600,379547.9947462643,1677.86,-9.350732447383477,38.802093528146294
Education,PT1A0,1700,6492490.159374416,1725.03,-9.16489612279703,38.758220916978
Health,PT1A0,1600,63616.68880677363,1686.825,-9.308105607504823,38.80709629366319
Health,PT1A0,1700,1581193.2315934817,1727.935,-9.162126303118322,38.74829189344884
Hotels and Restaurants,PT1A0,1600,106508.89686159138,1655.61,-9.413704284190091,38.95279985271453
Hotels and Restaurants,PT1A0,1700,1125683.4767598833,1727.325,-9.138857045138318,38.71282042637808
Industrial,PT1A0,1600,5087027.2535314495,1683.605,-9.376140286444738,38.76004441537513
Industrial,PT1A0,1700,19056344.770713575,1715.66,-9.30643050238056,38.752766330005386
Offices,PT1A0,1600,69471.83123481367,1690.58,-9.269613000003554,38.799036899996466
Offices,PT1A0,1700,4233332.063915135,1726.76,-9.251972880672493,38.70466033758681
Other non-residential buildings,PT1A0,1500,1034.864000743255,1596.105,-9.391856162329782,38.79456312691742
Other non-residential buildings,PT1A0,1600,3281000.36093627,1673.66,-9.38097118517975,38.850438752238446
Other non-residential buildings,PT1A0,1700,16912051.14308463,1723.26,-9.314087470539778,38.73868603550909
Single family- Terraced houses,PT1A0,1500,4816.409626009408,1596.39,-9.391750069504285,38.795391247214766
Single family- Terraced houses,PT1A0,1600,9401392.7775762,1674.24,-9.383457751565473,38.7653648468152
Single family- Terraced houses,PT1A0,1700,10701500.097280854,1716.48,-9.285095118431604,38.74146404526806
Sport,PT1A0,1600,45516.0628262246,1680.02,-9.38056754853385,38.761438623043496
Sport,PT1A0,1700,836603.1292092938,1725.92,-9.108917122465582,38.74372687532638
Trade,PT1A0,1500,158.10728935152292,1597.42,-9.391465168291909,38.79591637280132
Trade,PT1A0,1600,2548906.105254447,1684.4,-9.351303273970645,38.77938892681226
Trade,PT1A0,1700,12241873.729807887,1727.71,-9.135830968375556,38.708733348029355
