Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,805493.0048227065,4.0,8732737.554720182,3221972.019290826,2010867.9978478043,10.841481555314447
Apartment Block_AB_1_Before1945,Apartment Block,1900,1228306.2813906218,4.0,14300918.716017669,4913225.125562487,3204662.8616610975,11.64279539450612
Apartment Block_AB_2_Before1945,Apartment Block,1900,715998.3270474614,5.0,11459937.739182224,3579991.635237307,1945007.7878029607,16.005537033081055
Apartment Block_AB_3_Before1945,Apartment Block,1900,365928.0208014611,6.0,7109769.378342464,2195568.124808767,1237613.325669387,19.429420471191406
Apartment Block_AB_0_1945to1969,Apartment Block,1955,592392.914312101,4.0,6422416.854013614,2369571.657248404,1478875.6034004237,10.841481555314447
Apartment Block_AB_1_1945to1969,Apartment Block,1955,903347.3082252373,4.0,10517487.879844293,3613389.232900949,2356841.7858886654,11.64279539450612
Apartment Block_AB_2_1945to1969,Apartment Block,1955,526574.8219571351,5.0,8428112.813522989,2632874.1097856755,1430439.2774086671,16.005537033081055
Apartment Block_AB_3_1945to1969,Apartment Block,1955,269118.62098510674,6.0,5228818.843746834,1614711.7259106403,910192.0940283656,19.429420471191406
Apartment Block_AB_0_1970to1979,Apartment Block,1975,54566.93689263316,3.0,510236.63161400106,163700.81067789948,168870.67530198762,9.350655555725098
Apartment Block_AB_1_1970to1979,Apartment Block,1975,56319.09399749788,4.0,655711.6882168256,225276.37598999153,146937.05606703245,11.64279539450612
Apartment Block_AB_2_1970to1979,Apartment Block,1975,44691.85036187339,4.0,530900.5876786956,178767.40144749355,94287.20263924192,11.879136428229135
Apartment Block_AB_3_1970to1979,Apartment Block,1975,24764.017094237115,6.0,447619.15131352306,148584.10256542268,83840.37072350751,18.075385330665494
Apartment Block_AB_0_1980to1989,Apartment Block,1985,64560.674266177106,3.0,603684.6275083873,193682.0227985313,199798.72945283222,9.350655555725098
Apartment Block_AB_1_1980to1989,Apartment Block,1985,66633.73261528174,4.0,775802.9152119545,266534.93046112696,173848.04708829813,11.64279539450612
Apartment Block_AB_2_1980to1989,Apartment Block,1985,52877.00131020499,4.0,628133.1124795758,211508.00524081997,111555.56319825133,11.879136428229135
Apartment Block_AB_3_1980to1989,Apartment Block,1985,29299.457367175914,6.0,529598.9818911105,175796.74420305548,99195.43175542727,18.075385330665494
Apartment Block_AB_0_1990to2000,Apartment Block,1995,424574.13182386063,3.0,4181815.251498361,1273722.395471582,829716.2219367011,9.849434852600098
Apartment Block_AB_1_1990to2000,Apartment Block,1995,557954.1329037107,4.0,5864900.688201014,2231816.531614843,1503403.5072658735,10.511438740813402
Apartment Block_AB_2_1990to2000,Apartment Block,1995,259838.89860251304,5.0,3649320.140499898,1299194.4930125652,578831.1269205206,14.044548988342285
Apartment Block_AB_3_1990to2000,Apartment Block,1995,109476.73790928404,7.0,2179658.8659353196,766337.1653649883,355935.2261004651,19.9097900390625
Apartment Block_AB_0_2000to2010,Apartment Block,2005,155688.99076952456,3.0,1430506.781194135,467066.97230857366,340453.7685128955,9.188233375549316
Apartment Block_AB_1_2000to2010,Apartment Block,2005,54805.88396152734,3.0,531237.6580823122,164417.651884582,104666.69951696716,9.693077087402342
Apartment Block_AB_2_2000to2010,Apartment Block,2005,41197.146984972314,5.0,561044.0259403534,205985.73492486158,95713.38788777325,13.618516499334484
Apartment Block_AB_3_2000to2010,Apartment Block,2005,37402.03291077692,5.0,516962.58545948763,187010.1645538846,82752.58763624972,13.82177772776975
Apartment Block_AB_0_Post2010,Apartment Block,2020,74585.70234344584,3.0,660539.3135989058,223757.1070303375,163536.4241941956,8.856111732478043
Apartment Block_AB_1_Post2010,Apartment Block,2020,35604.89726712083,4.0,391909.7851177978,142419.58906848333,65471.989019417,11.007187639878545
Apartment Block_AB_2_Post2010,Apartment Block,2020,42212.53383549065,4.0,510210.83446086786,168850.1353419626,96836.37062417739,12.086714255278903
Apartment Block_AB_3_Post2010,Apartment Block,2020,11038.90814659879,6.0,188525.2604521217,66233.44887959273,33987.1288059984,17.078252481900435
SFH_0_Before1945_1900,Single family- Terraced houses,1900,1146223.9625513267,1.0,3373128.5855145734,1146223.9625513267,969132.3869233289,2.942818066729719
SFH_1_Before1945_1900,Single family- Terraced houses,1900,362922.988677765,2.0,2333678.789292575,725845.97735553,406941.7632776873,6.4302313771713715
SFH_2_Before1945_1900,Single family- Terraced houses,1900,1004007.5593433145,2.0,7123020.166228686,2008015.118686629,2436782.889828294,7.0945881830686615
