Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,PT1B0,1700,32857262.34886869,1738.98,-8.866272425262482,38.524931849028576
Education,PT1B0,1700,1904406.2632352961,1741.97,-9.09754873403019,38.632306750352605
Health,PT1B0,1700,274726.62081291527,1740.355,-9.17654895898266,38.673729598026526
Hotels and Restaurants,PT1B0,1700,500668.85757985036,1747.295,-8.908490649992942,38.63290664997683
Industrial,PT1B0,1600,8264.033497390337,1676.9299,-8.932677351139596,38.49326618916598
Industrial,PT1B0,1700,13477621.933128484,1745.1,-8.983575411925058,38.58551394820472
Offices,PT1B0,1700,385099.47221872816,1744.3201,-8.915617795101657,38.60751344899637
Other non-residential buildings,PT1B0,1700,10111108.958512496,1743.44,-9.045946560650442,38.62409763522072
Single family- Terraced houses,PT1B0,1600,3593.803614394041,1696.725,-8.984423169040616,38.475721154837174
Single family- Terraced houses,PT1B0,1700,14103962.92844563,1746.58,-8.837700672442072,38.51807060591075
Sport,PT1B0,1700,136597.1655796878,1742.51,-8.969935088114108,38.71289344875487
Trade,PT1B0,1700,3604930.3239867655,1744.15,-9.198875346225915,38.663085235709005
