Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,295281.1341713005,3.0,2528054.942849003,885843.4025139016,1184447.5474836526,8.561518669128418
Apartment Block_AB_1_Before1945,Apartment Block,1900,458628.7240016644,3.0,4096605.6752881785,1375886.172004993,745060.9281458103,8.932291984558105
Apartment Block_AB_2_Before1945,Apartment Block,1900,238026.93957074304,3.0,2340242.908165631,714080.8187122291,490690.4146203444,9.831840515136719
Apartment Block_AB_3_Before1945,Apartment Block,1900,96082.73985200244,5.0,1316282.2955586482,480413.6992600122,252123.41247028345,13.699466705322264
Apartment Block_AB_0_1945to1969,Apartment Block,1955,217161.97479780798,3.0,1859236.3014562281,651485.924393424,871091.778951079,8.561518669128418
Apartment Block_AB_1_1945to1969,Apartment Block,1955,337294.5572114389,3.0,3012813.469814811,1011883.6716343167,547948.6623990275,8.932291984558105
Apartment Block_AB_2_1945to1969,Apartment Block,1955,175054.8689720017,3.0,1721111.553130876,525164.6069160051,360874.05229042255,9.831840515136719
Apartment Block_AB_3_1945to1969,Apartment Block,1955,70663.2260432197,5.0,968048.5124697494,353316.13021609857,185421.9989315205,13.699466705322264
Apartment Block_AB_0_1970to1979,Apartment Block,1975,42501.14356278022,3.0,364166.1257328437,127503.43068834065,170739.96237761964,8.568384170532227
Apartment Block_AB_1_1970to1979,Apartment Block,1975,61156.79611705585,3.0,553105.9517049161,183470.38835116755,122240.58803517674,9.044063568115234
Apartment Block_AB_2_1970to1979,Apartment Block,1975,25990.995827526436,3.0,251482.49744695576,77972.98748257931,47239.432789304235,9.675754600391906
Apartment Block_AB_3_1970to1979,Apartment Block,1975,12542.91744592051,5.0,172636.1922188457,62714.58722960255,37682.4530535199,13.763639357683434
Apartment Block_AB_0_1980to1989,Apartment Block,1985,50285.074474596826,3.0,430861.83614216954,150855.22342379048,202010.3697037283,8.568384170532227
Apartment Block_AB_1_1980to1989,Apartment Block,1985,72357.4424022561,3.0,654405.3087122409,217072.3272067683,144628.51015026367,9.044063568115234
Apartment Block_AB_2_1980to1989,Apartment Block,1985,30751.152823112585,3.0,297540.60839558614,92253.45846933775,55891.164256298536,9.675754600391906
