Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,627695.0634053457,3.0,6039499.463973196,1883085.190216037,1141121.075707996,9.621709355507672
Apartment Block_AB_1_Before1945,Apartment Block,1900,267128.13179902034,4.0,3102538.610009219,1068512.5271960814,560494.1769587459,11.614421098648949
Apartment Block_AB_2_Before1945,Apartment Block,1900,206319.07562350563,5.0,2862194.9125665906,1031595.3781175282,611110.785027793,13.872662544250488
Apartment Block_AB_3_Before1945,Apartment Block,1900,115956.63374793091,6.0,2234415.3804485877,695739.8024875855,412355.90524467157,19.269405364990234
Apartment Block_AB_0_1945to1969,Apartment Block,1955,461632.9448967173,3.0,4441698.024723303,1384898.834690152,839227.6972913117,9.621709355507672
Apartment Block_AB_1_1945to1969,Apartment Block,1955,196457.09092905064,4.0,2281735.3818655605,785828.3637162026,412210.62995653966,11.614421098648949
Apartment Block_AB_2_1945to1969,Apartment Block,1955,151735.59268052116,5.0,2104976.6732087145,758677.9634026058,449436.17975906853,13.872662544250488
Apartment Block_AB_3_1945to1969,Apartment Block,1955,85279.31066872168,6.0,1643281.6065225345,511675.8640123301,303263.6099620284,19.269405364990234
Apartment Block_AB_0_1970to1979,Apartment Block,1975,68472.92709554812,3.0,628730.0511170747,205418.78128664437,148155.02153134855,9.182169914245605
Apartment Block_AB_1_1970to1979,Apartment Block,1975,29801.966877224415,4.0,343307.10457013466,119207.86750889766,53706.606975630915,11.519612312316895
Apartment Block_AB_2_1970to1979,Apartment Block,1975,39180.909766958765,4.0,473203.0191119634,156723.63906783506,73563.6444454071,12.077387225730403
Apartment Block_AB_3_1970to1979,Apartment Block,1975,6530.744337150344,7.0,133046.40216220476,45715.210360052406,23931.61724502102,20.372318267822266
Apartment Block_AB_0_1980to1989,Apartment Block,1985,81013.4963405686,3.0,743879.6887462154,243040.4890217058,175289.07852760883,9.182169914245605
Apartment Block_AB_1_1980to1989,Apartment Block,1985,35260.08945375931,4.0,406182.56060492084,141040.35781503725,63542.778032743336,11.519612312316895
Apartment Block_AB_2_1980to1989,Apartment Block,1985,46356.751853128204,4.0,559868.4426573247,185427.00741251282,87036.56018327796,12.077387225730403
Apartment Block_AB_3_1980to1989,Apartment Block,1985,7726.8265707501405,7.0,157413.37009958757,54087.78599525098,28314.60649254838,20.372318267822266
Apartment Block_AB_0_1990to2000,Apartment Block,1995,217376.42777838887,3.0,2001309.4702677934,652129.2833351666,635982.7850428107,9.206653594970703
Apartment Block_AB_1_1990to2000,Apartment Block,1995,495741.6814175415,3.0,5184420.371294554,1487225.0442526245,939618.283076673,10.457906941514453
Apartment Block_AB_2_1990to2000,Apartment Block,1995,173729.16829076264,4.0,2064698.6366011004,694916.6731630506,315246.2409294108,11.88458251953125
Apartment Block_AB_3_1990to2000,Apartment Block,1995,83252.01143765851,6.0,1468915.0878709492,499512.06862595107,248427.91796368491,17.64419937133789
Apartment Block_AB_0_2000to2010,Apartment Block,2005,78338.55925136246,3.0,704644.8721747968,235015.67775408737,219256.70984813556,8.994866371154785
Apartment Block_AB_1_2000to2010,Apartment Block,2005,175272.34423539057,3.0,1742965.9882974573,525817.0327061717,308024.75153092836,9.944329756648065
Apartment Block_AB_2_2000to2010,Apartment Block,2005,41574.32176615469,4.0,439499.48584803403,166297.28706461875,83446.96111243554,10.571416854858398
Apartment Block_AB_3_2000to2010,Apartment Block,2005,22376.932756977716,5.0,359792.68015482806,111884.66378488857,72111.4307576191,16.07873089946321
Apartment Block_AB_0_Post2010,Apartment Block,2020,140982.9478884172,3.0,1320535.1873127248,422948.84366525157,276967.7427744533,9.366630554199219
Apartment Block_AB_1_Post2010,Apartment Block,2020,54121.96659663939,3.0,547565.2324254368,162365.89978991816,123821.04265736046,10.1172456741333
Apartment Block_AB_2_Post2010,Apartment Block,2020,68944.83079308816,4.0,922700.4656919306,275779.3231723526,143035.09915838175,13.383171081542969
Apartment Block_AB_3_Post2010,Apartment Block,2020,18874.79918866613,5.0,297477.9277867844,94373.99594333065,42345.00237040429,15.760587692260742
SFH_0_Before1945_1900,Single family- Terraced houses,1900,4648968.741260155,1.0,12072909.077135669,4648968.741260155,3144061.311703974,2.596900463104248
SFH_1_Before1945_1900,Single family- Terraced houses,1900,288400.4330219907,2.0,1820050.263862344,576800.8660439814,361634.83788331907,6.310844421386719
SFH_2_Before1945_1900,Single family- Terraced houses,1900,968149.0717559261,2.0,6300502.060483102,1936298.1435118522,1563479.2930032723,6.507780923712419
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,3419044.14401108,1.0,8878917.320956241,3419044.14401108,2312272.896306772,2.596900463104248
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,212101.6222162888,2.0,1338540.3393307393,424203.2444325776,265961.236469877,6.310844421386719
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,712016.9221485473,2.0,4633650.143318746,1424033.8442970945,1149847.4217695931,6.507780923712419
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,689767.5386461072,1.0,1781131.7515632357,689767.5386461072,475697.63817777584,2.5822203159332275
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,44735.76213810794,2.0,264565.0136429872,89471.52427621587,54844.24556307054,5.913948952657247
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,164820.487400635,2.0,1051300.9661858985,329640.97480127,264616.9351284796,6.378460486107312
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,816095.9716235438,1.0,2107339.5976775815,816095.9716235438,562819.942193445,2.5822203159332275
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,52928.9553696294,2.0,313019.140173462,105857.9107392588,64888.77101785148,5.913948952657247
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,195006.7642683005,2.0,1243842.940408998,390013.528536601,313080.5708914605,6.378460486107312
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,2838798.6539223953,1.0,7752475.383692801,2838798.6539223953,2142713.2699597697,2.7309000492095947
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,251369.2834797429,2.0,1501292.9388008132,502738.5669594858,256343.16005516687,5.97245979309082
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,1048062.5773260965,2.0,6688077.658692632,2096125.154652193,1716800.5185725985,6.381372451782227
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,3281355.62825771,1.0,8678192.800157523,3281355.62825771,2416481.925810188,2.644697430971648
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,600474.9086911661,1.0,1698305.5745750335,600474.9086911661,451980.2009164613,2.828270673751831
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,661878.1265775046,2.0,4099710.5193664273,1323756.2531550091,1047877.8265329605,6.194056510925293
SFH_0_Post2010_2020,Single family- Terraced houses,2020,2568633.627839168,1.0,6632777.937995569,2568633.627839168,1771456.1524676357,2.5822203159332275
SFH_1_Post2010_2020,Single family- Terraced houses,2020,277128.38946540083,2.0,1323446.6094414238,554256.7789308017,355294.1590492698,4.775572116571819
SFH_2_Post2010_2020,Single family- Terraced houses,2020,225595.3284503338,2.0,1607708.1494835408,451190.6569006676,339017.2298882246,7.126513481140137
0_Other non-residential buildings_1900,Other non-residential buildings,1900,1270996.7789719675,2.0,7433329.830633165,2541993.557943935,2412508.2685341677,5.848425388336182
0_Other non-residential buildings_1955,Other non-residential buildings,1955,934743.6681243696,2.0,5466778.600245053,1869487.3362487392,1774258.4919326033,5.848425388336182
0_Other non-residential buildings_1975,Other non-residential buildings,1975,211684.27983432825,2.0,1156598.7414064154,423368.5596686565,381684.61289991415,5.463791370391846
0_Other non-residential buildings_1985,Other non-residential buildings,1985,250453.49099482616,2.0,1368425.622782043,500906.9819896523,451588.7709498686,5.463791370391846
0_Other non-residential buildings_1995,Other non-residential buildings,1995,1152795.6561389496,2.0,8520895.032581698,2305591.312277899,2398393.2290016823,7.391505152891252
0_Other non-residential buildings_2005,Other non-residential buildings,2005,1163234.43166898,2.0,5483489.59138702,2326468.86333796,1472990.062809814,4.7140021324157715
0_Other non-residential buildings_2020,Other non-residential buildings,2020,862938.8379295088,2.0,4067895.5221440922,1725877.6758590175,1121181.4057276258,4.7140021324157715
0_Trade_1900,Trade,1900,125829.94254394581,3.0,1114556.3916892775,377489.82763183746,140103.4524339979,8.857640472179515
0_Trade_1955,Trade,1955,92540.55084902832,3.0,819690.9285181396,277621.65254708496,103037.88114315254,8.857640472179515
0_Trade_1975,Trade,1975,15184.603949756201,3.0,129739.38090656587,45553.811849268604,12898.821760670782,8.544139928565533
0_Trade_1985,Trade,1985,17965.609310085096,3.0,153500.67984730675,53896.82793025529,15261.19437025922,8.544139928565533
0_Trade_1995,Trade,1995,177577.18306547604,3.0,1478288.0219699242,532731.5491964282,142755.26744939564,8.324763330798257
0_Trade_2005,Trade,2005,179855.17660429858,2.0,1324639.6473685587,359710.35320859717,174892.92445896298,7.365034870711081
0_Trade_2020,Trade,2020,75283.50547254791,3.0,580714.6137220177,225850.51641764372,119228.35129430612,7.713703155517578
0_Offices_1900,Offices,1900,54968.89598602321,3.0,465462.7943361159,164906.68795806964,101667.57622002519,8.467748641967773
0_Offices_1955,Offices,1955,40426.40258166659,3.0,342320.6155605498,121279.20774499977,74770.54599783236,8.467748641967773
