Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,PT1D1,1500,1082851.8017291308,1593.94,-9.068857160104155,39.599613701564266
Apartment Block,PT1D1,1600,6982352.043864901,1608.53,-9.379320929004985,39.35756317829308
Apartment Block,PT1D1,1700,633255.342391537,1705.45,-8.971942089408042,39.02149423383581
Apartment Block,PT1D2,1600,3058548.3313641837,1666.155,-8.291748826191427,39.69294209027062
Apartment Block,PT1D2,1700,41895.984144583344,1701.315,-7.997603499994387,39.55697499999241
Apartment Block,PT1D3,1600,1565759.4500585743,1647.33,-8.935334567209422,39.33448578420971
Apartment Block,PT1D3,1700,1234277.9020109605,1703.035,-8.632959071900755,39.208863981145825
Education,PT1D1,1500,17112.66558751557,1595.92,-9.065058396163597,39.606960008104814
Education,PT1D1,1600,390413.6779434271,1609.28,-8.95953777542238,39.60405274307331
Education,PT1D1,1700,54004.109218809754,1701.96,-8.996567699940654,39.04479239995148
Education,PT1D2,1600,103490.77235895421,1651.71,-8.40376333617227,39.65975996396261
Education,PT1D2,1700,2447.9600217249244,1705.47,-8.068329749983832,39.413971349911115
Education,PT1D3,1600,285443.7710865528,1693.99,-8.593387014971205,39.36289765119396
Education,PT1D3,1700,30920.969487202354,1704.79,-8.53356312041972,38.95957787875988
Health,PT1D1,1600,33206.968252570834,1613.1399,-9.379004400469002,39.35765259116712
Health,PT1D2,1600,55682.97562637739,1685.4,-8.536411982860658,39.46800069135915
Health,PT1D3,1600,48960.83457691409,1697.98,-8.703847096712872,39.24238156466537
Health,PT1D3,1700,3386.7342195659876,1702.36,-8.465203374303758,39.06859588274754
Hotels and Restaurants,PT1D1,1500,125491.06705920119,1593.8201,-9.15659683109819,39.48832477908854
Hotels and Restaurants,PT1D1,1600,571101.3568983753,1611.49,-9.35617555951568,39.32742175336451
Hotels and Restaurants,PT1D1,1700,1160.5072243530303,1704.49,-8.999437968135924,39.00499541936223
Hotels and Restaurants,PT1D2,1600,121312.73785459436,1624.81,-8.667008116768248,39.633115257506404
Hotels and Restaurants,PT1D3,1600,12079.217431453988,1670.6,-8.767343799998253,39.44130399999119
Hotels and Restaurants,PT1D3,1700,24699.50072488375,1713.76,-8.857229360950901,38.93930149373688
Industrial,PT1D1,1500,21342.13896998111,1596.15,-9.0754304882981,39.57884256042883
Industrial,PT1D1,1600,3824174.9878036855,1618.9551,-9.015788146677892,39.590340751655155
Industrial,PT1D1,1700,1594481.865509193,1704.56,-8.967388396667541,39.02996896676753
Industrial,PT1D2,1500,6546.873099822551,1594.2051,-8.675711186217804,39.7110001893464
Industrial,PT1D2,1600,2845061.734969884,1680.02,-8.333546463489684,39.471076065837245
Industrial,PT1D2,1700,62892.55538604781,1701.93,-8.005023715162467,39.54789679636643
Industrial,PT1D3,1600,4289594.635991113,1686.97,-8.900538326612205,39.14617803493568
Industrial,PT1D3,1700,2418885.9082202823,1709.985,-8.492193271367961,38.93620625348316
Offices,PT1D1,1500,2866.1099146595225,1590.48,-9.152090157500039,39.49552001532954
Offices,PT1D1,1600,118715.05398091336,1609.6599,-9.3851509000018,39.356204049991106
Offices,PT1D1,1700,6350.666241867468,1704.8301,-8.981560599513658,39.03292086614434
Offices,PT1D2,1600,270219.4755672938,1684.735,-8.468248108733528,39.470651473379654
Offices,PT1D2,1700,1286.6330829635262,1708.255,-7.999435915997794,39.557593703863745
Offices,PT1D3,1600,57762.05443423195,1694.315,-8.489310869414153,39.40292743202983
Offices,PT1D3,1700,21634.09793063812,1708.73,-8.514231097399442,38.93857266062933
Other non-residential buildings,PT1D1,1500,483030.70117572555,1597.44,-9.171630775535505,39.34268312964752
Other non-residential buildings,PT1D1,1600,6517608.752418246,1611.37,-8.948024765585995,39.50956103849356
Other non-residential buildings,PT1D1,1700,223289.38692870038,1704.17,-8.980503868371102,39.04039982334505
Other non-residential buildings,PT1D2,1500,1476.9081542054191,1595.37,-8.67438077870018,39.70907084410879
