Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,RO121,1200,1037702.7704253716,1283.1,23.72200425231831,46.30824148174837
Apartment Block,RO121,1300,5273032.026895184,1311.86,23.578575600599173,46.065694031088455
Apartment Block,RO122,1200,6752752.104483223,1282.065,25.628040054345416,45.646391496700424
Apartment Block,RO122,1300,869629.436913795,1318.38,24.97650937143919,45.838092199091
Apartment Block,RO123,1200,89730.244014072,1281.89,26.30377754793071,46.042066863573844
Apartment Block,RO123,1300,216857.48998310685,1305.6,25.784977713642377,45.861049404692565
Apartment Block,RO124,1100,1820.6277606468648,1194.39,25.556704007383566,46.970390242507875
Apartment Block,RO124,1200,678877.3835365716,1256.775,25.808253925229508,46.36399219092304
Apartment Block,RO124,1300,476227.2140227116,1302.785,25.29933985364461,46.30071188444778
Apartment Block,RO125,1200,9334666.133150196,1298.56,24.587801091463596,46.53166208592772
Apartment Block,RO125,1300,1374858.287102748,1302.21,24.79941540296102,46.22010980435437
Apartment Block,RO126,1200,473823.2699885471,1296.23,24.361361083780658,46.15358749471972
Apartment Block,RO126,1300,10153440.661149852,1309.9,24.15641500004153,45.783593249976164
Education,RO121,1100,2242.240027628839,1163.57,22.965083209866293,46.44822776604967
Education,RO121,1200,31746.701703482773,1288.28,23.722084269462037,46.27124254977755
Education,RO121,1300,155762.01345975045,1313.64,23.923255168653967,46.17317823308911
Education,RO122,1200,215837.60898650112,1286.27,25.596836305796042,45.654632843711035
Education,RO122,1300,35047.749433784746,1316.91,25.05335517911769,45.94745427520448
Education,RO123,1200,10271.178649358451,1295.02,25.816754949947025,45.95907954997823
Education,RO123,1300,79832.12487732572,1305.425,25.783407516665015,45.861340400221394
Education,RO124,1100,5878.101999910548,1183.73,25.76159648070104,46.96110543027458
Education,RO124,1200,168207.18572888244,1246.09,25.752817523584568,46.49604622648624
Education,RO124,1300,44271.72660497995,1302.42,25.295614974990595,46.30171888584071
Education,RO125,1200,118528.05011585448,1295.69,24.579285936657445,46.55455927503947
Education,RO125,1300,22588.131195622496,1303.76,24.645269048588812,46.447654561695366
Education,RO126,1100,196.9272488206625,1169.46,24.05905153607089,45.62472209713903
Education,RO126,1200,7866.4685299368575,1286.0249,24.334950411423925,45.649891624757764
