Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,RS121,1300,2870376.209308044,1340.64,19.121564599977198,45.765019299963754
Apartment Block,RS122,1300,2951101.0395527217,1361.295,20.63776570001828,44.86807669998308
Apartment Block,RS123,1300,20254113.80016014,1345.75,19.845914182177882,45.218270114477306
Apartment Block,RS124,1300,3613425.528462301,1338.82,20.09887151248633,46.04276266028431
Apartment Block,RS125,1300,4903150.335845472,1330.14,19.69117738839702,46.10215721454086
Apartment Block,RS126,1300,3125531.348956754,1349.4,20.405750953703187,45.3756604029289
Apartment Block,RS127,1300,5236846.846319158,1351.62,19.71602450154874,44.779124048827875
Education,RS121,1300,147123.6960421577,1344.66,19.52577016544145,45.60524053637139
Education,RS122,1300,95732.08071887936,1359.26,20.810722184213233,44.7256552196003
Education,RS123,1300,1029170.3103540097,1345.325,19.835147780072933,45.2487774294326
Education,RS124,1300,93354.63137038518,1338.145,19.91693655969741,45.9612776491238
Education,RS125,1300,175505.6576887453,1331.95,19.64677900584805,46.08473039689917
Education,RS126,1300,232556.04223208874,1349.345,20.37184652262962,45.380477383077476
Education,RS127,1300,139575.41987380828,1350.54,19.613110070373175,44.96825392868846
Health,RS121,1300,55028.36846967321,1341.01,19.106529811318783,45.76792428376367
Health,RS122,1300,4447.939419768751,1358.3501,20.596203950017255,44.94607594993376
Health,RS123,1300,161395.13089484395,1344.66,19.823235656854557,45.249790295084566
Health,RS124,1300,2250.7152144648135,1336.83,20.47483148318933,45.83615889837905
Health,RS125,1300,28082.589385434054,1338.82,19.634073349825943,45.82195619978366
Health,RS126,1300,96225.4553599488,1348.97,20.39548173530628,45.38192754037969
Health,RS127,1300,28067.51835090667,1350.45,19.603955090289812,44.97316956295227
Hotels and Restaurants,RS121,1300,962.2989476174116,1344.6,19.528776043647277,45.60805134649083
Hotels and Restaurants,RS122,1300,16380.726589468308,1361.09,20.61338326936626,44.830676374909395
Hotels and Restaurants,RS123,1300,117939.22537135007,1345.77,19.83868607884542,45.23569797044192
Hotels and Restaurants,RS124,1300,4154.03903683275,1337.72,19.97421154999642,46.17599134999321
Hotels and Restaurants,RS125,1300,19804.48337569926,1329.385,19.66888364060425,46.099723358748506
Hotels and Restaurants,RS126,1300,128122.06607087702,1350.28,20.387569166529847,45.37001194662081
Hotels and Restaurants,RS127,1300,20431.4374170769,1351.96,20.163417819831448,44.97362490581294
Industrial,RS121,1300,1051528.6203223718,1342.57,19.473114436864872,45.68682011872124
Industrial,RS122,1300,2793745.465182118,1362.08,20.64299536859792,44.86031712231417
Industrial,RS123,1300,5187458.9509152,1345.86,19.962590999972498,45.18335114999152
Industrial,RS124,1300,1915940.664392891,1338.03,20.47531625430623,45.818117229954794
Industrial,RS125,1300,1513137.1181841064,1333.35,19.690081857441847,46.058386994562085
Industrial,RS126,1300,1629338.9993738024,1348.68,20.43896979998258,45.372862699979756
Industrial,RS127,1300,5006608.941276509,1351.6,19.788951849956252,45.00521774997548
Offices,RS121,1300,2469.1368589177728,1344.66,19.523754435884495,45.60251289439672
Offices,RS122,1300,35443.0990639152,1357.51,20.977836117939656,44.740937456199795
Offices,RS123,1300,389709.01123807614,1345.035,19.830054731975096,45.24813370872765
Offices,RS124,1300,14648.134608298307,1337.22,20.464493594395268,45.829067038629624
Offices,RS125,1300,83107.40118345991,1330.68,19.672849182167656,46.09629186871546
Offices,RS126,1300,190224.25409976672,1349.29,20.393752131360017,45.378393989842635
Offices,RS127,1300,73961.33917503012,1350.655,19.59684852083711,44.96400174772173
Other non-residential buildings,RS121,1300,310782.4078168862,1343.29,18.933790409459068,45.84587765521961
Other non-residential buildings,RS122,1300,492341.2138180048,1358.72,20.986129919282256,44.76351917536045
Other non-residential buildings,RS123,1200,161.67375899013132,1276.13,19.804714950002655,45.16871494998676
Other non-residential buildings,RS123,1300,3474158.7672824236,1345.02,19.82288951762845,45.2349896834608
Other non-residential buildings,RS124,1300,519087.17949243856,1339.51,20.014591607887333,45.919609550267
Other non-residential buildings,RS125,1300,649625.3192251006,1335.1,19.413421061204883,45.97678393495433
Other non-residential buildings,RS126,1300,634862.9731925698,1350.87,20.391180351001356,45.36428070333955
Other non-residential buildings,RS127,1300,1608685.4866484792,1352.0549,19.824735709865138,45.03020939856381
Single family- Terraced houses,RS121,1300,6299304.141471139,1340.64,19.149578342813708,45.725011640829365
