Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,963146.5357355046,3.0,8064351.382802195,2889439.6072065136,3458093.4630629043,8.372922586119122
Apartment Block_AB_1_Before1945,Apartment Block,1900,400887.75543668336,3.0,3704291.083557293,1202663.2663100502,921389.333601559,9.240220069885254
Apartment Block_AB_2_Before1945,Apartment Block,1900,838258.0302743908,3.0,7919320.620830784,2514774.0908231726,1988053.82205091,9.447354316711426
Apartment Block_AB_3_Before1945,Apartment Block,1900,274660.4602061169,4.0,3620298.1492379173,1098641.8408244676,784878.5721444761,13.180994987487793
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1006225.9416532012,3.0,8425051.91360707,3018677.8249596036,3612766.3051168476,8.372922586119122
Apartment Block_AB_1_1945to1969,Apartment Block,1955,418818.5745832247,3.0,3869975.7985046473,1256455.7237496742,962601.0325878884,9.240220069885254
Apartment Block_AB_2_1945to1969,Apartment Block,1955,875751.450652405,3.0,8273534.247687292,2627254.351957215,2076975.055122633,9.447354316711426
Apartment Block_AB_3_1945to1969,Apartment Block,1955,286945.41271931364,4.0,3782226.0467358893,1147781.6508772545,819984.4478871464,13.180994987487793
Apartment Block_AB_0_1970to1979,Apartment Block,1975,84275.58144656253,3.0,704763.165667126,252826.74433968758,307738.59068425064,8.362602233886719
Apartment Block_AB_1_1970to1979,Apartment Block,1975,80870.62010302827,3.0,699373.1911085459,242611.86030908482,182600.29789764286,8.648050308227539
Apartment Block_AB_2_1970to1979,Apartment Block,1975,30410.194960033346,3.0,274514.9880737219,91230.58488010004,67411.76662047126,9.027070968617718
Apartment Block_AB_3_1970to1979,Apartment Block,1975,36371.692960181914,4.0,437047.59687661874,145486.77184072766,125517.60608166849,12.016146659851074
Apartment Block_AB_0_1980to1989,Apartment Block,1985,83081.7527486175,3.0,694779.6511308127,249245.25824585248,303379.2358780548,8.362602233886719
Apartment Block_AB_1_1980to1989,Apartment Block,1985,79725.02531219526,3.0,689466.0297245785,239175.07593658575,180013.6236541463,8.648050308227539
Apartment Block_AB_2_1980to1989,Apartment Block,1985,29979.41106237005,3.0,270626.2712573775,89938.23318711015,66456.82688360667,9.027070968617718
Apartment Block_AB_3_1980to1989,Apartment Block,1985,35856.45983923047,4.0,430856.48013125337,143425.83935692188,123739.55225319779,12.016146659851074
Apartment Block_AB_0_1990to2000,Apartment Block,1995,321876.20413408935,3.0,2661734.9391764053,965628.6124022681,1075282.1987832426,8.269436836242676
Apartment Block_AB_1_1990to2000,Apartment Block,1995,106675.89370571815,3.0,976254.2808606602,320027.6811171544,247068.7302763143,9.151592238390876
Apartment Block_AB_2_1990to2000,Apartment Block,1995,262618.5372040242,3.0,2520614.2348853024,787855.6116120726,666734.9167073442,9.598005768066086
Apartment Block_AB_3_1990to2000,Apartment Block,1995,30603.829471578116,5.0,430171.5931911835,153019.1473578906,87934.34547995513,14.056136131286621
Apartment Block_AB_0_2000to2010,Apartment Block,2005,105127.836287683,3.0,861699.07129575,315383.50886304904,321729.89341307076,8.19667846047649
Apartment Block_AB_1_2000to2010,Apartment Block,2005,25419.204306590098,3.0,228523.06482546194,76257.6129197703,60591.108411899855,8.990173809894427
Apartment Block_AB_2_2000to2010,Apartment Block,2005,71200.09165489393,3.0,700229.216843012,213600.27496468177,171162.09706742145,9.834667351792403
Apartment Block_AB_3_2000to2010,Apartment Block,2005,7119.21550900554,5.0,109611.02771472062,35596.0775450277,16462.3909430656,15.396503670392725
Apartment Block_AB_0_Post2010,Apartment Block,2020,98947.78212726545,3.0,808724.7306298665,296843.34638179635,276764.20749668777,8.173247679161666
Apartment Block_AB_1_Post2010,Apartment Block,2020,23020.44722846241,3.0,206957.8217653795,69061.34168538723,54873.25239950824,8.990173809894427
Apartment Block_AB_2_Post2010,Apartment Block,2020,28815.874118169835,4.0,306276.21372119297,115263.49647267934,72831.12764526028,10.628732359990101
Apartment Block_AB_3_Post2010,Apartment Block,2020,5173.949353142106,5.0,76760.7444982898,25869.74676571053,15281.22712466422,14.836006164550781
SFH_0_Before1945_1900,Single family- Terraced houses,1900,6595461.821938748,1.0,17288264.103267655,6595461.821938748,7130921.000317339,2.6212363243103027
SFH_1_Before1945_1900,Single family- Terraced houses,1900,624570.3303911355,2.0,3720357.4252629727,1249140.660782271,1144591.948394348,5.956666918412709
SFH_2_Before1945_1900,Single family- Terraced houses,1900,3782962.8412337634,2.0,23949206.62286092,7565925.682467527,8941600.02334933,6.330806732177734
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,8205480.181884932,1.0,22453406.586976122,8205480.181884932,9694651.153543523,2.736391544342041
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,658688.5842551447,2.0,3905539.327630856,1317377.1685102894,1138385.1975002387,5.929265241551591
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3956934.231224956,2.0,25025706.349992335,7913868.462449912,9326720.872840434,6.324519157409669
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,1920610.8755941233,1.0,4994185.666741409,1920610.8755941233,2063341.2875236478,2.600311041765034
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,110977.45937201974,2.0,547401.7562242893,221954.9187440395,173617.35362977564,4.932548999786377
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,660742.8106445447,2.0,3966518.0279108603,1321485.6212890893,1452120.3855913673,6.003119464957298
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,1893403.9392370782,1.0,4923439.169719586,1893403.9392370782,2034112.4646496996,2.600311041765034
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,109405.37795117123,2.0,539647.3875843002,218810.75590234247,171157.92972943836,4.932548999786377
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,651382.878434424,2.0,3910329.2366696047,1302765.756868848,1431549.9788444352,6.003119464957298
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,2458578.306057944,1.0,6728736.061144349,2458578.306057944,2669587.2569559435,2.73684024810791
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,257155.8861326578,2.0,1407960.3336373144,514311.7722653156,394646.3725997678,5.475123882293701
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,1770594.3120074286,2.0,10696208.167216841,3541188.624014857,3851741.0636713635,6.041027069091796
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,2857809.5971814683,1.0,7590711.976932103,2857809.5971814683,2980905.5632395865,2.6561293601989746
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,415976.17726787133,1.0,1817239.0368277952,415976.17726787133,526894.8601508843,4.368613243103027
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,1011572.565416988,2.0,5821760.912581371,2023145.130833976,2074646.486139775,5.755158959042685
SFH_0_Post2010_2020,Single family- Terraced houses,2020,2738960.5792078525,1.0,7200072.243538543,2738960.5792078525,2861608.9388658204,2.628760814666748
SFH_1_Post2010_2020,Single family- Terraced houses,2020,319888.43758255127,1.0,1378414.078289595,319888.43758255127,437609.3536926441,4.309046268463135
SFH_2_Post2010_2020,Single family- Terraced houses,2020,770646.4306477428,2.0,4414967.694094845,1541292.8612954856,1590126.265212856,5.728914737701415
0_Other non-residential buildings_1900,Other non-residential buildings,1900,278876.53430641425,2.0,1784457.4526174034,557753.0686128285,574879.5772595301,6.398736476898193
0_Other non-residential buildings_1955,Other non-residential buildings,1955,350769.610091485,2.0,2051706.900810808,701539.22018297,529361.6203795236,5.8491580849198925
0_Other non-residential buildings_1975,Other non-residential buildings,1975,63124.94108144896,2.0,304471.1832529014,126249.88216289792,90191.82143198153,4.823310375213623
0_Other non-residential buildings_1985,Other non-residential buildings,1985,62230.72753909675,2.0,300158.1137964175,124461.4550781935,88914.18462548015,4.823310375213623
0_Other non-residential buildings_1995,Other non-residential buildings,1995,112884.15172006012,2.0,603872.4271261414,225768.30344012025,198089.4145976061,5.3494881072736975
0_Other non-residential buildings_2005,Other non-residential buildings,2005,206298.3544345907,1.0,879525.5344000608,206298.3544345907,277728.5318485711,4.26336669921875
0_Other non-residential buildings_2020,Other non-residential buildings,2020,206362.02039915908,1.0,855125.8038168432,206362.02039915908,234584.2448961029,4.143813877005091
0_Trade_1900,Trade,1900,146871.59159290933,3.0,1162230.3932807744,440614.77477872797,244799.14170426526,7.9132416328828326
0_Trade_1955,Trade,1955,156660.72677990448,3.0,1228062.5013653277,469982.18033971346,309163.3015751106,7.838994026184082
0_Trade_1975,Trade,1975,37894.89626307617,2.0,253718.28048056705,75789.79252615233,59076.01247151632,6.695315345876372
0_Trade_1985,Trade,1985,37358.08579095624,2.0,250124.16508875534,74716.17158191248,58239.15512994609,6.695315345876372
0_Trade_1995,Trade,1995,69600.41466941239,2.0,439683.52452958736,139200.82933882478,100944.3691991879,6.317254381572199
0_Trade_2005,Trade,2005,76427.17525749169,2.0,519307.5754691675,152854.35051498338,126122.48331822608,6.794802682678802
0_Trade_2020,Trade,2020,84320.71074196059,2.0,502660.4773146581,168641.42148392118,84752.58817228505,5.9612931733095404
0_Education_1900,Education,1900,109886.59646556713,3.0,832163.3076048077,329659.7893967014,152768.98060260635,7.572928222101822
0_Education_1955,Education,1955,114801.57992697705,3.0,869384.1245708825,344404.73978093115,159601.99788796328,7.572928222101822
0_Education_1975,Education,1975,24604.74942834391,2.0,163886.61055671508,49209.49885668782,41006.0197650996,6.660771369934082
0_Education_1985,Education,1985,24256.20415023237,2.0,161565.03014714402,48512.40830046474,40425.13782582614,6.660771369934082
0_Education_1995,Education,1995,53293.76203150057,2.0,377101.98483862623,106587.52406300114,69306.13931294835,7.07591227310489
0_Education_2005,Education,2005,34751.17136720596,2.0,223510.37623226826,69502.34273441193,62541.25679556609,6.431736469268799
0_Education_2020,Education,2020,26900.38197967623,2.0,155267.08637201096,53800.76395935246,40371.08973864547,5.771928684481816
0_Offices_1900,Offices,1900,21471.260657532057,3.0,182972.01511494705,64413.78197259617,38449.02324132664,8.52171737996022
0_Offices_1955,Offices,1955,22832.264180566315,3.0,194570.10249137518,68496.79254169895,40886.19993641346,8.52171737996022
0_Offices_1975,Offices,1975,4915.79287651827,2.0,27101.40895019289,9831.58575303654,5619.128469758454,5.513130766686843
0_Offices_1985,Offices,1985,4846.156873913382,2.0,26717.496561762797,9692.313747826764,5539.529175283207,5.513130766686843
0_Offices_1995,Offices,1995,5980.884085360868,2.0,42535.81039763483,11961.768170721736,7369.789330340022,7.111960337393556
0_Offices_2005,Offices,2005,6105.31840772334,1.0,26288.048835644557,6105.31840772334,6483.843268340715,4.305762137219525
0_Offices_2020,Offices,2020,4461.192545695365,1.0,19208.83395010109,4461.192545695365,4737.782917200054,4.305762137219525
0_Health_1900,Health,1900,25704.370183456715,3.0,208442.23134198846,77113.11055037014,25939.445750195806,8.109213719468665
0_Health_1955,Health,1955,26854.069586306414,3.0,217765.38951284217,80562.20875891924,27099.659561170487,8.109213719468665
0_Health_1975,Health,1975,8254.407860622507,2.0,59305.39021984167,16508.815721245013,12696.039642253052,7.184693465748995
0_Health_1985,Health,1985,8137.477798326792,2.0,58465.28356531602,16274.955596653585,12516.190435460217,7.184693465748995
0_Health_1995,Health,1995,8278.748972933097,3.0,64395.62835199308,24836.246918799294,9147.908195876966,7.778425044959203
0_Health_2005,Health,2005,9449.169594927178,2.0,60024.43807614081,18898.339189854356,15971.180968131266,6.35235059262405
0_Health_2020,Health,2020,9753.02326655311,3.0,86324.62243420717,29259.069799659326,12280.286486908177,8.851062903771357
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,17425.104851253993,3.0,145284.4805280483,52275.31455376198,28621.002628694863,8.337653160095215
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,18264.457093978534,3.0,152282.70840703358,54793.3712819356,29999.65159238768,8.337653160095215
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,4569.833941282,2.0,26562.189945090508,9139.667882564,4768.76608815875,5.8125066001061025
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,4505.098714181787,2.0,26185.916010311154,9010.197428363574,4701.212833561024,5.8125066001061025
0_Hotels and Restaurants_1995,Hotels and Restaurants,1995,5051.138418517782,3.0,38810.53530258559,15153.415255553347,8591.190304452859,7.68352242344098
0_Hotels and Restaurants_2005,Hotels and Restaurants,2005,12823.725373777213,2.0,77580.54232331611,25647.450747554427,19529.43658011627,6.0497663558795365
0_Hotels and Restaurants_2020,Hotels and Restaurants,2020,8050.72592966369,2.0,46507.24811941526,16101.45185932738,8381.980288787745,5.7767769671620215
0_Sport_1900,Sport,1900,10622.005102253452,3.0,88198.20643210302,31866.015306760353,24611.87913354429,8.303348151601982
0_Sport_1955,Sport,1955,23972.559133867016,2.0,162083.6441677414,47945.11826773403,31926.363813992688,6.76121574099109
0_Sport_1975,Sport,1975,1537.3269954694667,3.0,11593.563424304273,4611.9809864084,573.5228174896797,7.541377636944342
0_Sport_1985,Sport,1985,1515.5495712878158,3.0,11429.331644590518,4546.6487138634475,565.3984238433468,7.541377636944342
0_Sport_1995,Sport,1995,8870.408030118097,2.0,54614.67803803816,17740.816060236193,11152.55997069556,6.156952177690415
0_Sport_2005,Sport,2005,3815.130241096649,2.0,25761.608957041033,7630.260482193298,5423.079880420857,6.7524847984313965
0_Sport_2020,Sport,2020,3609.582519573008,2.0,23669.02456060658,7219.165039146016,7111.563792395571,6.557274818420409
