Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,548860.5076240412,3.0,4827855.220809828,1646581.5228721234,1052542.0161402377,8.796142469257079
Apartment Block_AB_1_Before1945,Apartment Block,1900,21165.82800910008,3.0,215243.3520181098,63497.48402730024,0.0,10.169380187988281
Apartment Block_AB_2_Before1945,Apartment Block,1900,134205.3489502789,3.0,1359776.0147838797,402616.04685083666,204539.94729684482,10.132055282592773
Apartment Block_AB_3_Before1945,Apartment Block,1900,183606.50420882372,4.0,2360051.5582986847,734426.0168352949,401343.2886698768,12.853855959342782
Apartment Block_AB_0_1945to1969,Apartment Block,1955,613378.0812384746,3.0,5395360.990093165,1840134.2437154236,1176266.4526142266,8.796142469257079
Apartment Block_AB_1_1945to1969,Apartment Block,1955,23653.833335988962,3.0,240544.8240969829,70961.50000796688,0.0,10.169380187988281
Apartment Block_AB_2_1945to1969,Apartment Block,1955,149980.94832402962,3.0,1519615.259754758,449942.8449720889,228583.25324345485,10.132055282592773
Apartment Block_AB_3_1945to1969,Apartment Block,1955,205189.12126148972,4.0,2637471.4091193085,820756.4850459589,448520.47633730184,12.853855959342782
Apartment Block_AB_0_1970to1979,Apartment Block,1975,90425.78921342683,3.0,790214.04050903,271277.3676402805,178524.3295556829,8.738812758868301
Apartment Block_AB_1_1970to1979,Apartment Block,1975,11826.653142757348,3.0,114018.27918253084,35479.95942827204,14521.87681202233,9.640789985656738
Apartment Block_AB_2_1970to1979,Apartment Block,1975,2941.069473836668,3.0,29908.85363873173,8823.208421510004,0.0,10.169380187988281
Apartment Block_AB_3_1970to1979,Apartment Block,1975,12647.097252579124,5.0,170781.30780082915,63235.48626289562,18771.463872716013,13.503597259521484
Apartment Block_AB_0_1980to1989,Apartment Block,1985,88513.44962005962,3.0,773502.4628712236,265540.34886017884,174748.8674142037,8.738812758868301
Apartment Block_AB_1_1980to1989,Apartment Block,1985,11576.541119863798,3.0,111607.00169692634,34729.623359591395,14214.765751790539,9.640789985656738
Apartment Block_AB_2_1980to1989,Apartment Block,1985,2878.871248633603,3.0,29276.336239623648,8636.61374590081,0.0,10.169380187988281
Apartment Block_AB_3_1980to1989,Apartment Block,1985,12379.634341526289,5.0,167169.59636811246,61898.171707631445,18374.48184025035,13.503597259521484
Apartment Block_AB_0_1990to2000,Apartment Block,1995,50862.372622811956,3.0,420804.7692571466,152587.11786843586,155591.06339612172,8.27340030670166
Apartment Block_AB_1_1990to2000,Apartment Block,1995,82007.9896930811,3.0,720889.7041147425,246023.96907924328,126203.57716382186,8.790481352032984
Apartment Block_AB_2_1990to2000,Apartment Block,1995,5092.673349202848,3.0,47401.59620520796,15278.020047608545,6365.935033290857,9.307802200317383
Apartment Block_AB_3_1990to2000,Apartment Block,1995,17274.523938320137,4.0,214961.99155321313,69098.09575328055,45104.608432462905,12.443873551638791
Apartment Block_AB_0_2000to2010,Apartment Block,2005,36465.10750498788,3.0,295170.93600050325,109395.32251496364,87859.53331893908,8.094613075256348
Apartment Block_AB_1_2000to2010,Apartment Block,2005,1042.1916109822632,3.0,9700.513369853028,3126.5748329467897,1302.7586167081226,9.307802200317383
Apartment Block_AB_2_2000to2010,Apartment Block,2005,33266.11294057118,3.0,321611.2374321545,99798.33882171355,49093.71489764619,9.66783338969306
