Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,SE221,1000,2076750.6721772952,1053.1,15.273280499820011,56.21175504985544
Apartment Block,SE224,900,1033553.4769010982,997.015,13.764356284767496,56.15679333878552
Apartment Block,SE224,1000,40064806.31606212,1055.78,13.004489893105848,55.5967926528838
Education,SE221,900,1205.7598107010126,997.01,14.587085879270079,56.351616926871635
Education,SE221,1000,264480.83964010095,1067.87,14.67618572612077,56.04804535426457
Education,SE221,1100,1360.9228195399046,1104.29,15.834906505504112,56.09409669848885
Education,SE224,900,163128.2616312625,985.795,13.705863549664604,56.23516234988704
Education,SE224,1000,3246081.010544801,1052.89,13.010645701298781,55.60555556472171
Health,SE221,1000,175320.45290600893,1072.93,15.604637546119827,56.18216885218695
Health,SE224,900,30209.29393724166,997.39,13.776170220072723,56.1612595435658
Health,SE224,1000,859046.405638366,1058.44,13.001231000096999,55.589562227951305
Hotels and Restaurants,SE221,900,90.75825096294284,999.98,14.488818675331588,56.28832805652941
Hotels and Restaurants,SE221,1000,58799.191732946085,1050.71,14.581656606693679,56.06407190946919
Hotels and Restaurants,SE224,900,30047.797378814546,981.51,13.720470227092092,56.29254056902272
Hotels and Restaurants,SE224,1000,1037334.5492113588,1054.22,13.197742539740641,55.69061450398507
Hotels and Restaurants,SE224,1100,39.600481271743774,1101.7,14.155444270340213,55.39011200280349
Industrial,SE221,900,33690.711766406894,997.605,14.601649450046068,56.350243249957124
Industrial,SE221,1000,2930103.242834268,1056.68,14.61294449996699,56.05983219994475
Industrial,SE224,900,4013484.9117651954,987.845,13.927441602051246,56.289830016683496
Industrial,SE224,1000,41572261.11000328,1045.04,14.315202368613157,55.92953645452557
Offices,SE221,1000,61123.25630860077,1045.01,14.85908892053024,56.17094538373481
Offices,SE224,900,59136.72865017236,992.94495,13.849388200011227,56.21533639999539
Offices,SE224,1000,2182185.435449962,1053.78,13.203861798207434,55.71291625243227
Other non-residential buildings,SE221,900,1071.3492953223176,996.21,14.587895399990453,56.35592519997822
Other non-residential buildings,SE221,1000,992793.5318960686,1051.195,14.573393852030101,56.03812673899008
Other non-residential buildings,SE221,1100,1117.7609122130089,1104.11,15.8329722050254,56.09524092006144
Other non-residential buildings,SE224,900,299175.4907970234,984.45996,13.602600399999375,56.1538751499942
Other non-residential buildings,SE224,1000,8887631.598289585,1055.41,12.97006399999734,55.58232319999374
Other non-residential buildings,SE224,1100,1892.014864847064,1100.545,14.149762300814025,55.40660510852629
Single family- Terraced houses,SE221,900,126476.72789162816,996.32,14.669866428977082,56.36674497362519
Single family- Terraced houses,SE221,1000,7400799.524969796,1054.76,15.26560594996711,56.20428094994271
Single family- Terraced houses,SE221,1100,15287.5888586191,1104.33,15.855534600002219,56.093787149992366
Single family- Terraced houses,SE224,900,9045599.530447816,990.93,13.159121733364293,56.12857342621189
Single family- Terraced houses,SE224,1000,76388963.12885536,1042.38,13.371423699989977,55.58557234997378
Single family- Terraced houses,SE224,1100,90964.0708439257,1100.85,14.109297313848971,55.3842323770097
Sport,SE221,900,453.5975802689791,997.1,14.58683585271337,56.35081296510205
Sport,SE221,1000,60698.66688390635,1045.19,15.276888460267365,56.24750795885422
Sport,SE224,900,37645.64228034532,988.83997,13.60526328082238,56.15460822757319
Sport,SE224,1000,1172846.3954259201,1054.11,13.200827110439866,55.71889287546672
Trade,SE221,900,2929.488345093094,996.12,14.57806681724148,56.35383968708122
Trade,SE221,1000,974242.8961969492,1069.465,15.609290763249094,56.19742080887573
Trade,SE221,1100,383.8342244811356,1104.14,15.836429799945583,56.09520369991334
Trade,SE224,900,796290.7294390739,996.62,13.764002044496788,56.16182147684729
Trade,SE224,1000,10352653.76551161,1052.435,13.002890276751788,55.604565596672664
Trade,SE224,1100,212.00605119019747,1101.02,14.110677906955575,55.383857843764126
