Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,297386.27377155086,3.0,2584270.9930888372,892158.8213146526,696935.8044233558,8.689947119328204
Apartment Block_AB_1_Before1945,Apartment Block,1900,84067.03200289354,3.0,836045.2446798764,252201.09600868062,158372.4301456476,9.94498348236084
Apartment Block_AB_2_Before1945,Apartment Block,1900,175463.94478249014,4.0,2018916.3520546963,701855.7791299606,409979.25478280016,11.506160736083984
Apartment Block_AB_3_Before1945,Apartment Block,1900,84657.41939863705,5.0,1374722.8165287923,423287.09699318523,193369.5748456449,16.238657241079625
Apartment Block_AB_0_1945to1969,Apartment Block,1955,251062.95450489374,3.0,2250087.9449876514,753188.8635146812,491105.53028913715,8.96224594116211
Apartment Block_AB_1_1945to1969,Apartment Block,1955,1460882.9526748536,3.0,13908149.728758736,4382648.858024561,3378586.702911532,9.52037239074707
Apartment Block_AB_2_1945to1969,Apartment Block,1955,146780.56951659292,4.0,1876475.0545297994,587122.2780663717,306199.4661736025,12.784219741821289
Apartment Block_AB_3_1945to1969,Apartment Block,1955,360393.3476130942,5.0,5532668.708948888,1801966.738065471,754280.4633630711,15.351750373840332
Apartment Block_AB_0_1970to1979,Apartment Block,1975,60408.38175257863,3.0,507069.1694656663,181225.1452577359,141620.89251467164,8.394020080566406
Apartment Block_AB_1_1970to1979,Apartment Block,1975,13803.079991150895,3.0,130501.23567801673,41409.239973452684,23990.01506445478,9.454501152038574
Apartment Block_AB_2_1970to1979,Apartment Block,1975,27982.715540743488,4.0,303941.8458471817,111930.86216297395,71592.2899050114,10.861770917287682
Apartment Block_AB_3_1970to1979,Apartment Block,1975,5865.370015684638,5.0,84584.74533065318,29326.85007842319,22699.032926196396,14.421041657127235
Apartment Block_AB_0_1980to1989,Apartment Block,1985,47489.40070774889,3.0,398626.9831549087,142468.20212324668,111333.74406162086,8.394020080566406
Apartment Block_AB_1_1980to1989,Apartment Block,1985,10851.143130860228,3.0,102592.14523165349,32553.429392580685,18859.49276123746,9.454501152038574
Apartment Block_AB_2_1980to1989,Apartment Block,1985,21998.311370898366,4.0,238940.6186778628,87993.24548359346,56281.51001974629,10.861770917287682
Apartment Block_AB_3_1980to1989,Apartment Block,1985,4610.997661134551,5.0,66495.38935213762,23054.988305672756,17844.601014568838,14.421041657127235
Apartment Block_AB_0_1990to2000,Apartment Block,1995,34659.73991103306,3.0,298004.0653516823,103979.21973309918,110722.24484707337,8.597989082336426
Apartment Block_AB_1_1990to2000,Apartment Block,1995,55516.08441195411,3.0,497548.80219024874,166548.25323586233,94668.61838758361,8.96224594116211
Apartment Block_AB_2_1990to2000,Apartment Block,1995,10732.388342118118,3.0,97903.59805232279,32197.165026354356,14197.991009109706,9.122256382403767
Apartment Block_AB_3_1990to2000,Apartment Block,1995,27513.521961205766,4.0,342604.0149467549,110054.08784482307,76224.6543668945,12.452204971425639
Apartment Block_AB_0_2000to2010,Apartment Block,2005,51924.93232705363,3.0,434507.3447850868,155774.7969811609,110036.64939742627,8.367990583951176
Apartment Block_AB_1_2000to2010,Apartment Block,2005,9730.812459206494,3.0,88645.11831535604,29192.43737761948,13248.84384025343,9.109734535217285
Apartment Block_AB_2_2000to2010,Apartment Block,2005,25476.70304524939,4.0,274207.5018472531,101906.81218099756,41555.06798446218,10.763068571323018
Apartment Block_AB_3_2000to2010,Apartment Block,2005,4939.113266038858,5.0,74743.95947038839,24695.566330194288,13091.207283783526,15.133072566755015
Apartment Block_AB_0_Post2010,Apartment Block,2020,25548.20904014848,3.0,217691.4870519508,76644.62712044544,77772.81743155976,8.520812034606934
Apartment Block_AB_1_Post2010,Apartment Block,2020,38376.71249195211,3.0,346341.43445563695,115130.13747585633,47340.6413269402,9.024781227111816
Apartment Block_AB_2_Post2010,Apartment Block,2020,7353.003848477099,3.0,70144.04506295355,22059.011545431298,13463.801314729766,9.539508819580078
Apartment Block_AB_3_Post2010,Apartment Block,2020,10920.321762060637,4.0,139841.20127150763,43681.28704824255,36717.49454101158,12.805593490600586
SFH_0_Before1945_1900,Single family- Terraced houses,1900,5278509.295856869,1.0,13686336.104385369,5278509.295856869,4540611.540833452,2.592841148376465
SFH_1_Before1945_1900,Single family- Terraced houses,1900,948288.4962330762,1.0,2579007.6049851035,948288.4962330762,715177.7417179467,2.7196445124345567
SFH_2_Before1945_1900,Single family- Terraced houses,1900,917760.3532391725,2.0,5622233.1167147355,1835520.706478345,1611767.6429668553,6.126036167144775
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,18524446.480965257,1.0,48572529.253828146,18524446.480965257,16370677.109233188,2.622077226638794
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,3211412.6348174973,1.0,8733900.749444408,3211412.6348174973,2421974.7946080263,2.7196445124345567
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3036443.869631279,2.0,18601364.96486625,6072887.739262558,5332592.50248017,6.126036167144775
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,5092561.99425981,1.0,13105885.699269533,5092561.99425981,4339206.121129406,2.573534836501178
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,943462.0495476817,1.0,2473210.7882228233,943462.0495476817,679571.0998015795,2.621420532398245
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,458647.8507080888,2.0,2635011.4567528293,917295.7014161776,761513.0080409175,5.745173454284668
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,4003462.932759881,1.0,10303051.324098727,4003462.932759881,3411220.3019084325,2.573534836501178
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,741692.5602648071,1.0,1944288.106205188,741692.5602648071,534237.5235288474,2.621420532398245
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,360561.08331513894,2.0,2071485.9645102588,721122.1666302779,598655.2748778878,5.745173454284668
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,4800131.622976053,1.0,12380495.045212667,4800131.622976053,3953247.466416636,2.5791990756988525
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,944146.7614111592,1.0,2483127.475262656,944146.7614111592,666360.9697251507,2.6300227642059326
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,515149.0543373797,2.0,2920706.636484436,1030298.1086747594,790364.6915293633,5.6696340833649606
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,5888149.3338123495,1.0,14901177.23644174,5888149.3338123495,4521142.412905118,2.5307064056396484
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,728993.301054355,1.0,2998792.2425907957,728993.301054355,831609.6602763439,4.113607406616211
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,244522.02913859542,2.0,1583037.126810065,489044.05827719084,400565.5144625206,6.474006175994873
SFH_0_Post2010_2020,Single family- Terraced houses,2020,5010641.498929932,1.0,12870318.386458041,5010641.498929932,4153064.9371527173,2.568596932988843
SFH_1_Post2010_2020,Single family- Terraced houses,2020,876613.3758520713,1.0,2275163.6929579237,876613.3758520713,615574.3867994614,2.5954015254974365
SFH_2_Post2010_2020,Single family- Terraced houses,2020,398378.3000909157,2.0,2225816.0745718842,796756.6001818314,576129.9443098318,5.587192058563232
0_Other non-residential buildings_1900,Other non-residential buildings,1900,788860.7792184481,2.0,3994626.331015338,1577721.5584368962,1498226.5397212594,5.063791275024414
0_Other non-residential buildings_1955,Other non-residential buildings,1955,2672191.829823681,2.0,13387810.373269003,5344383.659647362,6160278.982628697,5.0100483894348145
0_Other non-residential buildings_1975,Other non-residential buildings,1975,1239253.7478558177,1.0,4112200.0629436905,1239253.7478558177,1592877.3192892696,3.3182873725891113
0_Other non-residential buildings_1985,Other non-residential buildings,1985,974226.0279632863,1.0,3232761.9266382195,974226.0279632863,1252223.4017762607,3.3182873725891113
0_Other non-residential buildings_1995,Other non-residential buildings,1995,1247517.2856037712,1.0,4692630.705425628,1247517.2856037712,1906920.681325221,3.761575698852539
0_Other non-residential buildings_2005,Other non-residential buildings,2005,1527906.1437510957,1.0,5772721.34178969,1527906.1437510957,2304522.7809074535,3.778191065857837
0_Other non-residential buildings_2020,Other non-residential buildings,2020,1305711.5470905195,1.0,4456477.39096987,1305711.5470905195,1612815.986422283,3.4130642414093018
