Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,SI031,1200,169999.92887492862,1295.38,16.16841211410587,46.65790862919238
Apartment Block,SI031,1300,46347.50028476387,1301.9299,16.195415447212476,46.518041795886155
Apartment Block,SI032,1200,4637735.177567468,1282.29,15.574277967440155,46.39297263161833
Apartment Block,SI032,1300,506333.070129121,1305.32,15.873075213930095,46.4193301490208
Apartment Block,SI033,1100,1962.664686916396,1163.75,14.87138054999716,46.484210299995226
Apartment Block,SI033,1200,411249.8722719892,1266.35,14.917252838164814,46.546394384689094
Apartment Block,SI034,1100,372.1582660926506,1199.56,15.248357114415905,46.23261461627363
Apartment Block,SI034,1200,2922726.5191031066,1286.35,15.264753341290204,46.232401044030816
Apartment Block,SI035,1100,21387.19508758199,1185.79,14.99785953184634,46.12771941791142
Apartment Block,SI035,1200,638383.8130002248,1261.96,15.083311499999567,46.146118699960034
Apartment Block,SI036,1200,190053.09725384886,1298.06,15.499187299227666,45.95673786659147
Apartment Block,SI036,1300,18638.292852873914,1301.69,15.597004685934374,45.905302467973364
Apartment Block,SI037,1200,1547113.9599798904,1290.18,15.16552706203104,45.79707157846115
Apartment Block,SI038,1200,131523.27730012115,1294.41,14.362300068723998,45.79673396616525
Apartment Block,SI038,1300,182428.36913640238,1312.6951,14.217482500057752,45.774124999965984
Education,SI031,1200,103086.32542015586,1295.38,16.16992220796268,46.65754703015863
Education,SI031,1300,15439.090979733504,1301.6001,16.461112938366313,46.55392467297783
Education,SI032,1200,520352.68772676634,1283.83,15.644046486813528,46.54876342251409
Education,SI032,1300,61380.12822992122,1304.83,15.868122763015108,46.41872202455774
Education,SI033,1100,3620.5470947138965,1184.03,14.875151261858381,46.484783610061726
Education,SI033,1200,25543.763574135024,1265.47,15.075480700071878,46.513814149951024
Education,SI034,1000,430.27891074307263,1083.43,14.694887407302641,46.419553351832725
Education,SI034,1100,2703.4202672620304,1197.7051,14.80961604722134,46.297519388558605
Education,SI034,1200,261906.86206749675,1282.1,15.245746233102427,46.23617228904927
Education,SI035,1200,32372.884055969305,1258.63,15.04466478162423,46.147920247769214
Education,SI036,1200,51090.02558210958,1287.9651,15.47561682741307,45.9996571741504
Education,SI036,1300,24225.789069265127,1301.6799,15.596021607461292,45.90711808563999
Education,SI037,1200,110532.56382994144,1286.315,14.93246979813312,45.83108691447571
Education,SI038,1200,14737.808572982321,1294.17,14.364941843449005,45.791092680045544
Education,SI038,1300,23625.75146624632,1313.5701,14.211066476629187,45.775018800214255
Health,SI031,1200,4995.109268340981,1296.0,16.1884119948064,46.648358835972616
Health,SI032,1200,127842.91019968456,1285.315,15.649105944323905,46.55199473534347
Health,SI032,1300,18394.647459960543,1305.97,15.876284787251715,46.42576223209559
Health,SI033,1200,22447.62699882686,1273.49,15.082049207678534,46.507781545468305
Health,SI034,1200,2254.692983678542,1252.6799,15.020695568458736,46.40481918902219
Health,SI035,1200,7136.845569193363,1262.59,15.04698831006101,46.153384225928235
Hotels and Restaurants,SI031,1200,40793.780370032764,1295.74,16.173846430295278,46.65517165244411
Hotels and Restaurants,SI031,1300,4939.418247374822,1302.56,16.457512854796338,46.55312817573855
Hotels and Restaurants,SI032,1100,107.06604260019958,1118.995,15.358847200001135,46.502144999990314
Hotels and Restaurants,SI032,1200,188105.3419440427,1279.9651,15.630548998480384,46.561199821418185
Hotels and Restaurants,SI032,1300,12740.850316181546,1303.9,15.853594140205896,46.423427497079494
Hotels and Restaurants,SI033,1000,37.42326672933996,1081.21,14.690185449984055,46.45351334519405
Hotels and Restaurants,SI033,1100,352.3409554474056,1174.345,14.850537600016848,46.470523549994695
Hotels and Restaurants,SI033,1200,5541.905594922602,1260.39,15.164541749972512,46.60506019998911
Hotels and Restaurants,SI034,900,85.88865994662046,910.49,14.603957499994664,46.39385624997969
Hotels and Restaurants,SI034,1000,86.71323480270803,1098.88,14.655704890672562,46.35984230725021
Hotels and Restaurants,SI034,1100,108.51261033676565,1189.565,14.816113839009317,46.40422540399349
Hotels and Restaurants,SI034,1200,68305.35944893025,1255.74,14.909772573631507,46.31128185392191
Hotels and Restaurants,SI035,1200,1897.2674016300589,1263.655,14.824021338195221,46.061006811569136
Hotels and Restaurants,SI036,1200,2165.841874211561,1290.33,15.420592349109622,45.84540876028369
Hotels and Restaurants,SI036,1300,708.481166260317,1301.31,15.628107249982275,45.909203149991036
Hotels and Restaurants,SI037,1200,4645.0733679072,1279.73,14.89224131240814,45.76425854472946
Hotels and Restaurants,SI038,1200,9453.210598573089,1289.365,14.205938097328197,45.78129917729143
Hotels and Restaurants,SI038,1300,4851.340711503755,1307.615,14.218020208548634,45.77974384051873
Industrial,SI031,1200,698259.6719378128,1295.38,16.188933214870897,46.65720792256629
Industrial,SI031,1300,286397.1254166991,1303.63,16.187700404591677,46.52861584351274
Industrial,SI032,1100,4678.707519820891,1185.735,15.494996480742023,46.53279360310323
Industrial,SI032,1200,6047306.233383733,1286.995,15.661348697009855,46.500767992343874
Industrial,SI032,1300,741430.5866003534,1305.39,15.872252387670255,46.409732931138684
Industrial,SI033,1100,119729.92883435916,1147.265,14.869263438165499,46.482579002111585
Industrial,SI033,1200,1255200.2031563153,1266.45,15.025840966685326,46.56981030014211
Industrial,SI034,1100,17370.342275079805,1163.24,14.80375950050948,46.293094059087736
Industrial,SI034,1200,3689406.539092517,1285.825,15.29267295095731,46.2310495825058
Industrial,SI034,1300,40.28160802833736,1307.09,15.607114734261925,46.02373249747799
Industrial,SI035,1100,42275.476519873715,1139.62,14.995515743750397,46.123192765288245
Industrial,SI035,1200,56673.75738167018,1233.9,14.963107119465842,46.14155788893469
Industrial,SI036,1200,505203.9939583763,1296.82,15.491022628963774,45.95419869892222
Industrial,SI036,1300,351895.2019307447,1301.95,15.590559628739419,45.920031756967134
Industrial,SI037,1200,2417119.3334455956,1286.15,15.02793738849791,45.90490164904551
Industrial,SI038,1200,339847.0838576433,1295.58,14.341232337308298,45.79388912236894
Industrial,SI038,1300,661993.6484215554,1330.53,14.137886951827367,45.67001282290489
Offices,SI031,1200,29761.746129463892,1295.305,16.164221797431633,46.66086865120973
Offices,SI031,1300,4280.4300522096455,1301.56,16.05338294835293,46.516687238208
Offices,SI032,1200,324272.00143939024,1285.15,15.648525170002674,46.551130595717105
Offices,SI032,1300,21650.262219280005,1305.24,16.033838433186578,46.40273275804343
Offices,SI033,1100,1243.4048370093806,1184.03,14.852410239875802,46.4698999958879
Offices,SI033,1200,4928.545049065724,1262.855,15.08020409956748,46.514261799780236
Offices,SI034,1100,252.70631398400292,1174.03,15.00100645003103,46.389866499985736
Offices,SI034,1200,49195.875175195746,1281.45,15.254263998815773,46.23492236369794
Offices,SI035,1100,48.55602708412334,1113.81,15.055605226953828,46.12495695475882
Offices,SI035,1200,12634.10774834454,1251.655,15.044140706703658,46.15024355350627
Offices,SI036,1200,2526.448628836777,1298.4651,15.483201815196265,45.9493877003546
Offices,SI036,1300,3932.444128195755,1301.22,15.630355397113213,45.88903418042033
Offices,SI037,1200,15516.126896116417,1284.0,14.963561033150464,45.618103648621315
Offices,SI038,1200,1400.0030265133828,1297.525,14.359797046005635,45.79231366335137
Offices,SI038,1300,9286.051859923871,1313.98,14.211574873431767,45.77422193013823
Other non-residential buildings,SI031,1200,4041375.797146003,1294.88,16.33809158945512,46.613557329586015
Other non-residential buildings,SI031,1300,1032914.7461226967,1301.85,16.502052939198048,46.539136368615054
Other non-residential buildings,SI032,1100,4378.42604034394,1188.44,15.442680003447038,46.40252237887383
Other non-residential buildings,SI032,1200,2126521.6994543285,1287.0,15.65715518606825,46.54176847863629
Other non-residential buildings,SI032,1300,1969555.726933022,1305.55,15.942528068054024,46.3487579452692
Other non-residential buildings,SI033,1100,11383.741571940714,1180.46,15.061545986904935,46.62942301904587
Other non-residential buildings,SI033,1200,388934.0701997818,1260.05,15.104044308453606,46.59807788127387
Other non-residential buildings,SI034,800,141.57935387874022,884.115,14.598670574277694,46.36969634664261
Other non-residential buildings,SI034,900,377.55657004751265,923.28503,14.633873771277159,46.3783781432619
Other non-residential buildings,SI034,1000,2285.1994018889964,1050.02,14.67377490711278,46.419452864163354
Other non-residential buildings,SI034,1100,30271.63652721158,1175.59,15.280594865071253,46.365202445893445
Other non-residential buildings,SI034,1200,1491364.7674156823,1283.17,15.417449517305613,46.20265075210666
Other non-residential buildings,SI035,1100,11551.657507699449,1180.655,14.818371699934477,46.05751104991291
Other non-residential buildings,SI035,1200,370006.77774541394,1264.91,14.793864149998287,46.09848719999506
Other non-residential buildings,SI036,1100,224.81832652539015,1174.34,15.710012654058541,46.05893668991529
Other non-residential buildings,SI036,1200,403398.5361172067,1285.6951,15.412424287260404,46.02797374141547
Other non-residential buildings,SI036,1300,64912.98516450683,1301.95,15.621463449475305,45.90287811634439
Other non-residential buildings,SI037,1000,149.12158705294132,1091.675,15.015536399997606,45.495569999991396
Other non-residential buildings,SI037,1100,193.14001041837037,1177.21,14.795788511776545,45.504000206863225
Other non-residential buildings,SI037,1200,879595.5687371967,1286.83,15.313291888711868,45.648223494429715
Other non-residential buildings,SI038,1200,142100.03173925122,1294.07,14.3598580499858,45.77712649998147
Other non-residential buildings,SI038,1300,230967.04508004477,1319.675,14.194941006312622,45.75008267650679
Single family- Terraced houses,SI031,1200,9198088.217487525,1294.145,16.240955150319916,46.497978253685375
Single family- Terraced houses,SI031,1300,2362948.8287457624,1302.25,16.234303331057856,46.509720950850735
Single family- Terraced houses,SI032,1000,863.5078647045884,1084.54,15.465974241497362,46.53245867092446
Single family- Terraced houses,SI032,1100,67959.1804895273,1171.36,15.479995784057923,46.56317186722494
Single family- Terraced houses,SI032,1200,11681219.412434356,1285.61,15.743122711549315,46.28352264496166
Single family- Terraced houses,SI032,1300,7828850.138567782,1304.74,15.892223464426964,46.338924527667565
Single family- Terraced houses,SI033,1000,4607.912418793887,1083.3,14.786798526021128,46.4589241049644
Single family- Terraced houses,SI033,1100,245684.50258505257,1174.56,14.892658365488648,46.479033070699806
Single family- Terraced houses,SI033,1200,3260963.3367455704,1257.54,15.020325391572095,46.50422573220972
Single family- Terraced houses,SI034,800,156.5919089037925,880.115,14.598668134572515,46.369651575639416
Single family- Terraced houses,SI034,900,4076.0717739667743,994.14,14.631036199931861,46.39247694990158
Single family- Terraced houses,SI034,1000,48975.707227258245,1076.8,14.691891299996795,46.419942949979465
Single family- Terraced houses,SI034,1100,594791.5454109707,1176.13,14.74491464998502,46.354303549985666
Single family- Terraced houses,SI034,1200,12432413.132887168,1276.39,15.589759559480234,46.04074744729969
Single family- Terraced houses,SI034,1300,14565.82870832039,1301.77,15.598907449991945,46.01513934998172
Single family- Terraced houses,SI035,1000,4496.69048624672,1088.36,14.999333507472302,46.11284373765265
