Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,SK010,1200,17979421.261895146,1234.91,17.09695696848877,48.14477435008049
Education,SK010,1100,8821.736922577024,1199.0,17.22834366169658,48.46918811675391
Education,SK010,1200,2228784.329129896,1236.95,17.169140157447874,48.17109074498945
Health,SK010,1200,538926.1787370637,1233.63,17.03128077390707,48.20811218573198
Hotels and Restaurants,SK010,1100,2171.503263633698,1194.11,17.254310284708616,48.48406798009343
Hotels and Restaurants,SK010,1200,499302.7843791738,1252.8,17.13542547766855,48.08259210953648
Industrial,SK010,1100,123422.00003810867,1198.99,17.193157970724805,48.45719185601559
Industrial,SK010,1200,13789227.536827872,1234.16,17.152237709794964,48.1712621768688
Offices,SK010,1100,2599.0306619163603,1198.3,17.230174488006455,48.4669504961451
Offices,SK010,1200,3417683.0042162538,1237.105,17.111705784150878,48.150071507587235
Other non-residential buildings,SK010,1100,42424.60804897081,1198.5,17.142345012345032,48.33636956047619
Other non-residential buildings,SK010,1200,7518510.976388657,1234.92,17.049206143089524,48.15085291697883
Single family- Terraced houses,SK010,1100,522143.3543578752,1197.58,17.23449004507994,48.46179426984287
Single family- Terraced houses,SK010,1200,24707967.16675564,1234.43,17.040475872889438,48.15401309483487
Sport,SK010,1100,554.3323750346899,1199.71,17.137062770054182,48.52492845598011
Sport,SK010,1200,401980.3672589073,1237.35,17.12744344433493,48.155415468365796
Trade,SK010,1100,4217.4722730466165,1197.97,17.231477038792207,48.46537781703949
Trade,SK010,1200,5236634.202428606,1234.185,17.17460665796816,48.18176225140426
