Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1140714.9870854933,3.0,9558634.115202535,3422144.96125648,2877376.9519779873,8.379511291970204
Apartment Block_AB_1_Before1945,Apartment Block,1900,584400.8236448477,3.0,5700044.826303957,1753202.470934543,1153371.1082343522,9.753656387329102
Apartment Block_AB_2_Before1945,Apartment Block,1900,1279163.1715536793,3.0,13319177.038959404,3837489.514661038,2736680.4349266775,10.412414409009175
Apartment Block_AB_3_Before1945,Apartment Block,1900,300374.5368528972,5.0,4841653.638852867,1501872.684264486,955192.5991981727,16.11872194487636
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1017271.9636848344,3.0,8524241.906701773,3051815.891054503,2566000.2150745434,8.379511291970204
Apartment Block_AB_1_1945to1969,Apartment Block,1955,521159.606193263,3.0,5083211.721764839,1563478.818579789,1028558.4965694663,9.753656387329102
Apartment Block_AB_2_1945to1969,Apartment Block,1955,1140737.9109872312,3.0,11877835.861266471,3422213.7329616933,2440529.2395856623,10.412414409009175
Apartment Block_AB_3_1945to1969,Apartment Block,1955,267869.3612380569,5.0,4317711.751347881,1339346.8061902844,851825.9706275961,16.11872194487636
Apartment Block_AB_0_1970to1979,Apartment Block,1975,98815.70489642791,3.0,825224.6503235762,296447.1146892837,266336.93602683913,8.351148748961737
Apartment Block_AB_1_1970to1979,Apartment Block,1975,42830.65420407322,3.0,407580.9441383592,128491.96261221965,80447.17438820197,9.516103634475844
Apartment Block_AB_2_1970to1979,Apartment Block,1975,104242.0945197358,3.0,1088162.301137592,312726.2835592074,201314.8737609879,10.438799279225668
Apartment Block_AB_3_1970to1979,Apartment Block,1975,22508.13115508549,5.0,347160.1310928025,112540.65577542745,72161.40184595269,15.423765247358846
Apartment Block_AB_0_1980to1989,Apartment Block,1985,122347.90446158766,3.0,1021745.5492824779,367043.713384763,329763.02742320107,8.351148748961737
Apartment Block_AB_1_1980to1989,Apartment Block,1985,53030.44484760517,3.0,504643.2089521663,159091.33454281552,99605.04979009884,9.516103634475844
Apartment Block_AB_2_1980to1989,Apartment Block,1985,129066.54700833351,3.0,1347299.7778827376,387199.64102500054,249256.4614847603,10.438799279225668
Apartment Block_AB_3_1980to1989,Apartment Block,1985,27868.269351088064,5.0,429833.6443213477,139341.34675544032,89346.08429010972,15.423765247358846
Apartment Block_AB_0_1990to2000,Apartment Block,1995,199125.74298418546,3.0,1663200.9094407228,597377.2289525564,506552.40421406034,8.35251577478264
Apartment Block_AB_1_1990to2000,Apartment Block,1995,76488.20268297415,3.0,715054.7234534565,229464.60804892244,159371.58337013173,9.348562240600586
Apartment Block_AB_2_1990to2000,Apartment Block,1995,111649.42677543586,4.0,1207954.1263821195,446597.70710174344,261681.90119861343,10.819169979365117
Apartment Block_AB_3_1990to2000,Apartment Block,1995,33544.518678290115,5.0,532522.6642978912,167722.59339145056,84277.04322270077,15.875102260523352
Apartment Block_AB_0_2000to2010,Apartment Block,2005,50129.080209292566,3.0,418365.8634468423,150387.2406278777,160989.19223660903,8.345771789550781
Apartment Block_AB_1_2000to2010,Apartment Block,2005,24129.585304686992,3.0,218912.20078272637,72388.75591406098,49164.289351312524,9.072356529069909
Apartment Block_AB_2_2000to2010,Apartment Block,2005,83343.16983197157,3.0,774183.0991749152,250029.5094959147,157052.87481591932,9.289100723379592
Apartment Block_AB_3_2000to2010,Apartment Block,2005,17406.036831350175,5.0,247055.94593343607,87030.18415675087,51196.4554522048,14.193693161010742
Apartment Block_AB_0_Post2010,Apartment Block,2020,65190.99680231028,3.0,544069.1820454163,195572.99040693082,207613.52257606326,8.345771789550781
Apartment Block_AB_1_Post2010,Apartment Block,2020,106875.14197425848,3.0,990979.5125762749,320625.42592277547,204936.91275717277,9.272310607222007
Apartment Block_AB_2_Post2010,Apartment Block,2020,28377.880681991202,3.0,271216.85530074715,85133.64204597361,69912.74875622832,9.557332992553711
Apartment Block_AB_3_Post2010,Apartment Block,2020,21612.45638128772,5.0,306760.5743317265,108062.2819064386,63568.81644329412,14.193693161010742
SFH_0_Before1945_1900,Single family- Terraced houses,1900,16433359.380388282,1.0,44667158.75818001,16433359.380388282,17406206.24910286,2.718078374862671
SFH_1_Before1945_1900,Single family- Terraced houses,1900,1390239.0228690365,2.0,7542279.582555131,2780478.045738073,2069839.106575236,5.425167513274176
SFH_2_Before1945_1900,Single family- Terraced houses,1900,5824348.660026109,2.0,33651822.832726404,11648697.320052218,11678892.72063349,5.777783027257086
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,14655015.456173081,1.0,39833480.59470225,14655015.456173081,15522585.231012683,2.718078374862671
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,1239793.6353923576,2.0,6726088.153894708,2479587.270784715,1845850.4677291887,5.425167513274176
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,5194063.956070242,2.0,30010174.56787044,10388127.912140485,10415055.702860622,5.777783027257086
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,4528773.979294878,1.0,12082544.537380256,4528773.979294878,4611538.444202957,2.667950441470582
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,501038.484336652,1.0,1862673.5470204027,501038.484336652,593540.9578255311,3.7176257019188506
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,923556.7784612762,2.0,5095861.414803292,1847113.5569225524,1751029.0533484283,5.517648220062256
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,5607266.645799372,1.0,14959909.523103707,5607266.645799372,5709740.831011141,2.667950441470582
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,620356.9430330032,1.0,2306254.915783301,620356.9430330032,734888.168618452,3.7176257019188506
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,1143494.7169021973,2.0,6309401.589366002,2286989.4338043947,2168023.14523875,5.517648220062256
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,6531491.88264828,1.0,17456377.618103758,6531491.88264828,6452253.112308157,2.6726478317272035
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,747484.3903506723,1.0,2821587.593691267,747484.3903506723,812645.5594914189,3.7747779486974395
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,1417076.8906798342,2.0,7894277.07590503,2834153.7813596684,2537348.7146467404,5.570817736021224
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,7025843.6259746365,1.0,18619382.452904496,7025843.6259746365,6926014.047974855,2.650127649307251
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,762141.6971138766,1.0,2489910.7158467895,762141.6971138766,784280.8626987819,3.2669918537139893
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,1218679.3658050217,2.0,6512676.715705169,2437358.7316100434,2055250.0360474999,5.344044461935316
SFH_0_Post2010_2020,Single family- Terraced houses,2020,9950286.988244245,1.0,26355730.803367134,9950286.988244245,9965488.834876059,2.648740768432617
SFH_1_Post2010_2020,Single family- Terraced houses,2020,1110844.077219097,1.0,3493577.0576962754,1110844.077219097,1126550.2294376094,3.144975185394287
SFH_2_Post2010_2020,Single family- Terraced houses,2020,1709334.6948228276,2.0,9118528.786725242,3418669.389645655,3176855.6130659194,5.334548473358154
0_Offices_1900,Offices,1900,244409.43094052898,3.0,2039390.2629823934,733228.292821587,534614.4316981484,8.344155359040252
0_Offices_1955,Offices,1955,217960.54629843368,3.0,1818696.6604554164,653881.638895301,476760.8727026108,8.344155359040252
0_Offices_1975,Offices,1975,42766.895320932614,2.0,286785.1886296916,85533.79064186523,87384.98153521054,6.705775260925293
0_Offices_1985,Offices,1985,52951.502277178326,2.0,355080.8739991317,105903.00455435665,108195.0423108708,6.705775260925293
0_Offices_1995,Offices,1995,57824.75360120562,2.0,385095.75490614004,115649.50720241125,107359.89452198643,6.659704208374023
0_Offices_2005,Offices,2005,44865.380788271024,2.0,284003.78296094615,89730.76157654205,81174.26836288371,6.330132007598877
0_Offices_2020,Offices,2020,71936.33422285228,2.0,400255.077257553,143872.66844570456,63076.99672331388,5.564018261169645
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,38068.06625169796,3.0,294586.7850221857,114204.19875509386,91511.68652066149,7.7384226210609315
