Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,17274189.65165345,4.0,209897694.90982792,69096758.6066138,73530806.54120222,12.150943062601893
Apartment Block_AB_1_Before1945,Apartment Block,1900,5582773.806823945,5.0,79384201.9287692,27913869.03411972,15274533.307844289,14.219491004943848
Apartment Block_AB_2_Before1945,Apartment Block,1900,15287889.045857605,5.0,229595561.8695466,76439445.22928803,50898374.51331646,15.018133712303312
Apartment Block_AB_3_Before1945,Apartment Block,1900,3299317.571994241,8.0,75927071.03632116,26394540.575953927,18242039.791123837,23.012962341308594
Apartment Block_AB_0_1945to1969,Apartment Block,1955,17703014.95509638,4.0,215409658.94254094,70812059.82038552,76053842.5098765,12.167964580548942
Apartment Block_AB_1_1945to1969,Apartment Block,1955,5843300.348254522,5.0,83088756.74119043,29216501.741272613,15987336.919875769,14.219491004943848
Apartment Block_AB_2_1945to1969,Apartment Block,1955,16097058.736183474,5.0,239838385.89338958,80485293.68091737,53572770.91410079,14.899516105651855
Apartment Block_AB_3_1945to1969,Apartment Block,1955,3548715.984726708,8.0,81176343.4281755,28389727.877813663,18903683.518978406,22.874849319458008
Apartment Block_AB_0_1970to1979,Apartment Block,1975,796344.0709658213,4.0,8636814.928532517,3185376.283863285,2861080.9861032553,10.845582008361816
Apartment Block_AB_1_1970to1979,Apartment Block,1975,121871.05043690883,4.0,1549924.4563868577,487484.2017476353,301191.7962181275,12.717741012573242
Apartment Block_AB_2_1970to1979,Apartment Block,1975,580640.3500964243,5.0,7953321.897106554,2903201.750482122,1546569.5804295829,13.697501208425804
Apartment Block_AB_3_1970to1979,Apartment Block,1975,107426.67934514947,8.0,2436540.9185925378,859413.4347611958,395098.11135888344,22.680966529405737
Apartment Block_AB_0_1980to1989,Apartment Block,1985,785063.2421772333,4.0,8514467.774783598,3140252.9687089333,2820551.5642977147,10.845582008361816
Apartment Block_AB_1_1980to1989,Apartment Block,1985,120144.65288541235,4.0,1527968.5794421847,480578.6115416494,296925.18181168986,12.717741012573242
Apartment Block_AB_2_1980to1989,Apartment Block,1985,572415.1311037855,5.0,7840656.950015317,2862075.655518927,1524661.2278938445,13.697501208425804
Apartment Block_AB_3_1980to1989,Apartment Block,1985,105904.89746567946,8.0,2402025.434719222,847239.1797254357,389501.2414738243,22.680966529405737
Apartment Block_AB_0_1990to2000,Apartment Block,1995,5875553.621694336,4.0,65240085.91505012,23502214.486777343,23531851.01324113,11.103649139404299
Apartment Block_AB_1_1990to2000,Apartment Block,1995,5504939.3857215,4.0,66927037.04058932,22019757.542886,13991528.402864704,12.157633781433105
Apartment Block_AB_2_1990to2000,Apartment Block,1995,2210070.130868372,6.0,40126128.8289039,13260420.785210233,7590031.928901161,18.15604322616572
Apartment Block_AB_3_1990to2000,Apartment Block,1995,445355.0802430304,9.0,12401630.536069408,4008195.7221872737,2139506.3644543844,27.84661293029785
Apartment Block_AB_0_2000to2010,Apartment Block,2005,2697171.317029115,4.0,29317045.53484709,10788685.26811646,6991045.091492738,10.869552612304688
Apartment Block_AB_1_2000to2010,Apartment Block,2005,123475.68145303559,4.0,1627061.4337202776,493902.72581214237,157974.76906744423,13.177181243896484
Apartment Block_AB_2_2000to2010,Apartment Block,2005,829725.4100973322,6.0,15095163.392739695,4978352.460583993,2767649.836937952,18.192962646484375
Apartment Block_AB_3_2000to2010,Apartment Block,2005,125807.25782642425,11.0,3982496.7410796913,1383879.8360906667,484042.2676251527,31.655540466308594
Apartment Block_AB_0_Post2010,Apartment Block,2020,3075057.419708951,3.0,31930376.75433526,9225172.259126853,7449255.3821659,10.38366846410218
Apartment Block_AB_1_Post2010,Apartment Block,2020,767391.3100254475,6.0,12822987.956546124,4604347.860152685,2071203.8865168842,16.709842539291852
Apartment Block_AB_2_Post2010,Apartment Block,2020,75953.99791488182,6.0,1336053.434750068,455723.98748929094,60241.60381867125,17.59029769897461
Apartment Block_AB_3_Post2010,Apartment Block,2020,130459.84240069,10.0,3767464.1525207,1304598.4240069,550435.00576204,28.87834358215332
SFH_0_Before1945_1900,Single family- Terraced houses,1900,1492826.4673811973,1.0,4231624.763300348,1492826.4673811973,1381392.8499193445,2.8346394277988045
SFH_1_Before1945_1900,Single family- Terraced houses,1900,158345.16512671433,2.0,916186.5243771884,316690.33025342866,188011.8733978222,5.786008834838867
SFH_2_Before1945_1900,Single family- Terraced houses,1900,1286373.8231958135,2.0,8044738.614553045,2572747.646391627,2184358.9073076937,6.253810882568359
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,3255847.8501711586,1.0,10117525.55046286,3255847.8501711586,2933070.124328777,3.1074933522864057
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,172592.9026697706,2.0,957449.4393565013,345185.8053395412,211176.9471834712,5.547443866729736
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,1355252.7998741441,2.0,8635015.853298908,2710505.5997482883,2208903.790417971,6.371516704559327
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,526053.4679809932,1.0,1496880.2477105523,526053.4679809932,497937.32832368725,2.8454906940460205
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,42437.16168942257,2.0,230455.6553891873,84874.32337884515,51081.447522874085,5.430515289306641
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,374311.8326604588,2.0,2284763.2282132274,748623.6653209176,645078.4299442957,6.103903293609619
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,518601.5143314366,1.0,1475675.7829482767,518601.5143314366,490883.6615067122,2.8454906940460205
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,41836.0065195079,2.0,227191.07304771995,83672.0130390158,50357.83936807247,5.430515289306641
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,369009.4164665842,2.0,2252397.792543347,738018.8329331684,635940.3957845297,6.103903293609619
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,1956166.552749427,1.0,6021078.9908696525,1956166.552749427,2045549.0964005825,3.077999152171843
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,172717.9643673538,2.0,947550.8584969359,345435.9287347076,198852.55048655954,5.486116409301758
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,2036999.5397649284,2.0,13399082.97546817,4073999.079529857,3803112.242359216,6.577852725982666
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,1886172.7040024404,1.0,5047193.316392135,1886172.7040024404,1501508.0809342256,2.675891399383545
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,785501.0432106103,2.0,3805002.1537120533,1571002.0864212206,1009223.6705282306,4.8440446853637695
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,823381.6907857977,2.0,5687928.958665083,1646763.3815715953,1318763.0874730563,6.908010005950928
SFH_0_Post2010_2020,Single family- Terraced houses,2020,2703688.923537028,1.0,7551234.873902766,2703688.923537028,2095622.4493961649,2.792937755584717
SFH_1_Post2010_2020,Single family- Terraced houses,2020,403492.29290573724,2.0,2425907.1145135555,806984.5858114745,11544.727576867323,6.01227621237437
SFH_2_Post2010_2020,Single family- Terraced houses,2020,1504410.4069312403,2.0,9099504.630252901,3008820.8138624807,2117119.0193996923,6.0485520362854
0_Trade_1900,Trade,1900,2754494.982601466,6.0,46513903.97529334,16526969.895608796,7453893.499201038,16.886545181274414
0_Trade_1955,Trade,1955,2890347.06540132,6.0,48642626.17407609,17342082.39240792,8684940.370460661,16.829337471734434
0_Trade_1975,Trade,1975,139911.80644766145,5.0,2147873.052818757,699559.0322383073,297990.56188846956,15.351621191612864
0_Trade_1985,Trade,1985,137929.84765424204,5.0,2117446.772204796,689649.2382712102,293769.2954386522,15.351621191612864
0_Trade_1995,Trade,1995,924841.651383165,5.0,15139597.805992166,4624208.256915825,2042983.4122053853,16.369935094672524
0_Trade_2005,Trade,2005,426405.7047699881,5.0,6556292.303364873,2132028.5238499404,582521.6477768562,15.375714325636123
0_Trade_2020,Trade,2020,469500.3973705665,5.0,6932122.106682476,2347501.9868528326,1207082.7563942426,14.764890819061653
0_Other non-residential buildings_1900,Other non-residential buildings,1900,1873984.134141796,5.0,27042467.34112435,9369920.67070898,5521532.333317825,14.43046760559082
