Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,TR831,1300,8536208.474347033,1387.76,36.26517080313709,41.33073432261595
Apartment Block,TR831,1400,1219860.7969585157,1428.93,35.911829402717046,41.57113353088232
Apartment Block,TR831,1500,4534.819642458111,1500.44,35.66853149962903,40.9675567498294
Apartment Block,TR832,1400,1665286.3854197843,1462.905,36.56416067044588,40.67101169187182
Apartment Block,TR832,1500,3854677.8286249703,1556.72,36.07736580699789,40.38124082788306
Apartment Block,TR833,1500,5859540.549970197,1594.59,34.94894644997066,40.5378526999318
Apartment Block,TR833,1600,1968658.7090400332,1653.62,34.37245548342771,40.15141267570553
Apartment Block,TR834,1400,195290.1812384487,1486.39,35.849118570754385,40.66147983330786
Apartment Block,TR834,1500,3177876.3849053327,1538.295,35.84170974607272,40.662102779046705
Education,TR831,1200,702.3042222857475,1275.24,36.814314289743706,41.035301734856816
Education,TR831,1300,218634.49142797198,1372.335,36.46419656391024,41.21843663112161
Education,TR831,1400,25828.211348395795,1484.34,35.897605812335144,40.9332725614839
Education,TR832,1400,46462.47895843722,1463.41,36.56745147120736,40.671089627307204
Education,TR832,1500,173361.4253874775,1534.53,36.553016191855036,40.33721913830164
Education,TR833,1500,270696.67326036096,1590.495,34.95201087451128,40.558009966037766
Education,TR833,1600,61788.759732751176,1652.5149,34.39528802794833,40.17082515839485
Education,TR834,1400,3726.6899090074003,1472.95,36.312259039231485,40.762726603183275
Education,TR834,1500,180196.0936717349,1541.72,35.84125754544294,40.66325065554221
Health,TR831,1300,136615.92195825838,1389.0549,36.300579781276035,41.271066679781114
Health,TR831,1400,13090.212258648127,1452.705,35.49118363205685,41.117167519636546
Health,TR832,1400,8175.199288953096,1459.77,36.52706519462674,40.67786495290639
Health,TR832,1500,107531.62715292582,1514.765,36.554246299650345,40.30250647294916
Health,TR833,1500,127488.680734233,1590.535,34.927677842812706,40.534042759881245
Health,TR833,1600,4036.9617798253894,1615.075,34.857344020951004,40.17563811722026
Health,TR834,1400,12114.311827465892,1497.38,35.83207045407215,40.6485576495638
Health,TR834,1500,43256.74178437516,1551.625,35.806655294062786,40.65945551316457
Hotels and Restaurants,TR831,1300,72707.52117292909,1378.2549,36.24191994990203,41.35214114997737
Hotels and Restaurants,TR831,1400,2446.2310468405485,1402.105,36.11531579995723,41.51103374995258
Hotels and Restaurants,TR832,1400,14695.573638487607,1460.42,36.55345348438748,40.670765271994995
Hotels and Restaurants,TR832,1500,30766.764323413372,1538.675,36.48320421747491,40.32647204845267
Hotels and Restaurants,TR833,1500,15607.491470605135,1587.2,34.93224264367388,40.56707020677889
Hotels and Restaurants,TR833,1600,3294.035140639171,1633.13,34.403254929719736,40.1755110756938
Hotels and Restaurants,TR834,1400,447.510561125353,1485.94,35.85404664775844,40.66180755113935
Hotels and Restaurants,TR834,1500,33368.60297730705,1528.15,35.836284080729286,40.65529432449087
Industrial,TR831,1200,8543.607699215412,1292.22,36.675757044598626,41.07760609876302
Industrial,TR831,1300,1249430.0698041818,1372.63,36.44076210831899,41.235810784656344
Industrial,TR831,1400,468054.31648315163,1482.3049,35.90022004661469,40.92382396134973
Industrial,TR832,1300,1893.6323528457433,1366.27,36.928059999797725,40.73316654984301
Industrial,TR832,1400,682551.0792684846,1463.96,36.54416760166646,40.68205664957317
Industrial,TR832,1500,645431.5505352456,1555.375,36.07968379998303,40.388818949980276
Industrial,TR833,1400,3991.173282464966,1497.53,34.791244105938745,40.76840240697888
Industrial,TR833,1500,1096819.1374643017,1596.17,34.8705369337273,40.48971956307195
Industrial,TR833,1600,59027.28026132658,1651.71,34.41167430049051,40.17673201685117
Industrial,TR834,1200,709.8153488226235,1292.72,36.348292271584405,40.893778225535186
Industrial,TR834,1300,945.4159739464521,1328.12,36.01490739991692,40.74301754996176
Industrial,TR834,1400,3065.2827987633646,1445.51,36.15378389999143,40.72715784997899
Industrial,TR834,1500,1219134.5339736524,1559.4,35.4666528757082,40.85214725184965
Offices,TR831,1200,651.7916795611382,1256.63,36.81433769998968,41.03512859998957
Offices,TR831,1300,68184.06172859343,1393.36,36.310511630241756,41.323930037446054
Offices,TR831,1400,1578.832143343985,1414.1951,35.903650381714975,41.568602002798706
Offices,TR832,1400,11424.740813151002,1465.32,36.93693099987572,40.59235594980564
Offices,TR832,1500,30678.187715299428,1547.3,36.057328982607515,40.3811270384725
Offices,TR832,1600,12951.333648502827,1606.8,36.46938429412161,40.10002853293477
Offices,TR833,1500,7798.659021866508,1567.8999,34.795579410541094,40.96693567234367
Offices,TR833,1600,7316.01295787096,1653.255,34.276576575922775,40.151756450601106
Offices,TR834,1400,312.21024250239134,1484.8999,35.826596560950236,40.64530987552631
Offices,TR834,1500,33064.306525608525,1540.225,35.80269225525561,40.70577192924237
Other non-residential buildings,TR831,1100,211.9512731283903,1193.0,36.826761525309024,41.023109892684815
Other non-residential buildings,TR831,1200,82625.81095590442,1276.115,36.85453864422538,40.9743359978812
Other non-residential buildings,TR831,1300,1025418.0396137256,1371.51,35.89520958152509,41.41023954304526
Other non-residential buildings,TR831,1400,390682.51348679117,1439.42,35.91760814998731,41.60196794997898
Other non-residential buildings,TR831,1500,13996.035940965638,1505.99,35.807754273191485,40.9475894611917
Other non-residential buildings,TR832,1300,2568.563437756151,1370.97,37.02636719997705,40.71513144997935
Other non-residential buildings,TR832,1400,163729.26383227436,1466.13,36.95140789997372,40.58980244996363
Other non-residential buildings,TR832,1500,522236.8400503113,1562.52,36.09722652342725,40.37858471075795
Other non-residential buildings,TR832,1600,44319.26629753411,1609.69,36.170540900215876,40.10050568081196
Other non-residential buildings,TR833,1300,159.69205528125167,1369.91,34.85966584999055,41.19970694997395
Other non-residential buildings,TR833,1400,4394.906858168542,1467.39,34.51549214997312,41.2104700999685
Other non-residential buildings,TR833,1500,361507.8165889126,1574.2051,35.17101567672989,40.402288933893615
Other non-residential buildings,TR833,1600,176884.59116715007,1632.7051,34.494002042326166,40.238882775052836
Other non-residential buildings,TR834,1300,18143.34789616242,1375.87,36.26827344359131,40.929211121325054
Other non-residential buildings,TR834,1400,103489.44552236143,1472.0701,36.193107472522314,40.71512625751583
Other non-residential buildings,TR834,1500,618590.7261245204,1555.51,36.15047183436041,40.54413837407809
Other non-residential buildings,TR834,1600,235.83037558943033,1612.22,35.40319119280549,40.26248317063698
Single family- Terraced houses,TR831,1000,168.37841918878257,1073.835,36.81363442534274,41.00206801193717
Single family- Terraced houses,TR831,1100,36.017679303884506,1151.18,36.88822468397266,41.04698085327328
Single family- Terraced houses,TR831,1200,101627.35753196385,1276.47,36.024865049990694,41.32545029999202
Single family- Terraced houses,TR831,1300,4369803.089475125,1373.35,36.45486607813921,41.23139422497892
Single family- Terraced houses,TR831,1400,2502722.7434920315,1418.17,35.90684913466967,41.540412088287226
Single family- Terraced houses,TR831,1500,32909.45055178879,1502.69,35.61597234997362,41.215535699969536
Single family- Terraced houses,TR832,1300,32376.87547534611,1368.315,37.18714010766004,40.66271917306612
Single family- Terraced houses,TR832,1400,2564102.9302763995,1465.22,36.52637764999959,40.687860899995414
Single family- Terraced houses,TR832,1500,3213157.9219345124,1556.13,36.161687599526275,40.374026675966775
Single family- Terraced houses,TR832,1600,24488.84801300033,1614.58,36.00916660290991,40.07267179450709
Single family- Terraced houses,TR833,1300,1406.3494745530188,1361.1,34.52696689993707,41.315793499962275
Single family- Terraced houses,TR833,1400,43416.553262087284,1476.43,34.69368843103005,41.1455209719279
Single family- Terraced houses,TR833,1500,1143614.7225035552,1586.1,34.935724949994466,40.57863424996318
Single family- Terraced houses,TR833,1600,811534.7427993346,1652.73,34.346439292978076,40.157145472677854
Single family- Terraced houses,TR834,1300,5385.225287752692,1396.895,36.27841724998625,40.672241199980334
Single family- Terraced houses,TR834,1400,196244.8794255579,1462.88,35.97995919996015,40.74321639998758
Single family- Terraced houses,TR834,1500,1503734.5573901567,1548.91,35.44635277709061,40.865277691474134
Single family- Terraced houses,TR834,1600,555.0474638454616,1610.56,35.409866438480215,40.26400481626396
Sport,TR831,1300,28587.590624740347,1394.08,36.29223391364089,41.33060182549584
Sport,TR833,1500,33269.025432273746,1592.1,34.92268349587162,40.534522494537356
Trade,TR831,1300,677881.0201806333,1394.61,36.30589239999825,41.32338549999187
Trade,TR831,1400,5500.770311662927,1425.9751,35.91620808110124,41.56398859036938
Trade,TR832,1400,19321.574778741226,1451.25,37.232540182322204,40.413575265331865
Trade,TR832,1500,67690.9737341397,1557.56,36.09617653083492,40.39823754552363
Trade,TR833,1500,54466.712042404804,1593.13,34.929254454339144,40.533429346334984
Trade,TR833,1600,6928.510266863741,1622.76,34.60688431588965,40.025153429114305
Trade,TR834,1500,47315.98997499421,1545.3,35.46001736920119,40.877816921809504
