Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,62708.47283017891,3.0,624945.7379494284,188125.41849053671,282306.2150877559,9.965889930725098
Apartment Block_AB_1_Before1945,Apartment Block,1900,82829.71396716128,4.0,880227.6456713225,331318.8558686451,188976.54445730455,10.626955032348633
Apartment Block_AB_2_Before1945,Apartment Block,1900,12619.906540055048,5.0,191644.00954140117,63099.53270027524,42239.4927156736,15.185850143432617
Apartment Block_AB_3_Before1945,Apartment Block,1900,60939.568876502875,5.0,937759.7930824056,304697.84438251436,162473.1571485522,15.38835620880127
Apartment Block_AB_0_1945to1969,Apartment Block,1955,65513.283578386785,3.0,652898.1731425828,196539.85073516035,294933.1452397362,9.965889930725098
Apartment Block_AB_1_1945to1969,Apartment Block,1955,86534.50315306969,4.0,919598.2737543025,346138.01261227875,197429.04567653284,10.626955032348633
Apartment Block_AB_2_1945to1969,Apartment Block,1955,13184.366937628156,5.0,200215.8205508488,65921.83468814078,44128.77143385589,15.185850143432617
Apartment Block_AB_3_1945to1969,Apartment Block,1955,63665.260478638505,5.0,979703.7063714069,318326.30239319254,169740.22070309974,15.38835620880127
Apartment Block_AB_0_1970to1979,Apartment Block,1975,16192.57077015806,3.0,162433.54774593352,48577.71231047418,40283.051163486685,10.031362533569336
Apartment Block_AB_1_1970to1979,Apartment Block,1975,276.0647194971806,4.0,2980.795823631371,1104.2588779887224,509.3726537724921,10.797452963422998
Apartment Block_AB_2_1970to1979,Apartment Block,1975,5611.957132462232,5.0,88436.44002569199,28059.78566231116,13252.000463705903,15.758573691543992
Apartment Block_AB_3_1970to1979,Apartment Block,1975,564.4804145405532,6.0,9518.722024306084,3386.882487243319,1460.309093200688,16.862802993888895
Apartment Block_AB_0_1980to1989,Apartment Block,1985,15963.190499537464,3.0,160132.5510932901,47889.57149861239,39712.41063280994,10.031362533569336
Apartment Block_AB_1_1980to1989,Apartment Block,1985,272.15404953835207,4.0,2938.570548695449,1088.6161981534083,502.1569967389348,10.797452963422998
Apartment Block_AB_2_1980to1989,Apartment Block,1985,5532.459425518271,5.0,87183.6695525068,27662.297127591355,13064.275642503875,15.758573691543992
Apartment Block_AB_3_1980to1989,Apartment Block,1985,556.4841135155199,6.0,9383.881975441116,3338.9046810931195,1439.6226870862608,16.862802993888895
Apartment Block_AB_0_1990to2000,Apartment Block,1995,118221.09412383991,3.0,1087962.0080267552,354663.2823715197,342590.5138675592,9.202773972698006
Apartment Block_AB_1_1990to2000,Apartment Block,1995,107337.76210819486,4.0,1370089.8985776932,429351.04843277944,272095.59290612285,12.764286041259766
Apartment Block_AB_2_1990to2000,Apartment Block,1995,13880.615744861982,5.0,220669.1144111346,69403.0787243099,43614.44558847344,15.897645930643746
Apartment Block_AB_3_1990to2000,Apartment Block,1995,32899.66393281854,6.0,586866.5681901316,197397.98359691125,119102.39483367674,17.838071823120117
Apartment Block_AB_0_2000to2010,Apartment Block,2005,46660.868367782845,3.0,418580.6953067557,139982.60510334853,176491.71741142104,8.970700930970375
Apartment Block_AB_1_2000to2010,Apartment Block,2005,106507.51068137486,3.0,1015655.58448008,319522.53204412456,193198.7377859034,9.535999649062209
Apartment Block_AB_2_2000to2010,Apartment Block,2005,41298.37551176991,5.0,600276.395717958,206491.87755884955,120430.61190963082,14.535109148467136
Apartment Block_AB_3_2000to2010,Apartment Block,2005,5849.961574450547,5.0,90434.68215314751,29249.807872252735,18797.518297653707,15.459021568298338
Apartment Block_AB_0_Post2010,Apartment Block,2020,20659.98993920458,3.0,186745.31771798202,61979.969817613746,79610.2853120423,9.03898396211764
Apartment Block_AB_1_Post2010,Apartment Block,2020,54343.251372490784,3.0,493699.00850322435,163029.75411747236,103148.32995202915,9.084826469421387
Apartment Block_AB_2_Post2010,Apartment Block,2020,23780.85886449796,5.0,335254.0913518334,118904.2943224898,65666.6726501557,14.09764438122664
Apartment Block_AB_3_Post2010,Apartment Block,2020,3016.4707737081217,5.0,45502.952555121796,15082.353868540607,8649.833428135973,15.084831237792969
SFH_0_Before1945_1900,Single family- Terraced houses,1900,262403.57372737577,1.0,675885.1407046709,262403.57372737577,182139.65403246667,2.5757467061286365
SFH_1_Before1945_1900,Single family- Terraced houses,1900,6811.837321600424,1.0,21987.130313847607,6811.837321600424,6504.539867211516,3.2277826489082666
SFH_2_Before1945_1900,Single family- Terraced houses,1900,55321.37682604795,2.0,323893.9475548115,110642.7536520959,79835.25149553454,5.854770183563232
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,408340.97472521005,1.0,1159698.1661349828,408340.97472521005,364123.1329406535,2.840023994445801
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,11079.283940816538,1.0,38777.49379285789,11079.283940816538,12767.595600899083,3.5
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,354307.7765504406,1.0,1518074.2865533752,354307.7765504406,244674.61530985008,4.28462028503418
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,78406.60550907272,1.0,200298.48653014374,78406.60550907272,56807.920863993844,2.554612398147583
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,1904.6333259546664,1.0,5464.6999038229305,1904.6333259546664,2039.797210268852,2.8691611289978027
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,8536.364240876652,2.0,49978.45083352001,17072.728481753304,12318.97731270837,5.854770183563232
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,77295.91538794269,1.0,197461.10377620492,77295.91538794269,56003.19279171078,2.554612398147583
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,1877.6527239278628,1.0,5387.288209250666,1877.6527239278628,2010.9019074325108,2.8691611289978027
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,8415.440048697306,2.0,49270.4674786769,16830.880097394613,12144.469485022006,5.854770183563232
