Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,TRA21,1600,1495132.9496478322,1676.89,43.05215202859189,39.71018615283687
Apartment Block,TRA22,1500,4732.929859936237,1595.46,42.59332229975144,40.332977399851934
Apartment Block,TRA22,1600,1420972.8268845659,1614.64,43.09507113910161,40.600245551659945
Apartment Block,TRA23,1600,1026436.5509687904,1637.61,44.04995459216627,39.92444632180295
Apartment Block,TRA24,1500,133059.01118329912,1561.92,42.69852639997972,41.11161284998263
Education,TRA21,1600,90930.83133822307,1677.48,43.04116050435823,39.718421767689236
Education,TRA21,1700,4327.580535726622,1710.03,42.856997181550874,39.24089368772627
Education,TRA22,1500,3583.0011797249317,1592.48,42.58609704977455,40.33364534970365
Education,TRA22,1600,108407.77875453513,1616.59,43.07030695000122,40.586977949992004
Education,TRA23,1500,14026.414774803445,1596.59,44.075750003953715,39.81089068257615
Education,TRA23,1600,24692.994385412894,1646.255,43.61489249998521,39.88566674998136
Education,TRA24,1400,4335.398636110127,1444.925,42.727710002763956,41.50840588974917
Education,TRA24,1500,31700.12731951475,1564.96,42.777230290404496,41.13374195188586
Health,TRA21,1600,17656.296357557178,1673.88,43.056224399180984,39.728870176598136
Health,TRA21,1700,1352.887346538715,1705.71,42.77909168121558,39.53584008472144
Health,TRA22,1500,8280.467057287693,1597.86,42.600778404183195,40.3336056246273
Health,TRA22,1600,36715.2059223121,1616.57,43.07281793735019,40.588876192549634
Health,TRA23,1500,594.357296647504,1597.0,44.07785288060631,39.8104945268591
Health,TRA23,1600,12738.614555694163,1641.72,44.07368270199465,39.938830262051916
Health,TRA24,1400,674.566801700741,1440.56,42.72856023198532,41.50358740146459
Hotels and Restaurants,TRA21,1600,8171.227917472366,1675.95,43.048797399979335,39.718666111029556
Hotels and Restaurants,TRA21,1700,22803.313778042793,1717.315,42.841319987837096,39.23912209759745
Hotels and Restaurants,TRA22,1600,9275.515036694705,1614.09,43.095548171549645,40.59832809667301
