Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,TRB21,1700,153385.70639133314,1769.52,43.98895838548471,38.65637993243876
Apartment Block,TRB21,1800,9801748.789722644,1844.11,43.368239710441735,38.48492833596495
Apartment Block,TRB22,1700,1078387.4949203222,1759.59,41.508678911486754,38.73952747181765
Apartment Block,TRB23,1700,476592.28961856756,1760.84,42.29027623897523,38.49203876672812
Apartment Block,TRB24,1800,626522.7438697806,1841.6951,44.28406142828428,37.57237114077722
Education,TRB21,1700,35061.10407262156,1757.36,44.1724253176689,38.65131891053356
Education,TRB21,1800,111619.55545823928,1821.97,43.25488092271527,38.40784627874648
Education,TRB22,1700,97048.71361562703,1759.94,41.506457279944804,38.7657141308566
Education,TRB23,1700,147282.8271696642,1767.17,42.29028090843921,38.519752079173976
Education,TRB24,1700,3387.4713401161134,1789.23,43.748434445014574,37.56550213392849
Education,TRB24,1800,28183.441657895222,1841.83,44.27021090107178,37.56625055178263
Health,TRB21,1600,694.7154291197658,1696.73,43.06154711348986,38.00797079407607
Health,TRB21,1700,6414.2530781487,1769.35,43.971673997727,38.65726720985197
Health,TRB21,1800,138814.65706298174,1833.38,43.3419855067715,38.460337742101764
Health,TRB22,1700,3103.7746407520026,1748.94,41.447673171420384,39.15652223058777
Health,TRB23,1700,23510.61286614649,1765.605,42.189526823096486,38.490814572331914
Health,TRB23,1800,1968.491658758372,1808.68,42.42433303765067,38.22702855033508
Health,TRB24,1700,2000.87890791893,1789.96,44.57274463973078,37.30591709819219
Health,TRB24,1800,19591.30147897266,1846.13,44.227084876361374,37.56744642618549
Hotels and Restaurants,TRB21,1800,8751.768071576953,1839.405,43.39909208451808,38.496976224245465
Hotels and Restaurants,TRB22,1700,7021.239973112941,1760.17,41.435451191519974,38.76865160205759
Hotels and Restaurants,TRB23,1700,3579.1314781028777,1765.55,42.31098526163573,38.53151427343006
Hotels and Restaurants,TRB23,1800,619.1069792248309,1803.61,42.516496760703596,38.75546113348132
Hotels and Restaurants,TRB24,1800,3791.6085584312677,1845.49,43.67865466234386,37.57140677475444
Industrial,TRB21,1700,12908.69784681499,1744.04,43.93612595083826,39.1383448593719
Industrial,TRB21,1800,553460.8925604168,1863.32,43.36005052199299,38.52918024364047
Industrial,TRB22,1700,16401.53261758387,1761.14,41.535244129164745,38.737717582681746
Industrial,TRB23,1700,315109.14237520006,1769.76,42.173732767350685,38.48989268837752
Industrial,TRB24,1800,371.6402633190155,1843.99,44.26046079989102,37.56585759991357
Offices,TRB21,1800,62890.473726499826,1843.99,43.313759139699975,38.65297482968337
Offices,TRB23,1700,39363.301694700494,1769.625,42.128480835999,38.42630385177096
Offices,TRB23,1800,3179.3649143502116,1800.32,42.5125698368181,38.75703813034622
Offices,TRB24,1700,1191.2286364659667,1789.1201,44.57387295004376,37.305224699942286
Offices,TRB24,1800,24543.57214125991,1834.635,44.28021943447163,37.57111270436451
Other non-residential buildings,TRB21,1600,928.2770951166749,1662.88,43.05549839997094,38.01472254997586
