Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1116220.5568139052,3.0,11443865.565457271,3348661.670441716,3104584.978804207,10.252333641052246
Apartment Block_AB_1_Before1945,Apartment Block,1900,642773.7202013058,3.0,6748369.463067416,1928321.1606039174,3647270.096470631,10.498826026916504
Apartment Block_AB_2_Before1945,Apartment Block,1900,649967.8548711964,5.0,10221064.370716037,3249839.274355982,2249514.2033903473,15.72549210566965
Apartment Block_AB_3_Before1945,Apartment Block,1900,223929.37193677243,7.0,4798170.112984553,1567505.603557407,900291.570252388,21.42715835571289
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1331094.997807169,3.0,13329232.324948234,3993284.9934215075,5507849.454633169,10.013734817504883
Apartment Block_AB_1_1945to1969,Apartment Block,1955,158844.0982769102,4.0,1989686.1515917263,635376.3931076408,422803.3568691823,12.526031329934213
Apartment Block_AB_2_1945to1969,Apartment Block,1955,724753.0181716463,5.0,10178928.106663113,3623765.0908582313,2245199.6051214035,14.044685363769531
Apartment Block_AB_3_1945to1969,Apartment Block,1955,327935.99084909714,7.0,6695126.923038847,2295551.93594368,1367814.227847867,20.415956497192383
Apartment Block_AB_0_1970to1979,Apartment Block,1975,233111.88339690937,3.0,2295622.8135696813,699335.6501907281,923790.4549512782,9.847729682922363
Apartment Block_AB_1_1970to1979,Apartment Block,1975,26491.604646346615,4.0,318424.149135236,105966.41858538646,69883.44458402837,12.019813574378892
Apartment Block_AB_2_1970to1979,Apartment Block,1975,139744.58623229215,5.0,1947575.9505069847,698722.9311614607,445350.14398551796,13.936682650944364
Apartment Block_AB_3_1970to1979,Apartment Block,1975,60208.54353305964,7.0,1229751.4170194464,421459.80473141745,236655.42829149924,20.42486572265625
Apartment Block_AB_0_1980to1989,Apartment Block,1985,229809.67353428496,3.0,2263103.5434862757,689429.0206028549,910704.2497056007,9.847729682922363
Apartment Block_AB_1_1980to1989,Apartment Block,1985,26116.3306068376,4.0,313913.42514103354,104465.3224273504,68893.4916199119,12.019813574378892
Apartment Block_AB_2_1980to1989,Apartment Block,1985,137764.99624236903,5.0,1919987.03303844,688824.9812118452,439041.41524822667,13.936682650944364
Apartment Block_AB_3_1980to1989,Apartment Block,1985,59355.643014339206,7.0,1212331.0384497978,415489.50110037444,233303.02137873284,20.42486572265625
Apartment Block_AB_0_1990to2000,Apartment Block,1995,2337736.6511808992,3.0,23143279.30249878,7013209.953542698,8469156.956660673,9.899865877025984
Apartment Block_AB_1_1990to2000,Apartment Block,1995,144158.11489588988,4.0,1545066.0907015174,576632.4595835595,333326.90000146,10.717857207118412
Apartment Block_AB_2_1990to2000,Apartment Block,1995,843192.5482084898,5.0,12757579.306281138,4215962.741042449,2955801.2406295347,15.130090195159871
Apartment Block_AB_3_1990to2000,Apartment Block,1995,360849.9765166075,7.0,7645603.0129162,2525949.8356162524,1568278.063367798,21.18776087148872
Apartment Block_AB_0_2000to2010,Apartment Block,2005,863751.643091843,3.0,8186805.845541089,2591254.929275529,3039076.572931211,9.478194236755371
Apartment Block_AB_1_2000to2010,Apartment Block,2005,1195586.3183191696,3.0,12448514.657847816,3586758.9549575085,2790720.2040112135,10.412058474664315
Apartment Block_AB_2_2000to2010,Apartment Block,2005,513605.5315850119,6.0,8898330.013794314,3081633.1895100717,1810267.302330143,17.325222308906273
Apartment Block_AB_3_2000to2010,Apartment Block,2005,246879.14336159857,8.0,5846755.836852775,1975033.1468927886,1185938.180714369,23.682664145869776
Apartment Block_AB_0_Post2010,Apartment Block,2020,1462321.150392876,3.0,13871942.506770046,4386963.451178628,4002196.7616363396,9.486248970031738
Apartment Block_AB_1_Post2010,Apartment Block,2020,77872.81254223564,3.0,747696.2429992838,233618.4376267069,134549.48000438532,9.601505565164455
Apartment Block_AB_2_Post2010,Apartment Block,2020,501803.43671636295,5.0,7930179.395201166,2509017.1835818146,1558533.23618485,15.80335807800293
Apartment Block_AB_3_Post2010,Apartment Block,2020,199565.3460856702,8.0,4532065.944275375,1596522.7686853616,892473.4987503366,22.709683986566645
SFH_0_Before1945_1900,Single family- Terraced houses,1900,3878492.9808827327,1.0,9905802.921281643,3878492.9808827327,2869076.8665349,2.5540339946746826
SFH_1_Before1945_1900,Single family- Terraced houses,1900,120593.1350387845,1.0,504569.9228897446,120593.1350387845,114949.81955857942,4.184068377751914
SFH_2_Before1945_1900,Single family- Terraced houses,1900,516232.0567112488,2.0,3071073.552197075,1032464.1134224976,900214.931999757,5.949017524719238
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,5000918.436999842,1.0,13275466.159263542,5000918.436999842,4153036.955221252,2.6546056142494856
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,137751.67666315095,1.0,576362.4343085962,137751.67666315095,131305.40450108013,4.184068377751914
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,2815966.427632634,1.0,12531843.020078192,2815966.427632634,3527634.562420819,4.4502814014773735
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,1428740.024763506,1.0,3630178.5892342445,1428740.024763506,1048614.5379321047,2.54082515105233
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,45010.859419047796,1.0,183465.38867561103,45010.859419047796,43841.95563857137,4.076025009155273
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,125850.80944042382,2.0,739737.8882611246,251701.61888084764,217888.6553432999,5.877895355224609
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,1408500.8188845539,1.0,3578754.3058996773,1408500.8188845539,1033760.1031482936,2.54082515105233
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,44373.24583310415,1.0,180866.45975312754,44373.24583310415,43220.900477432595,4.076025009155273
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,124068.03552904053,2.0,729258.9297679891,248136.07105808106,214802.09426308447,5.877895355224609
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,2006732.0687435234,1.0,5283215.310920437,2006732.0687435234,1607520.5963414076,2.6327457427978516
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,70607.03964656427,2.0,406484.093600376,141214.07929312854,91366.18294677154,5.756991025754688
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,797710.5255081354,2.0,4880495.0997476075,1595421.0510162709,1488575.9852840805,6.11812799716886
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,3751903.051487916,1.0,9920441.464740641,3751903.051487916,2830983.044775868,2.6441092236662214
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,89370.0831784569,2.0,440226.81271123496,178740.1663569138,101381.73990531024,4.9258856773376465
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,1376793.6687798388,2.0,8149502.563370897,2753587.3375596777,2223000.2865251587,5.919189453125001
SFH_0_Post2010_2020,Single family- Terraced houses,2020,4186633.17479078,1.0,11180312.823456533,4186633.17479078,3111072.3043056675,2.67047824747991
SFH_1_Post2010_2020,Single family- Terraced houses,2020,117525.86611522114,2.0,573203.9500262681,235051.73223044229,115758.2187168409,4.877257823944092
SFH_2_Post2010_2020,Single family- Terraced houses,2020,1707173.2543433919,2.0,9914703.163027598,3414346.5086867837,2471400.3926151716,5.807672500610352
0_Other non-residential buildings_1900,Other non-residential buildings,1900,246046.25645108844,3.0,1917164.4621030104,738138.7693532653,663662.0845785287,7.791886329650879
0_Other non-residential buildings_1955,Other non-residential buildings,1955,524600.0585247596,2.0,3448214.9218290425,1049200.1170495192,1124436.510306559,6.573035717010498
0_Other non-residential buildings_1975,Other non-residential buildings,1975,100802.78071249252,2.0,692483.8233582225,201605.56142498503,255005.76117730397,6.869689689744866
0_Other non-residential buildings_1985,Other non-residential buildings,1985,99374.83147284781,2.0,682674.2551891563,198749.66294569563,251393.40762709064,6.869689689744866
0_Other non-residential buildings_1995,Other non-residential buildings,1995,222589.41677864455,3.0,2024382.6407081299,667768.2503359336,564667.5712079322,9.094694033550077
