Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,TRC21,1800,4826462.81199296,1875.06,38.95355831654951,37.583869150132976
Apartment Block,TRC21,1900,36289651.758769095,1909.11,38.81651843544076,37.11757405216083
Apartment Block,TRC22,1700,604.7197915837169,1798.67,40.64995464995382,38.45064674995921
Apartment Block,TRC22,1800,17641837.513241228,1841.61,40.23000394316455,37.90752487698046
Education,TRC21,1800,199489.41221394297,1874.96,38.956512217330925,37.59059719373944
Education,TRC21,1900,725731.1318272362,1906.76,38.80139172536852,37.149926018482326
Education,TRC22,1700,4517.245510838926,1799.375,40.644679620919646,38.45394041930812
Education,TRC22,1800,994443.0286524359,1840.2,40.25040063834317,37.86510275574385
Health,TRC21,1800,40143.19177267328,1886.41,37.98684716261513,37.024539339638736
Health,TRC21,1900,112455.3000780046,1908.53,38.822946936806,37.11553517670546
Health,TRC22,1700,1678.6058355048299,1799.73,40.64319472935858,38.45372533221864
Health,TRC22,1800,294862.6866048593,1840.515,40.239810522333904,37.918819257094825
Hotels and Restaurants,TRC21,1900,8076.59163740091,1906.76,38.8084593456644,37.174023027685884
Hotels and Restaurants,TRC22,1800,41127.78437904455,1841.1,40.23682154488103,37.91392549288692
Industrial,TRC21,1800,267962.6640840154,1875.37,38.95025378485643,37.58327232376072
Industrial,TRC21,1900,7679533.589576181,1914.375,38.6505302996534,37.09515628340579
Industrial,TRC22,1600,1789.679380968213,1658.9199,39.13501684981075,38.225345149954116
Industrial,TRC22,1700,83488.29579353333,1798.81,40.64688080750808,38.45052697505112
Industrial,TRC22,1800,3442509.5260509113,1831.86,40.09317686245527,37.911177523178125
Offices,TRC21,1800,7186.705968758091,1861.335,39.326987558802564,37.74269154052647
Offices,TRC21,1900,21756.63092009537,1909.875,38.81305481921063,37.109675607290335
Offices,TRC22,1800,178668.30575924926,1841.41,40.153443464414735,37.94846486081256
Other non-residential buildings,TRC21,1800,479579.6805439419,1875.54,38.945048543228665,37.57703259536316
Other non-residential buildings,TRC21,1900,1514628.6146141835,1906.8,38.79135374997722,37.169686449983054
Other non-residential buildings,TRC22,1600,513.3737486191094,1642.97,41.164844217556976,38.63593712541987
Other non-residential buildings,TRC22,1700,12398.626796958968,1794.7749,40.20143341746923,38.43446982309134
Other non-residential buildings,TRC22,1800,1716580.8709270023,1840.09,40.23284554106214,37.92734715518745
Single family- Terraced houses,TRC21,1700,1825.2136408016086,1793.845,39.135588650009254,37.99783694998553
Single family- Terraced houses,TRC21,1800,7877070.009364432,1891.43,39.92999085469923,37.28486811959065
Single family- Terraced houses,TRC21,1900,14192002.221727794,1907.32,38.2842356758491,37.048258344879436
Single family- Terraced houses,TRC22,1600,1146.840227747336,1686.16,41.19280655519893,38.51960087885473
Single family- Terraced houses,TRC22,1700,306473.4221141875,1790.605,39.27632846817034,38.1231962976381
Single family- Terraced houses,TRC22,1800,12283813.6706113,1835.85,39.905458286823915,37.837125618465954
Sport,TRC21,1900,37082.710166573524,1906.61,38.8068517933262,37.14769421637241
Sport,TRC22,1800,30589.21143019572,1836.57,40.12048616551152,37.942589801699896
Trade,TRC21,1800,21136.25259121135,1861.5,39.285280148145006,37.71632793295044
Trade,TRC21,1900,150995.41128819156,1920.46,38.730089499957344,37.13445279994048
Trade,TRC22,1800,656473.5754323504,1838.61,40.69201032309,37.84142027422896
