Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,800733.3585573578,3.0,8119142.142816937,2402200.0756720733,2525361.4146250105,10.13963269551402
Apartment Block_AB_1_Before1945,Apartment Block,1900,741489.0008890975,4.0,9912662.685167618,2965956.00355639,1865517.774672371,13.368590327410978
Apartment Block_AB_2_Before1945,Apartment Block,1900,32763.445713586894,4.0,440469.8974329487,131053.78285434758,88565.05166327945,13.44394302368164
Apartment Block_AB_3_Before1945,Apartment Block,1900,158972.23011698312,7.0,3144069.3479661215,1112805.6108188818,766043.0672896137,19.77747525874482
Apartment Block_AB_0_1945to1969,Apartment Block,1955,609599.0296467158,4.0,6410891.1227733055,2438396.1185868634,1218345.3877475336,10.51657041922892
Apartment Block_AB_1_1945to1969,Apartment Block,1955,282505.95731805055,4.0,3065663.1132815694,1130023.8292722022,1336309.540690387,10.851675987243652
Apartment Block_AB_2_1945to1969,Apartment Block,1955,492113.09491850063,5.0,7128712.103103519,2460565.474592503,1468712.6075840623,14.485922396119358
Apartment Block_AB_3_1945to1969,Apartment Block,1955,127986.51859602262,7.0,2638425.451749251,895905.6301721584,574334.7637673361,20.614870071411133
Apartment Block_AB_0_1970to1979,Apartment Block,1975,92476.28339083953,3.0,921355.173315421,277428.8501725186,260760.34826272822,9.963150978088379
Apartment Block_AB_1_1970to1979,Apartment Block,1975,2830.651774922789,4.0,37076.19511305562,11322.607099691157,8259.023797262553,13.098112399949631
Apartment Block_AB_2_1970to1979,Apartment Block,1975,50732.984387905126,5.0,699500.3173344187,253664.92193952564,129494.26864411267,13.787880326259327
Apartment Block_AB_3_1970to1979,Apartment Block,1975,7530.372524950329,7.0,154546.5301562563,52712.6076746523,36397.47736202862,20.52309226989746
Apartment Block_AB_0_1980to1989,Apartment Block,1985,91166.28541638136,3.0,908303.4657149042,273498.85624914407,257066.4765421329,9.963150978088379
Apartment Block_AB_1_1980to1989,Apartment Block,1985,2790.553406394361,4.0,36550.98217501566,11162.213625577444,8142.0283466594055,13.098112399949631
Apartment Block_AB_2_1980to1989,Apartment Block,1985,50014.31248253142,5.0,689591.3551092813,250071.5624126571,127659.88231923434,13.787880326259327
Apartment Block_AB_3_1980to1989,Apartment Block,1985,7423.69898236311,7.0,152357.259198982,51965.89287654177,35881.8789851115,20.52309226989746
Apartment Block_AB_0_1990to2000,Apartment Block,1995,127087.15180319223,3.0,1169926.7892695905,381261.4554095767,390761.0690610794,9.20570468902588
Apartment Block_AB_1_1990to2000,Apartment Block,1995,2904.9800187714854,4.0,35730.387648257325,11619.920075085942,7653.949698311773,12.299701690673828
Apartment Block_AB_2_1990to2000,Apartment Block,1995,126554.71396082567,4.0,1569196.1231114129,506218.8558433027,293171.0735613982,12.399349451314386
Apartment Block_AB_3_1990to2000,Apartment Block,1995,44222.182924743276,6.0,845825.3295380828,265333.09754845966,173254.5751401568,19.126720428466797
Apartment Block_AB_0_2000to2010,Apartment Block,2005,45258.322288908385,3.0,407351.53113637434,135774.96686672515,158956.86608608044,9.000588411917457
Apartment Block_AB_1_2000to2010,Apartment Block,2005,4252.350548026538,3.0,43712.240258756756,12757.051644079613,8702.031284277615,10.279547691345215
Apartment Block_AB_2_2000to2010,Apartment Block,2005,104852.75549924618,3.0,1079431.7271302706,314558.26649773854,197539.438809138,10.29473876953125
Apartment Block_AB_3_2000to2010,Apartment Block,2005,26450.004282958216,5.0,411137.7623269197,132250.0214147911,71173.95639543257,15.54395825152348
Apartment Block_AB_0_Post2010,Apartment Block,2020,41408.15183889229,3.0,383700.1755970884,124224.45551667688,148106.26761222302,9.266295609858659
Apartment Block_AB_1_Post2010,Apartment Block,2020,85527.0750907783,3.0,863314.2332106963,256581.22527233488,148498.07551810818,10.094046035064054
