Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UA731,1100,1126879.531152228,1125.81,23.50852783414561,49.285459528986735
Apartment Block,UA732,1100,1262235.2514921888,1137.34,25.168081688403756,50.073069725756625
Apartment Block,UA733,1100,31878268.660094358,1138.46,23.978072099994147,49.80987919999302
Apartment Block,UA734,1100,1074357.7667476507,1141.36,23.17804850364348,49.512760218645234
Apartment Block,UA735,1000,19535.77868979145,1097.58,23.515199734985263,49.03586214971337
Apartment Block,UA735,1100,2249573.8812655257,1146.83,23.8246676769103,49.246297542008655
Apartment Block,UA736,1100,2488291.334879359,1145.74,24.275788219732547,50.46761130599031
Apartment Block,UA737,1100,914275.9195424968,1131.13,23.570763694619753,49.92740037362592
Education,UA731,1000,351.30159812420607,1073.32,23.280876507944985,49.14524197873647
Education,UA731,1100,294840.33501607506,1135.845,23.508204337537112,49.345608499557834
Education,UA732,1100,226554.70986767346,1142.445,24.801404099930554,49.82810269994108
Education,UA733,1100,2123559.4254148034,1141.32,24.034602188519745,49.815571303214824
Education,UA734,1000,713.1218550354242,1093.8301,23.102765551819036,49.13152793338959
Education,UA734,1100,235828.66378041264,1133.685,23.156163699892318,49.42501299993607
Education,UA735,1000,14954.139377905987,1096.935,23.578442392547846,49.01347508127509
Education,UA735,1100,337220.18886570865,1147.94,23.920826297182014,49.254057331456075
Education,UA736,1100,357180.34245926654,1141.31,24.241178003552996,50.404710021509665
Education,UA737,1100,185204.81743332744,1139.12,23.03285978416108,49.716080670924924
Health,UA731,1100,59894.45365911664,1135.26,23.497667849934956,49.35410479988624
Health,UA732,1100,9958.691127896309,1146.1799,24.89333233690886,49.800174789895095
Health,UA733,1100,273230.81916848104,1140.45,24.04857551807694,49.83368711309501
Health,UA734,1100,11511.729942472652,1126.55,22.997236564048126,49.4355615055424
Health,UA735,1100,38184.30747608375,1146.83,23.85734230590841,49.252385842462864
Health,UA736,1100,29419.75113615021,1145.6799,24.285460310537477,50.46680999931009
Health,UA737,1100,1535.9010673146695,1136.76,23.927325029965814,49.919415423833954
Hotels and Restaurants,UA731,1000,204.22559317667037,1097.95,23.255064649992644,49.20988424999723
Hotels and Restaurants,UA731,1100,126110.71370316762,1124.55,23.513574016109175,49.27508531730321
Hotels and Restaurants,UA732,1100,14338.688060603105,1143.05,24.87504132615146,49.80682706627312
Hotels and Restaurants,UA733,1100,419121.20310307853,1142.36,24.046733679327197,49.81322805318195
Hotels and Restaurants,UA734,1100,6257.227124403231,1132.95,22.791480440348327,49.574756341186415
Hotels and Restaurants,UA735,1000,4706.028847825248,1096.1951,23.29819550679733,48.97137718392057
Hotels and Restaurants,UA735,1100,27545.18619020935,1105.82,23.461873399988303,48.86245314999007
Hotels and Restaurants,UA736,1100,10667.767477042973,1141.59,24.846471653027923,50.219619798386574
Hotels and Restaurants,UA737,1100,608.3004820328206,1136.82,23.45436997159324,49.78445122382792
Industrial,UA731,1000,1114.6155361682177,1087.6,23.300145150505735,49.17906428383152
Industrial,UA731,1100,1885408.5141646538,1134.165,23.496626823698517,49.33540088224686
Industrial,UA732,1100,1143745.4103322718,1140.99,24.681738730371027,50.06280488801225
Industrial,UA733,1100,9437688.3128843,1142.75,24.03934165001443,49.80084284995511
Industrial,UA734,1100,416984.6662537316,1133.345,22.86827869056929,49.531659497926725
Industrial,UA735,1000,65145.57030867366,1086.7351,23.50061688185613,49.02953905272391
Industrial,UA735,1100,2781287.2161306487,1146.83,23.863858899944283,49.23891364996696
Industrial,UA736,1100,2798333.4068951467,1143.61,24.228809282689333,50.42061397207691
Industrial,UA737,1100,813284.1816784905,1134.965,23.380158400089122,49.780474949958695
Offices,UA731,1000,130.302935551852,1074.17,23.19629118475575,49.09866330720124
Offices,UA731,1100,229734.95822724188,1136.2,23.527293566608233,49.33735719989044
Offices,UA732,1100,71659.12770372024,1137.34,25.161767472861158,50.07082882079911
Offices,UA733,1100,708276.3995763715,1141.94,24.12409604817554,49.7979547723281
Offices,UA734,1100,13460.7478944147,1138.01,23.23196721892421,49.44577580439795
Offices,UA735,1000,3472.6405905634165,1086.335,23.50336944987914,49.033615199896374
Offices,UA735,1100,49363.479689598025,1147.505,23.869847768853763,49.26441268254488
Offices,UA736,1100,89799.75151549838,1141.52,24.242175798217442,50.40761609929766
Offices,UA737,1100,4053.0394810661674,1137.34,23.160273245848963,49.961122544454334
Other non-residential buildings,UA731,1000,1458.6537576708943,1089.24,23.312551565195484,49.22433638224135
Other non-residential buildings,UA731,1100,743635.773370604,1136.97,23.51875920767634,49.34737407624389
Other non-residential buildings,UA732,1100,727518.9678324775,1143.1951,25.13216159100878,49.980179863063995
Other non-residential buildings,UA733,1100,5281665.586805883,1143.065,24.07277258389837,49.890057333701684
Other non-residential buildings,UA734,1000,264.73543205857277,1096.31,23.072812599992407,49.18692589996034
Other non-residential buildings,UA734,1100,267870.3097748833,1129.6699,23.004472908048168,49.45672957603347
Other non-residential buildings,UA735,1000,19480.30258941371,1089.98,23.47206430000082,49.15977809999695
Other non-residential buildings,UA735,1100,593950.6525645423,1145.065,23.793390849972067,49.279883049984996
Other non-residential buildings,UA736,1100,723819.0938310032,1141.785,24.2345315344431,50.40550736740396
Other non-residential buildings,UA737,1100,301020.493841892,1135.1,23.377946099994475,49.786848799995475
Single family- Terraced houses,UA731,1000,103394.23434655205,1086.405,23.2243365500024,49.14812019998975
Single family- Terraced houses,UA731,1100,6325357.083143697,1132.55,23.612005862112674,49.22700292953844
Single family- Terraced houses,UA732,1100,6533074.498879794,1143.49,24.826264749980048,49.79390114998852
Single family- Terraced houses,UA733,1100,35067980.10450193,1145.35,24.22855593984544,49.602521979030215
Single family- Terraced houses,UA734,1000,9297.402750524692,1094.72,23.11874700411554,49.29720123441254
Single family- Terraced houses,UA734,1100,6600725.517220171,1132.57,22.967451899998686,49.4854824999724
Single family- Terraced houses,UA735,1000,965740.1094611188,1091.84,23.40033224997853,48.89860534998207
Single family- Terraced houses,UA735,1100,12258696.653289618,1148.66,23.923200966747157,49.25237083341854
Single family- Terraced houses,UA736,1100,5688752.9919038955,1144.95,24.847946765259717,50.26470302104295
Single family- Terraced houses,UA737,1100,6437930.801142242,1137.14,23.0173358741073,49.76786350567582
Sport,UA731,1100,1365.2593853413127,1123.06,23.420036400248648,49.27985660487419
Sport,UA732,1100,2007.818671958521,1148.58,24.611226396923705,49.968128448837575
Sport,UA733,1100,93571.10416894406,1143.71,24.021912673403488,49.779155760788804
Sport,UA735,1100,4569.950664092787,1152.67,23.98273694033112,49.52149336310328
Sport,UA736,1100,5459.538291849196,1143.0,24.23319840026099,50.38884721980145
Sport,UA737,1100,478.5958406138234,1141.72,23.14971367770122,49.80013992508634
Trade,UA731,1000,558.8650447055697,1078.135,23.28111968741248,49.14654204367392
Trade,UA731,1100,331005.23616121477,1135.81,23.50743461593339,49.34669330276774
Trade,UA732,1100,224432.93232822022,1137.41,25.139643084671334,50.07152296629503
Trade,UA733,1100,3131717.0100477394,1140.31,24.010484853716754,49.80958152926659
Trade,UA734,1100,39464.267627544,1141.36,23.211319035183983,49.51603288230778
Trade,UA735,1000,9687.046392757446,1090.625,23.397872799985713,48.898403749988134
Trade,UA735,1100,147644.77879359736,1145.58,24.147541017271326,49.4710040483986
Trade,UA736,1100,340265.5308814901,1145.74,24.27502514994741,50.46917154993751
Trade,UA737,1100,63666.503285963554,1140.91,23.37887686456585,49.93711891369243
