Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,313288.64460909687,3.0,2719400.0219950555,939865.9338272907,772701.9354945857,8.680174238003943
Apartment Block_AB_1_Before1945,Apartment Block,1900,165432.68423351122,4.0,1891525.3110758814,661730.7369340449,289551.12191894784,11.433806565128082
Apartment Block_AB_2_Before1945,Apartment Block,1900,61275.09677664272,4.0,720962.9071597779,245100.38710657088,184441.55690118638,11.766001933669727
Apartment Block_AB_3_Before1945,Apartment Block,1900,12369.05991970866,11.0,402838.8089905039,136059.65911679526,104481.68870306129,32.56826400756836
Apartment Block_AB_0_1945to1969,Apartment Block,1955,131588.16281016447,3.0,1154810.8177600007,394764.48843049345,401332.9732981855,8.775947570800781
Apartment Block_AB_1_1945to1969,Apartment Block,1955,187111.6705722542,3.0,1947161.3672174134,561335.0117167626,458205.52156665665,10.406413246497666
Apartment Block_AB_2_1945to1969,Apartment Block,1955,24213.601997072914,4.0,317851.9019834669,96854.40798829166,33139.28460706444,13.126997875900113
Apartment Block_AB_3_1945to1969,Apartment Block,1955,7310.639368160692,11.0,238094.83300638015,80417.03304976762,80832.87096051335,32.56826400756836
Apartment Block_AB_0_1970to1979,Apartment Block,1975,7998.423904067996,3.0,71253.74856821756,23995.271712203987,30780.843594231254,8.908473647161653
Apartment Block_AB_1_1970to1979,Apartment Block,1975,17188.580668869934,3.0,155010.51580878455,51565.7420066098,32394.672235622602,9.018226623535156
Apartment Block_AB_2_1970to1979,Apartment Block,1975,1497.4064171363439,4.0,18051.927414000802,5989.625668545375,3487.332622980984,12.055462837219238
Apartment Block_AB_3_1970to1979,Apartment Block,1975,1996.6356846939964,6.0,37167.31949766029,11979.814108163979,11236.611783699034,18.614973068237305
Apartment Block_AB_0_1980to1989,Apartment Block,1985,7995.446302377865,3.0,71227.2226820293,23986.338907133595,30769.38470020299,8.908473647161653
Apartment Block_AB_1_1980to1989,Apartment Block,1985,17182.181814862637,3.0,154952.80949321584,51546.545444587915,32382.612555871074,9.018226623535156
Apartment Block_AB_2_1980to1989,Apartment Block,1985,1496.8489723282223,4.0,18045.20715883269,5987.395889312889,3486.03438127277,12.055462837219238
Apartment Block_AB_3_1980to1989,Apartment Block,1985,1995.89239003237,6.0,37153.483087552355,11975.35434019422,11232.428690299663,18.614973068237305
Apartment Block_AB_0_1990to2000,Apartment Block,1995,16023.064144508136,3.0,141327.13409540363,48069.19243352441,57890.8272970636,8.820231437683105
Apartment Block_AB_1_1990to2000,Apartment Block,1995,35983.46258927006,3.0,331848.0755167827,107950.38776781017,81427.87120283546,9.222238540649414
Apartment Block_AB_2_1990to2000,Apartment Block,1995,4440.684254535913,3.0,43577.844461021654,13322.052763607739,0.0,9.81331748964347
Apartment Block_AB_3_1990to2000,Apartment Block,1995,1197.4358005623362,9.0,32811.167933333185,10776.922205061026,10631.202759431051,27.40119171142578
Apartment Block_AB_0_2000to2010,Apartment Block,2005,53308.77753350826,3.0,494665.6287699814,159926.3326005248,124521.68427810362,9.27925290462813
Apartment Block_AB_1_2000to2010,Apartment Block,2005,6791.950709216103,4.0,71846.7582863975,27167.80283686441,17771.91687220497,10.578221392111624
Apartment Block_AB_2_2000to2010,Apartment Block,2005,15192.480954464208,5.0,247958.81584193403,75962.40477232104,77676.45789419023,16.32115364074707
Apartment Block_AB_3_2000to2010,Apartment Block,2005,8063.882212872804,9.0,212672.4965729408,72574.93991585524,72687.90815094032,26.373462677001953
Apartment Block_AB_0_Post2010,Apartment Block,2020,39918.26544751324,3.0,407794.362717242,119754.7963425397,89222.40383995835,10.215733528137207
Apartment Block_AB_1_Post2010,Apartment Block,2020,7115.626280192283,4.0,86599.49558904389,28462.505120769132,32971.803804196905,12.170326571268964
Apartment Block_AB_2_Post2010,Apartment Block,2020,15923.780734381973,4.0,203214.25576674554,63695.12293752789,100366.94368927863,12.76168387121619
Apartment Block_AB_3_Post2010,Apartment Block,2020,7056.745407422814,8.0,178829.08503870465,56453.963259382515,52194.08568834766,25.341580957504686
SFH_0_Before1945_1900,Single family- Terraced houses,1900,2472347.724843642,1.0,7202904.116022235,2472347.724843642,2844646.5335908323,2.9133863508126736
SFH_1_Before1945_1900,Single family- Terraced houses,1900,2410245.1935890215,2.0,14399662.105008317,4820490.387178043,4649774.908364767,5.974355697631836
SFH_2_Before1945_1900,Single family- Terraced houses,1900,1545794.2822768579,2.0,9742098.299443463,3091588.5645537158,3167127.708048657,6.302325226028112
