Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKC11,900,1017421.2302687038,942.46,-1.3614081499932271,54.51442849999281
Apartment Block,UKC12,900,922759.3435593934,943.88,-1.0785710827611459,54.53008775044909
Apartment Block,UKC13,900,1096193.3961077952,938.09,-1.5723760499993924,54.52835189998665
Apartment Block,UKC14,900,1045327.0846728078,935.645,-1.60423809996331,54.69923374998567
Education,UKC11,900,477054.2039261396,943.01,-1.3532074017976319,54.50327191061822
Education,UKC12,900,606592.8443957206,945.19495,-1.1715577594300686,54.554081743161866
Education,UKC13,900,267033.5275523085,938.42,-1.61981033950314,54.59725147172319
Education,UKC14,900,1175118.9449419477,935.07,-1.5768202880354545,54.762786137240354
Health,UKC11,900,221174.31501983106,952.065,-1.228372637524004,54.70235594043063
Health,UKC12,900,239204.44201557012,940.24,-1.0697662131299739,54.600784123381686
Health,UKC13,900,21042.95784778893,938.04,-1.5368610329280732,54.524936934774665
Health,UKC14,900,181250.76894998626,936.06,-1.610621500519409,54.79888744223873
Hotels and Restaurants,UKC11,900,178946.15845035645,948.64,-1.2853521447199048,54.604021010361265
Hotels and Restaurants,UKC12,900,185632.73836923868,948.03,-1.2103129592251327,54.56162790649744
Hotels and Restaurants,UKC13,900,266661.1099414672,937.82,-1.5526256501041624,54.53480374980824
Hotels and Restaurants,UKC14,900,1452457.3318672942,931.14,-1.834780411426941,54.85090994367418
Industrial,UKC11,900,3325640.8620285364,949.37,-1.2638682066996647,54.579100346657164
Industrial,UKC12,900,3427127.3804650716,947.87,-1.2586651209729696,54.56974934031136
Industrial,UKC13,900,1048745.945708731,938.78,-1.5616922704506404,54.56427116132628
Industrial,UKC14,800,830.2788798678666,898.54,-2.2704938000134107,54.78132674996066
Industrial,UKC14,900,5933182.29315952,938.12,-1.5693391338185603,54.66956506086861
Offices,UKC11,900,227230.18782359874,943.62,-1.3026701103523977,54.56388291890542
Offices,UKC12,900,243637.84012236889,950.19,-0.8523930849477033,54.54552667367388
Offices,UKC13,900,215156.48250683863,938.64,-1.547645063724159,54.58346869288687
Offices,UKC14,900,177778.4912115159,935.5,-1.54343289999952,54.78388269999345
Other non-residential buildings,UKC11,900,1790476.7757270234,944.3,-1.2960321247930435,54.56543271594902
Other non-residential buildings,UKC12,900,1054315.4821930747,946.18,-1.1606906112527287,54.579010504433825
Other non-residential buildings,UKC13,900,475957.5622165769,939.22,-1.4948027863185283,54.487805307207374
Other non-residential buildings,UKC14,800,2200.8158973804675,894.1,-2.269332646374784,54.69164887716308
Other non-residential buildings,UKC14,900,1563237.3863089066,935.03503,-1.5430191637696078,54.816333974153025
Single family- Terraced houses,UKC11,900,4466301.212776809,943.52,-1.3546235751803428,54.49085990365874
Single family- Terraced houses,UKC12,900,6910150.448762495,942.82,-1.081577736862366,54.52568079218001
Single family- Terraced houses,UKC13,900,1208909.2840711707,938.68,-1.4930615651336885,54.490200151928704
Single family- Terraced houses,UKC14,800,11383.714724239195,894.07996,-2.2695831873426817,54.69150471328661
Single family- Terraced houses,UKC14,900,12788966.833081678,935.37,-1.9194396317021887,54.54551388770397
Sport,UKC11,900,9197.366238925606,949.28,-1.2127752555691382,54.68962006351415
Sport,UKC12,900,72324.85099147353,950.88,-1.2176155054527278,54.57807829277514
Sport,UKC13,900,13228.99206713587,938.05,-1.5345011379726987,54.508398830737285
Sport,UKC14,800,68.56566738523543,899.98,-2.176791195644574,54.69795616756573
Sport,UKC14,900,48187.72404432017,933.78,-1.8190085135253025,54.74685765874908
Trade,UKC11,900,2604995.0287370775,943.47,-1.313259745019145,54.56485440247914
Trade,UKC12,900,2620821.5662457887,949.74,-1.2018627297135487,54.572521452805724
Trade,UKC13,900,2124781.2076851586,937.68,-1.6342267257846737,54.616994392908026
Trade,UKC14,900,3146369.152929364,935.13,-1.6717305999981669,54.644515149956646
