Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,766684.9832069273,3.0,6954247.520302045,2300054.949620782,2028682.7405031878,9.07054092961816
Apartment Block_AB_1_Before1945,Apartment Block,1900,262788.35787676595,3.0,2743029.6673375578,788365.0736302978,1001645.2838521821,10.438170433044434
Apartment Block_AB_2_Before1945,Apartment Block,1900,238048.9236341898,5.0,3451993.869940795,1190244.618170949,811298.6134286172,14.501195036888637
Apartment Block_AB_3_Before1945,Apartment Block,1900,58031.824591735865,5.0,860808.8109574885,290159.12295867933,97272.52812466785,14.83339214324951
Apartment Block_AB_0_1945to1969,Apartment Block,1955,438417.9563658614,3.0,3976688.017496094,1315253.8690975842,1160073.5121820585,9.07054092961816
Apartment Block_AB_1_1945to1969,Apartment Block,1955,150271.80307505385,3.0,1568562.6917783027,450815.40922516154,572776.6787776691,10.438170433044434
Apartment Block_AB_2_1945to1969,Apartment Block,1955,136124.90775318415,5.0,1973973.8367073976,680624.5387659207,463929.62936882215,14.501195036888637
Apartment Block_AB_3_1945to1969,Apartment Block,1955,33184.677538968,5.0,492241.33508279634,165923.38769484,55623.91846071615,14.83339214324951
Apartment Block_AB_0_1970to1979,Apartment Block,1975,64078.35939397744,3.0,533554.8970882517,192235.0781819323,225679.95503876754,8.32660046440576
Apartment Block_AB_1_1970to1979,Apartment Block,1975,47002.2792108657,3.0,419944.85468317114,141006.8376325971,82546.27497061878,8.934563636779785
Apartment Block_AB_2_1970to1979,Apartment Block,1975,21085.157765002677,3.0,218980.3845243133,63255.47329500803,84296.30665509336,10.385522696338501
Apartment Block_AB_3_1970to1979,Apartment Block,1975,18371.203464804894,4.0,246698.3571962007,73484.81385921958,70661.7927699122,13.428535461425781
Apartment Block_AB_0_1980to1989,Apartment Block,1985,64054.50471541567,3.0,533356.268710661,192163.514146247,225595.94035992437,8.32660046440576
Apartment Block_AB_1_1980to1989,Apartment Block,1985,46984.78150535561,3.0,419788.5203197936,140954.34451606683,82515.54517549733,8.934563636779785
Apartment Block_AB_2_1980to1989,Apartment Block,1985,21077.30831839285,3.0,218898.86391839324,63231.92495517855,84264.92536945778,10.385522696338501
Apartment Block_AB_3_1980to1989,Apartment Block,1985,18364.364351606764,4.0,246606.5179220949,73457.45740642706,70635.48725321254,13.428535461425781
Apartment Block_AB_0_1990to2000,Apartment Block,1995,50406.5876179937,3.0,412224.56744353747,151219.76285398108,174011.48899833238,8.177989959716797
Apartment Block_AB_1_1990to2000,Apartment Block,1995,44811.57870327858,3.0,377210.2467659821,134434.73610983574,66165.79490180999,8.417695999145508
Apartment Block_AB_2_1990to2000,Apartment Block,1995,12972.516884240393,3.0,128058.99240031892,38917.55065272118,46837.21110382796,9.871561050415039
Apartment Block_AB_3_1990to2000,Apartment Block,1995,14429.900155087817,4.0,176178.97320805045,57719.600620351266,53016.79216031717,12.20929953184269
Apartment Block_AB_0_2000to2010,Apartment Block,2005,23852.832139642076,3.0,197608.46104805707,71558.49641892622,82121.25820355363,8.284486298783902
Apartment Block_AB_1_2000to2010,Apartment Block,2005,22663.08355740162,3.0,189672.7326393044,67989.25067220486,27857.58787972671,8.369237670544548
Apartment Block_AB_2_2000to2010,Apartment Block,2005,9624.875125930022,3.0,94132.57738219791,28874.625377790067,35633.133599788445,9.780134926488428
Apartment Block_AB_3_2000to2010,Apartment Block,2005,6389.663587765305,4.0,81909.61455534435,25558.65435106122,27201.463377813936,12.819080915649751
Apartment Block_AB_0_Post2010,Apartment Block,2020,21645.25615071723,3.0,178072.78561449103,64935.768452151686,75530.07798407642,8.226873564099193
Apartment Block_AB_1_Post2010,Apartment Block,2020,17214.47337504267,3.0,145719.63322839545,51643.42012512801,26395.05213729205,8.464948654174805
Apartment Block_AB_2_Post2010,Apartment Block,2020,8289.037631379559,3.0,84463.72478716433,24867.112894138678,31633.4506903224,10.189810752868652
Apartment Block_AB_3_Post2010,Apartment Block,2020,7713.800658618895,4.0,93338.17026481374,30855.20263447558,31587.73651718478,12.100153270168292
SFH_0_Before1945_1900,Single family- Terraced houses,1900,3615175.5809504157,1.0,10574272.903941585,3615175.5809504157,3718320.4837953052,2.924968004226685
SFH_1_Before1945_1900,Single family- Terraced houses,1900,2914015.5441504037,2.0,17699232.62567186,5828031.088300807,6765500.624385453,6.073829174041748
SFH_2_Before1945_1900,Single family- Terraced houses,1900,2441192.7149533303,2.0,15446112.278341664,4882385.429906661,5951776.052633738,6.3272809982299805
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,1917641.2665947292,1.0,5547737.340063453,1917641.2665947292,2184333.503995128,2.893000602722168
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,1664307.6264398275,2.0,10115011.906334372,3328615.252879655,3829103.171662429,6.077609539031982
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,1394833.0502711996,2.0,8825500.654684125,2789666.100542399,3400687.6618853523,6.3272809982299805
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,1332949.6805619907,1.0,3824903.1355338376,1332949.6805619907,1509735.7518074326,2.8695030212402344
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,949356.8763643542,2.0,5665133.224670003,1898713.7527287083,2233836.4224190363,5.967337853353031
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,425531.0350315091,2.0,2591574.3627819885,851062.0700630182,986965.818094967,6.090212345123291
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,1332453.4586476106,1.0,3823479.2252513184,1332453.4586476106,1509173.7171140795,2.8695030212402344
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,949003.4559063358,2.0,5663024.245392721,1898006.9118126717,2233004.8241958553,5.967337853353031
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,425372.62108092214,2.0,2590609.588184484,850745.2421618443,986598.3968225629,6.090212345123291
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,844084.179761325,1.0,2640416.454327935,844084.179761325,1079432.6650835208,3.128143516532373
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,856387.5224730525,2.0,5087540.961663163,1712775.044946105,2059251.0467140705,5.940699540987591
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,274310.90305824403,2.0,1648476.4805170365,548621.8061164881,631692.2738308841,6.009518623352051
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,1036320.3513602423,1.0,2842927.449364367,1036320.3513602423,994605.2340500436,2.7432901859283447
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,131917.45534196284,2.0,756315.4747830512,263834.9106839257,280614.25851965835,5.733247907356107
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,413851.20418955415,2.0,2450481.8531166785,827702.4083791083,912144.1028818336,5.92116641998291
SFH_0_Post2010_2020,Single family- Terraced houses,2020,686114.8168218588,1.0,1842632.7210261712,686114.8168218588,704494.3647402289,2.685604035723059
SFH_1_Post2010_2020,Single family- Terraced houses,2020,688453.317391647,1.0,2197311.063500352,688453.317391647,688768.3264200728,3.1916631207840442
SFH_2_Post2010_2020,Single family- Terraced houses,2020,463577.5376817212,2.0,2798179.112924306,927155.0753634424,1053287.740418169,6.0360541343688965
0_Other non-residential buildings_1900,Other non-residential buildings,1900,1090765.4422758736,3.0,9445678.354567097,3272296.3268276206,1673419.0758680727,8.659678780122299
0_Other non-residential buildings_1955,Other non-residential buildings,1955,605484.4771759198,3.0,5322642.939815598,1816453.4315277594,1407933.458520674,8.79071741796138
0_Other non-residential buildings_1975,Other non-residential buildings,1975,237899.7776831748,2.0,1545035.0395036081,475799.5553663496,483237.8624101133,6.494478702545165
0_Other non-residential buildings_1985,Other non-residential buildings,1985,237811.21388753116,2.0,1544459.8638189842,475622.42777506233,483057.9657338299,6.494478702545165
0_Other non-residential buildings_1995,Other non-residential buildings,1995,359475.73207506887,2.0,2651497.430427227,718951.4641501377,757931.7144788501,7.376012325286866
0_Other non-residential buildings_2005,Other non-residential buildings,2005,275874.32097076665,2.0,1441491.7711172858,551748.6419415333,380506.7943101473,5.225175601864137
0_Other non-residential buildings_2020,Other non-residential buildings,2020,315777.5836704678,2.0,1450100.2730362003,631555.1673409356,366362.47631828004,4.592157100516242
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,367933.2456431534,3.0,3106216.115629259,1103799.7369294602,1141749.2863957142,8.442336082458496
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,209851.22142301511,3.0,1771634.5385675079,629553.6642690453,651198.2408389765,8.442336082458496
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,94881.13850661555,2.0,605199.747702348,189762.2770132311,200445.69833274305,6.378504276275635
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,94845.81676801213,2.0,604974.4478416207,189691.63353602425,200371.07770031676,6.378504276275635
