Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKD61,900,2801085.3490990708,949.37,-2.5720029955899335,53.359522684490315
Apartment Block,UKD62,900,3082459.7089645686,942.92,-2.2012667000345334,53.161557949965754
Apartment Block,UKD63,900,2986259.536256017,971.675,-2.882378649996556,53.18742374998667
Education,UKD61,900,482101.46231234516,949.02,-2.5706134380497665,53.366565691196435
Education,UKD62,900,670229.1393847978,947.35,-2.2477837826140665,53.16523292793287
Education,UKD63,900,600644.6403516871,971.26,-2.817046350090766,53.171064099977514
Health,UKD61,900,41879.64587913663,951.88,-2.6034200796297036,53.40809137016263
Health,UKD62,900,257266.9324117778,943.5,-2.2021197425692796,53.157809242370654
Health,UKD63,900,121251.78514923807,973.725,-2.898439377622899,53.20731693255731
Hotels and Restaurants,UKD61,900,858205.8975973781,950.58,-2.600321001250844,53.38680027160459
Hotels and Restaurants,UKD62,900,919493.9488720307,935.86,-2.1551141287535027,53.25629166861827
Hotels and Restaurants,UKD63,900,556357.8606547434,971.63,-2.8664268268611135,53.1901205301266
Industrial,UKD61,900,4626605.927290854,950.32,-2.592324880426179,53.39375533464042
Industrial,UKD62,900,5023026.202584634,955.94,-2.330652049100521,53.083138482969915
Industrial,UKD63,900,5032897.328178523,969.77,-2.836495306609832,53.27287053595238
Offices,UKD61,900,184998.7077548122,948.325,-2.5567550499762124,53.40513989997845
Offices,UKD62,900,192534.71132565592,944.93,-2.330647363425596,53.315462503750524
Offices,UKD63,900,215140.8392171273,971.26,-2.860661599981381,53.17123279999115
Other non-residential buildings,UKD61,900,1459633.0344617176,950.645,-2.6027902163228953,53.384971545090494
Other non-residential buildings,UKD62,900,2583670.0396406567,947.0,-2.4102541734206753,53.355385498352184
Other non-residential buildings,UKD63,900,3863356.7688716934,968.79,-2.7594172770342116,53.03299760759268
Single family- Terraced houses,UKD61,900,8105410.874788705,950.46,-2.593852154965535,53.36285426512661
Single family- Terraced houses,UKD62,900,13692915.990367394,946.77,-2.238786899985986,53.15911734999097
Single family- Terraced houses,UKD63,900,16236212.697769428,971.29,-2.789222800004158,53.01536089998708
Sport,UKD61,900,35541.484304999,950.105,-2.590102839069352,53.379893795859346
Sport,UKD62,900,75652.19633350358,946.625,-2.3776728069632624,53.311820480157266
Sport,UKD63,900,6012.909293966368,970.33,-2.8072147099624996,53.072400443090984
Trade,UKD61,900,2051547.1304280907,949.89,-2.5901358781151247,53.37555658469848
Trade,UKD62,900,2552781.912009437,948.85,-2.345932811133928,53.270680041811126
Trade,UKD63,900,3030124.0841795467,961.5,-2.6038562128240432,53.226981342601306
